year,event,round,heat,name,scores
2014,Billabong Pipe Masters,Round 2,Heat 1 ,Kelly Slater,"[1.13, 0.5, 1.5, 2.93, 6.67, 7.43]"
2014,Billabong Pipe Masters,Round 2,Heat 1 ,Reef McIntosh,"[0.77, 2.27, 3.0, 2.0, 4.0]"
2014,Billabong Pipe Masters,Round 2,Heat 2 ,Michel Bourez,"[3.33, 1.03, 5.0]"
2014,Billabong Pipe Masters,Round 2,Heat 2 ,Makai McNamara,"[1.4, 3.17]"
2014,Billabong Pipe Masters,Round 2,Heat 3 ,Dusty Payne,"[1.27, 0.43, 0.93, 3.03, 0.7]"
2014,Billabong Pipe Masters,Round 2,Heat 3 ,Jordy Smith,"[1.3, 3.0]"
2014,Billabong Pipe Masters,Round 2,Heat 4 ,Nat Young,"[4.5, 0.4, 1.4, 1.6, 2.33, 4.0]"
2014,Billabong Pipe Masters,Round 2,Heat 4 ,Mitch Coleborn,"[2.0, 1.1, 1.67, 2.77, 0.33, 0.93]"
2014,Billabong Pipe Masters,Round 2,Heat 5 ,Miguel Pupo,"[2.67, 0.83, 0.77, 4.5]"
2014,Billabong Pipe Masters,Round 2,Heat 5 ,Raoni Monteiro,"[2.6, 1.33, 1.53, 1.0]"
2014,Billabong Pipe Masters,Round 2,Heat 6 ,Filipe Toledo,"[3.67, 0.7, 0.9, 3.97]"
2014,Billabong Pipe Masters,Round 2,Heat 6 ,Glenn Hall,"[3.0, 4.07, 0.57, 0.37]"
2014,Billabong Pipe Masters,Round 2,Heat 7 ,Adrian Buchan,"[0.83, 1.4, 2.07]"
2014,Billabong Pipe Masters,Round 2,Heat 7 ,Travis Logie,"[0.23, 0.77, 0.53]"
2014,Billabong Pipe Masters,Round 2,Heat 8 ,Kai Otton,"[3.33, 2.33, 1.7, 3.83]"
2014,Billabong Pipe Masters,Round 2,Heat 8 ,Brett Simpson,"[4.4, 2.43]"
2014,Billabong Pipe Masters,Round 2,Heat 9 ,Freddy Patacchia Jr.,"[0.5, 1.67, 0.53, 1.07, 2.33, 2.9, 4.0]"
2014,Billabong Pipe Masters,Round 2,Heat 9 ,Mitch Crews,"[0.57, 0.57, 0.37, 1.0, 0.37, 0.23]"
2014,Billabong Pipe Masters,Round 2,Heat 10 ,Jadson Andre,"[0.73, 2.43, 0.23, 2.4, 3.33]"
2014,Billabong Pipe Masters,Round 2,Heat 10 ,Tiago Pires,"[1.23, 0.57, 1.5]"
2014,Billabong Pipe Masters,Round 2,Heat 11 ,Julian Wilson,"[0.5, 2.5, 0.13, 2.0, 1.83]"
2014,Billabong Pipe Masters,Round 2,Heat 11 ,Dion Atkinson,"[0.67, 0.17]"
2014,Billabong Pipe Masters,Round 2,Heat 12 ,Matt Wilkinson,"[0.57, 0.73, 1.3, 1.7, 2.43]"
2014,Billabong Pipe Masters,Round 2,Heat 12 ,Aritz Aranburu,"[1.0, 1.07, 2.17, 0.27]"
2014,Billabong Pipe Masters,Round 1,Heat 1 ,Joel Parkinson,"[1.33, 6.5, 7.33]"
2014,Billabong Pipe Masters,Round 1,Heat 1 ,Glenn Hall,"[2.83, 1.43, 0.9, 1.03]"
2014,Billabong Pipe Masters,Round 1,Heat 1 ,Julian Wilson,[1.23]
2014,Billabong Pipe Masters,Round 1,Heat 2 ,Sebastian Zietz,"[7.0, 3.27, 0.63, 7.13, 2.0]"
2014,Billabong Pipe Masters,Round 1,Heat 2 ,Raoni Monteiro,"[4.5, 0.17, 0.27]"
2014,Billabong Pipe Masters,Round 1,Heat 2 ,Michel Bourez,"[1.0, 1.3, 0.77, 1.6, 0.9]"
2014,Billabong Pipe Masters,Round 1,Heat 3 ,John John Florence,"[8.93, 7.17]"
2014,Billabong Pipe Masters,Round 1,Heat 3 ,Mitch Coleborn,"[0.5, 1.27, 0.73, 0.6, 2.07, 0.9, 0.3, 0.57]"
2014,Billabong Pipe Masters,Round 1,Heat 3 ,Matt Wilkinson,"[0.57, 1.23, 1.0, 0.67]"
2014,Billabong Pipe Masters,Round 1,Heat 4 ,Adam Melling,"[1.33, 7.0, 8.9]"
2014,Billabong Pipe Masters,Round 1,Heat 4 ,Kelly Slater,"[8.1, 1.1, 2.0, 7.7, 3.5]"
2014,Billabong Pipe Masters,Round 1,Heat 4 ,Dusty Payne,"[5.17, 8.67, 1.27, 1.1]"
2014,Billabong Pipe Masters,Round 1,Heat 5 ,Mick Fanning,"[0.83, 4.83, 7.33, 2.5, 1.07]"
2014,Billabong Pipe Masters,Round 1,Heat 5 ,Aritz Aranburu,[]
2014,Billabong Pipe Masters,Round 1,Heat 5 ,Makai McNamara,"[1.4, 0.73, 0.8]"
2014,Billabong Pipe Masters,Round 1,Heat 6 ,Gabriel Medina,"[3.33, 0.5, 3.17, 5.5, 2.27]"
2014,Billabong Pipe Masters,Round 1,Heat 6 ,Reef McIntosh,"[4.17, 0.93, 0.87]"
2014,Billabong Pipe Masters,Round 1,Heat 6 ,Dion Atkinson,"[0.93, 1.07, 2.23]"
2014,Billabong Pipe Masters,Round 1,Heat 7 ,Jeremy Flores,"[1.0, 7.0, 2.3, 2.0, 1.37]"
2014,Billabong Pipe Masters,Round 1,Heat 7 ,Jadson Andre,"[2.0, 1.67, 0.57, 1.9, 1.23]"
2014,Billabong Pipe Masters,Round 1,Heat 7 ,Jordy Smith,"[0.5, 1.0, 1.07]"
2014,Billabong Pipe Masters,Round 1,Heat 8 ,Kolohe Andino,"[1.43, 3.77, 7.0, 1.97, 0.57, 0.3]"
2014,Billabong Pipe Masters,Round 1,Heat 8 ,Freddy Patacchia Jr.,"[0.37, 4.17, 2.6, 0.43, 3.33]"
2014,Billabong Pipe Masters,Round 1,Heat 8 ,Travis Logie,[]
2014,Billabong Pipe Masters,Round 1,Heat 9 ,Josh Kerr,"[1.77, 4.83, 5.33, 1.57, 5.77, 0.8]"
2014,Billabong Pipe Masters,Round 1,Heat 9 ,Brett Simpson,"[0.2, 8.33, 0.43, 1.3]"
2014,Billabong Pipe Masters,Round 1,Heat 9 ,Kai Otton,"[0.67, 1.0]"
2014,Billabong Pipe Masters,Round 1,Heat 10 ,Owen Wright,"[6.83, 1.77, 8.93, 4.0, 3.47, 8.07, 8.57]"
2014,Billabong Pipe Masters,Round 1,Heat 10 ,Adrian Buchan,"[0.5, 4.33, 4.93, 7.77, 0.83, 7.3]"
2014,Billabong Pipe Masters,Round 1,Heat 10 ,Mitch Crews,"[0.27, 1.07, 2.67, 5.83, 1.0, 0.8]"
2014,Billabong Pipe Masters,Round 1,Heat 11 ,Alejo Muniz,"[2.5, 2.67, 5.77, 0.8]"
2014,Billabong Pipe Masters,Round 1,Heat 11 ,Filipe Toledo,"[6.83, 6.07, 1.37, 1.43]"
2014,Billabong Pipe Masters,Round 1,Heat 11 ,Nat Young,"[0.93, 0.83, 0.97]"
2014,Billabong Pipe Masters,Round 1,Heat 12 ,Bede Durbidge,"[7.27, 7.93, 0.5, 0.63]"
2014,Billabong Pipe Masters,Round 1,Heat 12 ,Miguel Pupo,"[1.4, 1.13, 0.43, 0.17, 1.83]"
2014,Billabong Pipe Masters,Round 1,Heat 12 ,Tiago Pires,"[0.9, 0.73, 0.3]"
2014,Billabong Pipe Masters,Round 3,Heat 1 ,John John Florence,"[7.83, 8.5, 3.83, 1.1, 0.5]"
2014,Billabong Pipe Masters,Round 3,Heat 1 ,Adam Melling,"[5.33, 6.83, 1.57]"
