year,event,round,heat,name,scores
2009,Billabong Pipeline Masters,Round 2,Heat 1 ,Liam McNamara,"[2.77, 5.17]"
2009,Billabong Pipeline Masters,Round 2,Heat 1 ,Chris Davidson,"[0.67, 3.33, 3.5, 0.6, 1.67]"
2009,Billabong Pipeline Masters,Round 2,Heat 2 ,Roy Powers,"[4.83, 3.67, 1.93, 5.43]"
2009,Billabong Pipeline Masters,Round 2,Heat 2 ,Gabe Kling,"[2.27, 4.17, 1.0, 4.57, 4.83, 0.77, 2.2, 5.23]"
2009,Billabong Pipeline Masters,Round 2,Heat 3 ,Phillip MacDonald,"[5.0, 3.5, 0.33, 1.6, 2.0, 0.2, 5.4, 4.43]"
2009,Billabong Pipeline Masters,Round 2,Heat 3 ,Greg Emslie,"[0.5, 1.67, 1.43, 1.83, 0.83, 2.0, 1.17]"
2009,Billabong Pipeline Masters,Round 2,Heat 4 ,Kekoa Bacalso,"[9.33, 2.67, 2.37, 1.1]"
2009,Billabong Pipeline Masters,Round 2,Heat 4 ,Mason Ho,"[1.0, 1.43, 1.8, 6.5, 4.17, 3.73]"
2009,Billabong Pipeline Masters,Round 2,Heat 5 ,Bruce Irons,"[7.17, 8.5, 1.6, 2.9, 2.7]"
2009,Billabong Pipeline Masters,Round 2,Heat 5 ,Tim Reyes,"[2.5, 9.6, 1.9, 4.33, 3.3]"
2009,Billabong Pipeline Masters,Round 2,Heat 6 ,Shane Dorian,"[1.17, 3.0, 8.17, 2.5]"
2009,Billabong Pipeline Masters,Round 2,Heat 6 ,Tiago Pires,"[0.4, 6.0, 1.67, 1.07, 2.33, 1.63]"
2009,Billabong Pipeline Masters,Round 2,Heat 7 ,Mikael Picon,"[1.4, 9.83, 8.83, 9.93, 1.67]"
2009,Billabong Pipeline Masters,Round 2,Heat 7 ,Josh Kerr,"[5.5, 6.83, 1.5, 2.0, 9.4, 7.33, 0.83, 0.77, 2.03]"
2009,Billabong Pipeline Masters,Round 2,Heat 8 ,Torrey Meister,"[2.83, 1.83, 1.67, 2.27, 6.5, 1.7, 8.33]"
2009,Billabong Pipeline Masters,Round 2,Heat 8 ,Kai Otton,"[0.9, 0.5, 7.67, 1.1, 0.43, 0.63, 1.63, 1.5, 3.17, 6.33]"
2009,Billabong Pipeline Masters,Round 2,Heat 9 ,Dean Morrison,"[1.0, 7.33, 1.83, 8.0, 2.57, 7.27, 8.93]"
2009,Billabong Pipeline Masters,Round 2,Heat 9 ,Sion Milosky,"[1.83, 1.1, 1.87, 6.5, 1.7]"
2009,Billabong Pipeline Masters,Round 2,Heat 10 ,Chris Ward,"[7.17, 6.0, 4.43, 8.33, 3.0, 2.1]"
2009,Billabong Pipeline Masters,Round 2,Heat 10 ,Aritz Aranburu,"[4.17, 8.83, 5.83]"
2009,Billabong Pipeline Masters,Round 2,Heat 11 ,Flynn Novak,"[1.83, 0.67, 0.3, 3.33, 0.53, 0.93, 5.33, 0.83, 2.4, 2.53, 5.5, 3.0, 8.67]"
2009,Billabong Pipeline Masters,Round 2,Heat 11 ,Michel Bourez,"[1.73, 1.17, 5.17, 1.23, 0.23, 2.3, 6.67]"
2009,Billabong Pipeline Masters,Round 2,Heat 12 ,John John Florence,"[0.67, 1.67, 2.83, 7.67, 6.0, 7.0, 9.43, 7.53, 7.2, 9.47, 3.0]"
2009,Billabong Pipeline Masters,Round 2,Heat 12 ,Heitor Alves,"[1.33, 0.73, 0.8, 1.37, 1.87]"
2009,Billabong Pipeline Masters,Round 2,Heat 13 ,Gavin Gillette,"[0.73, 0.7, 0.23, 1.03, 2.07, 1.67, 5.83, 1.77, 5.93, 8.27, 1.9]"
2009,Billabong Pipeline Masters,Round 2,Heat 13 ,Mick Campbell,"[1.33, 0.6, 2.17, 1.37, 1.23, 6.67, 2.3, 1.53]"
2009,Billabong Pipeline Masters,Round 2,Heat 14 ,Dayyan Neve,"[1.5, 5.83, 1.8, 8.33]"
2009,Billabong Pipeline Masters,Round 2,Heat 14 ,Tim Boal,"[7.5, 4.83, 1.2, 1.93, 5.67]"
2009,Billabong Pipeline Masters,Round 2,Heat 15 ,Hank Gaskell,"[2.83, 0.2, 0.77, 5.17, 2.23, 8.57, 2.1, 1.83, 7.87]"
2009,Billabong Pipeline Masters,Round 2,Heat 15 ,Ben Dunn,"[1.5, 5.0, 7.67, 8.0, 2.07, 1.0]"
2009,Billabong Pipeline Masters,Round 2,Heat 16 ,Andy Irons,"[2.0, 3.33, 1.37, 3.27, 9.07, 1.73, 0.3, 0.3, 9.33, 2.23, 0.93, 1.0]"
2009,Billabong Pipeline Masters,Round 2,Heat 16 ,Drew Courtney,"[0.27, 0.5, 1.97, 1.5, 2.1, 6.67, 1.57, 3.07, 1.33, 2.47]"
2009,Billabong Pipeline Masters,Round 1,Heat 1 ,Gavin Gillette,"[0.67, 5.17, 1.5, 1.07, 1.7, 0.37, 1.27, 7.0, 8.5]"
2009,Billabong Pipeline Masters,Round 1,Heat 1 ,Jihad Khodr,"[3.5, 7.83, 3.17]"
2009,Billabong Pipeline Masters,Round 1,Heat 2 ,Gabe Kling,"[2.5, 1.93, 8.67, 1.87, 1.07, 0.27, 1.57]"
2009,Billabong Pipeline Masters,Round 1,Heat 2 ,Kalani Chapman,"[2.17, 3.5, 4.5, 0.47, 2.1, 5.67, 3.83, 1.83]"
2009,Billabong Pipeline Masters,Round 1,Heat 3 ,Andy Irons,"[0.33, 9.17, 6.5, 3.0, 2.37, 2.77]"
2009,Billabong Pipeline Masters,Round 1,Heat 3 ,Marcus Hickman,"[0.33, 4.67, 7.83, 2.47, 2.33, 3.1]"
2009,Billabong Pipeline Masters,Round 1,Heat 4 ,Aritz Aranburu,"[2.0, 5.0, 4.67, 4.27, 8.17, 1.5]"
2009,Billabong Pipeline Masters,Round 1,Heat 4 ,Dusty Payne,"[1.4, 6.33, 3.93, 6.63, 2.9]"
2009,Billabong Pipeline Masters,Round 1,Heat 5 ,Liam McNamara,"[1.0, 6.67]"
2009,Billabong Pipeline Masters,Round 1,Heat 5 ,Nathaniel Curran,"[3.67, 1.67, 0.5, 1.47, 1.77, 3.17, 0.43, 0.5, 3.67]"
2009,Billabong Pipeline Masters,Round 1,Heat 6 ,Hank Gaskell,"[5.67, 6.33, 2.17, 2.27, 3.83]"
2009,Billabong Pipeline Masters,Round 1,Heat 6 ,David Weare,"[4.0, 4.73, 1.17]"
2009,Billabong Pipeline Masters,Round 1,Heat 7 ,Bruce Irons,"[1.83, 6.67, 2.1, 5.67]"
2009,Billabong Pipeline Masters,Round 1,Heat 7 ,Reef McIntosh,"[3.83, 7.83, 2.67, 3.27]"
2009,Billabong Pipeline Masters,Round 1,Heat 8 ,Torrey Meister,"[4.67, 8.5, 8.33, 1.4, 1.73, 1.1]"
2009,Billabong Pipeline Masters,Round 1,Heat 8 ,Nic Muscroft,"[1.67, 2.23, 6.67, 0.6, 1.7, 0.57]"
2009,Billabong Pipeline Masters,Round 1,Heat 9 ,Mikael Picon,"[3.83, 5.17, 3.07, 3.3, 5.33]"
2009,Billabong Pipeline Masters,Round 1,Heat 9 ,Manoa Drollet,"[2.0, 2.93, 1.33, 1.53, 2.83, 7.0]"
2009,Billabong Pipeline Masters,Round 1,Heat 10 ,Shane Dorian,"[5.83, 7.17, 9.5]"
2009,Billabong Pipeline Masters,Round 1,Heat 10 ,Kamalei Alexander,"[2.5, 4.83]"
2009,Billabong Pipeline Masters,Round 1,Heat 11 ,Dayyan Neve,"[0.27, 6.5, 1.73, 5.83, 4.67, 6.93, 0.77]"
2009,Billabong Pipeline Masters,Round 1,Heat 11 ,Jonah Morgan,"[3.17, 2.6, 2.87, 2.1, 3.67]"
2009,Billabong Pipeline Masters,Round 1,Heat 12 ,Flynn Novak,"[3.83, 3.17, 7.33, 2.0, 1.8, 7.33, 9.07]"
2009,Billabong Pipeline Masters,Round 1,Heat 12 ,Luke Stedman,"[7.67, 4.67, 1.67]"
2009,Billabong Pipeline Masters,Round 1,Heat 13 ,Sion Milosky,"[0.5, 1.4, 8.67, 1.5, 4.17, 8.33, 7.33]"
2009,Billabong Pipeline Masters,Round 1,Heat 13 ,Dustin Barca,"[0.73, 0.7, 5.33, 0.67, 7.33, 6.7]"
2009,Billabong Pipeline Masters,Round 1,Heat 14 ,John John Florence,"[6.0, 1.97, 1.5, 5.73, 8.5, 8.7, 1.6, 1.9, 2.6, 2.0]"
2009,Billabong Pipeline Masters,Round 1,Heat 14 ,Danny Fuller,"[2.5, 1.83, 7.0, 2.07, 0.9, 4.33]"
2009,Billabong Pipeline Masters,Round 1,Heat 15 ,Mason Ho,"[2.17, 3.07, 1.93, 7.33, 2.77, 8.5, 1.17, 0.43]"
2009,Billabong Pipeline Masters,Round 1,Heat 15 ,Jay Thompson,"[2.33, 7.17, 1.57, 1.83, 1.43, 1.97, 2.2]"
2009,Billabong Pipeline Masters,Round 1,Heat 16 ,Phillip MacDonald,"[5.17, 2.83, 2.0, 6.83, 5.83]"
2009,Billabong Pipeline Masters,Round 1,Heat 16 ,Jamie O'Brien,"[0.93, 8.5, 1.4, 1.83]"
2009,Billabong Pipeline Masters,Round 3,Heat 1 ,Dean Morrison,"[1.33, 2.33, 8.0, 1.37, 8.67, 7.5]"
2009,Billabong Pipeline Masters,Round 3,Heat 1 ,Adrian Buchan,"[4.17, 0.4, 1.93, 2.43, 1.97]"
2009,Billabong Pipeline Masters,Round 3,Heat 2 ,Mick Fanning,"[1.5, 4.5, 1.67, 7.83, 9.57, 8.0]"
2009,Billabong Pipeline Masters,Round 3,Heat 2 ,Torrey Meister,"[2.03, 1.1, 2.27, 2.83, 3.43]"
2009,Billabong Pipeline Masters,Round 3,Heat 3 ,Damien Hobgood,"[2.83, 1.5, 2.43, 3.03, 2.03, 4.67, 8.9, 6.17]"
2009,Billabong Pipeline Masters,Round 3,Heat 3 ,Andy Irons,"[3.83, 1.7, 2.27]"
2009,Billabong Pipeline Masters,Round 3,Heat 4 ,John John Florence,"[2.0, 2.37, 2.17, 3.63, 2.17, 6.93, 2.17, 6.67, 3.7, 6.4, 6.03, 10.0, 4.0, 5.2]"
2009,Billabong Pipeline Masters,Round 3,Heat 4 ,Bobby Martinez,"[1.57, 3.33, 6.83, 1.27, 1.47, 2.5, 8.33, 5.4]"
2009,Billabong Pipeline Masters,Round 3,Heat 5 ,Flynn Novak,"[4.83, 0.83, 2.17, 0.77, 1.5, 6.83, 2.03, 8.67]"
2009,Billabong Pipeline Masters,Round 3,Heat 5 ,Adriano de Souza,"[1.27, 0.67, 5.5, 6.17, 6.1, 1.3, 8.17]"
2009,Billabong Pipeline Masters,Round 3,Heat 6 ,Tom Whitaker,"[1.07, 1.03, 3.5, 2.67, 3.83, 7.17, 1.77, 5.5]"
2009,Billabong Pipeline Masters,Round 3,Heat 6 ,Mikael Picon,"[2.17, 1.17, 3.2, 4.67, 7.43]"
2009,Billabong Pipeline Masters,Round 3,Heat 7 ,Freddy Patacchia Jr.,"[1.0, 3.0, 6.5, 9.17, 0.83, 2.33]"
2009,Billabong Pipeline Masters,Round 3,Heat 7 ,Chris Ward,"[1.83, 1.7, 0.43, 0.57, 2.23, 6.33, 0.37, 4.33]"
2009,Billabong Pipeline Masters,Round 3,Heat 8 ,Kelly Slater,"[2.0, 9.9, 1.17, 9.43, 3.5, 6.17, 8.57, 2.6, 1.07]"
2009,Billabong Pipeline Masters,Round 3,Heat 8 ,Hank Gaskell,"[4.17, 2.1, 10.0, 2.5]"
2009,Billabong Pipeline Masters,Round 3,Heat 9 ,Bede Durbidge,"[4.33, 1.67, 1.6, 0.93, 1.33, 8.33, 2.77]"
2009,Billabong Pipeline Masters,Round 3,Heat 9 ,Liam McNamara,[0.33]
