year,event,round,heat,name,scores
2010,Billabong Pro J-Bay,Round 2,Heat 1 ,Adriano de Souza,"[8.43, 7.27, 1.0, 2.17, 7.17]"
2010,Billabong Pro J-Bay,Round 2,Heat 1 ,Shaun Joubert,"[0.93, 3.67, 5.77, 1.07, 0.73, 1.77, 0.67]"
2010,Billabong Pro J-Bay,Round 2,Heat 2 ,Bede Durbidge,"[2.0, 3.5, 7.67, 8.5]"
2010,Billabong Pro J-Bay,Round 2,Heat 2 ,Dale Staples,"[8.5, 6.17, 5.67, 0.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 3 ,Sean Holmes,"[2.67, 5.0, 3.07, 5.5, 6.0, 7.5]"
2010,Billabong Pro J-Bay,Round 2,Heat 3 ,Jadson Andre,"[4.4, 0.5, 0.87, 6.67, 2.8, 0.5]"
2010,Billabong Pro J-Bay,Round 2,Heat 4 ,Joan Duru,"[4.0, 2.5, 6.5, 7.33, 2.5, 1.87]"
2010,Billabong Pro J-Bay,Round 2,Heat 4 ,Taylor Knox,"[0.6, 5.83, 5.67, 5.27]"
2010,Billabong Pro J-Bay,Round 2,Heat 5 ,Tim Reyes,"[2.33, 0.2, 5.67, 4.0, 1.67, 7.67]"
2010,Billabong Pro J-Bay,Round 2,Heat 5 ,C.J. Hobgood,"[2.33, 6.4, 6.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 6 ,Michel Bourez,"[7.33, 4.07, 4.53]"
2010,Billabong Pro J-Bay,Round 2,Heat 6 ,Blake Thornton,"[6.5, 2.83, 5.0, 1.33]"
2010,Billabong Pro J-Bay,Round 2,Heat 7 ,Damien Hobgood,"[7.17, 4.67, 7.87, 5.07]"
2010,Billabong Pro J-Bay,Round 2,Heat 7 ,Marco Polo,"[2.0, 1.5, 3.27, 5.83, 1.8, 4.27, 5.47, 4.1]"
2010,Billabong Pro J-Bay,Round 2,Heat 8 ,Jay Thompson,"[4.0, 1.0, 1.2, 8.33, 10.0, 8.27, 1.93]"
2010,Billabong Pro J-Bay,Round 2,Heat 8 ,Kieren Perrow,"[1.37, 6.17, 8.3]"
2010,Billabong Pro J-Bay,Round 2,Heat 9 ,Neco Padaratz,"[4.33, 5.17, 0.67, 5.93, 5.43]"
2010,Billabong Pro J-Bay,Round 2,Heat 9 ,Roy Powers,"[0.93, 2.87, 4.1, 3.33, 6.83, 1.23]"
2010,Billabong Pro J-Bay,Round 2,Heat 10 ,Tanner Gudauskas,"[7.93, 7.1]"
2010,Billabong Pro J-Bay,Round 2,Heat 10 ,Tom Whitaker,"[6.17, 2.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 11 ,Brett Simpson,"[7.5, 7.23, 0.5, 7.9, 1.87]"
2010,Billabong Pro J-Bay,Round 2,Heat 11 ,Jeremy Flores,"[2.0, 6.43, 4.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 12 ,Dusty Payne,"[1.77, 0.63, 1.77, 6.0, 0.33, 6.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 12 ,Daniel Ross,"[7.1, 4.27, 3.07]"
2010,Billabong Pro J-Bay,Round 2,Heat 13 ,Luke Stedman,"[6.0, 7.57, 4.17, 6.57]"
2010,Billabong Pro J-Bay,Round 2,Heat 13 ,Drew Courtney,"[3.0, 0.2, 0.9, 0.23, 0.77, 1.67, 9.33, 1.6, 3.6, 0.9, 2.8]"
2010,Billabong Pro J-Bay,Round 2,Heat 14 ,Travis Logie,"[0.2, 0.6, 5.5, 3.83, 8.1]"
2010,Billabong Pro J-Bay,Round 2,Heat 14 ,Luke Munro,"[5.33, 0.8, 1.43, 0.6, 6.67, 0.93, 1.6, 1.4]"
2010,Billabong Pro J-Bay,Round 2,Heat 15 ,Ben Dunn,"[9.33, 7.0]"
2010,Billabong Pro J-Bay,Round 2,Heat 15 ,Patrick Gudauskas,"[4.0, 0.93, 5.83]"
2010,Billabong Pro J-Bay,Round 2,Heat 16 ,Dean Morrison,"[3.83, 2.0, 7.17, 8.67]"
2010,Billabong Pro J-Bay,Round 2,Heat 16 ,Mick Campbell,"[0.27, 4.5, 4.53]"
2010,Billabong Pro J-Bay,Round 1,Heat 1 ,Adam Melling,"[2.5, 4.33, 7.0, 5.17]"
2010,Billabong Pro J-Bay,Round 1,Heat 1 ,Taylor Knox,"[5.5, 0.73, 0.73, 1.0, 5.3]"
2010,Billabong Pro J-Bay,Round 1,Heat 1 ,Luke Munro,"[0.5, 4.17, 2.8, 6.0, 1.5, 3.67]"
2010,Billabong Pro J-Bay,Round 1,Heat 2 ,Andy Irons,"[7.5, 7.27, 4.4, 1.4]"
2010,Billabong Pro J-Bay,Round 1,Heat 2 ,Jay Thompson,"[1.07, 4.83, 5.73, 2.23, 1.3]"
2010,Billabong Pro J-Bay,Round 1,Heat 2 ,Jadson Andre,"[3.67, 5.57, 1.57]"
2010,Billabong Pro J-Bay,Round 1,Heat 3 ,Nathan Yeomans,"[7.83, 4.83, 8.0]"
2010,Billabong Pro J-Bay,Round 1,Heat 3 ,Bede Durbidge,"[3.33, 1.07, 6.17, 4.17, 2.57, 7.57]"
2010,Billabong Pro J-Bay,Round 1,Heat 3 ,Luke Stedman,"[1.0, 5.33, 1.57, 6.1]"
