year,event,round,heat,name,scores
2022,Billabong Pro Pipeline,Elimination Round,Heat 1 Watch replay,Ivan Florence,"[8.0, 0.97, 4.6, 1.37]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 1 Watch replay,Lucca Mesinas,"[4.0, 4.5, 2.83, 5.0, 4.3]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 1 Watch replay,Morgan Cibilic,"[0.43, 1.4]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 2 Watch replay,Jordy Smith,"[1.7, 4.83, 6.0, 9.73]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 2 Watch replay,Miguel Tudela,"[3.0, 7.83, 7.0, 3.3, 4.93, 6.2, 5.47]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 2 Watch replay,Imaikalani deVault,"[1.0, 0.17, 4.0, 0.5, 7.0, 1.43]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 3 Watch replay,Jake Marshall,"[5.5, 3.17, 6.17, 3.93, 1.33, 2.13, 0.53]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 3 Watch replay,Frederico Morais,"[8.5, 1.23, 0.57, 0.9, 1.23, 1.4, 2.63]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 3 Watch replay,Jordan Lawler,"[0.57, 2.33, 1.77, 7.67, 2.6]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 4 Watch replay,Carlos Munoz,"[0.5, 2.7, 1.17, 3.4]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 4 Watch replay,Deivid Silva,"[2.33, 1.93, 0.87, 3.17]"
2022,Billabong Pro Pipeline,Elimination Round,Heat 4 Watch replay,Jadson Andre,"[1.5, 2.63, 2.0, 0.2, 1.37, 1.8]"
2022,Billabong Pro Pipeline,Opening Round,Heat 1 Watch replay,Owen Wright,"[7.17, 6.17, 4.43]"
2022,Billabong Pro Pipeline,Opening Round,Heat 1 Watch replay,Ezekiel Lau,"[4.5, 1.0, 0.73, 2.5]"
2022,Billabong Pro Pipeline,Opening Round,Heat 1 Watch replay,Jordy Smith,"[5.33, 1.13]"
2022,Billabong Pro Pipeline,Opening Round,Heat 2 Watch replay,Griffin Colapinto,"[4.9, 0.23, 1.63, 5.57, 1.17]"
2022,Billabong Pro Pipeline,Opening Round,Heat 2 Watch replay,Matthew McGillivray,"[1.2, 5.17, 1.07, 2.5, 0.27]"
2022,Billabong Pro Pipeline,Opening Round,Heat 2 Watch replay,Jordan Lawler,"[0.37, 3.83, 0.57, 1.77, 0.23]"
2022,Billabong Pro Pipeline,Opening Round,Heat 3 Watch replay,Connor O'Leary,"[7.83, 3.0, 3.23, 7.67, 1.4]"
2022,Billabong Pro Pipeline,Opening Round,Heat 3 Watch replay,Caio Ibelli,"[1.07, 4.07, 6.0, 1.13, 1.4]"
2022,Billabong Pro Pipeline,Opening Round,Heat 3 Watch replay,Morgan Cibilic,"[3.67, 1.5]"
2022,Billabong Pro Pipeline,Opening Round,Heat 4 Watch replay,Barron Mamiya,"[8.17, 6.5, 8.4, 6.1, 0.63, 0.33]"
2022,Billabong Pro Pipeline,Opening Round,Heat 4 Watch replay,Conner Coffin,"[4.67, 1.03, 4.83, 4.8]"
2022,Billabong Pro Pipeline,Opening Round,Heat 4 Watch replay,Jake Marshall,"[1.0, 1.23, 1.2]"
2022,Billabong Pro Pipeline,Opening Round,Heat 5 Watch replay,Italo Ferreira,"[1.23, 1.0, 5.83, 1.17]"
