year,event,round,heat,name,scores
2015,Billabong Pro Tahiti,Round 2,Heat 1 Watch replay,Adriano de Souza,"[2.67, 0.43, 1.67, 6.43, 8.33, 7.93, 5.83, 1.27]"
2015,Billabong Pro Tahiti,Round 2,Heat 1 Watch replay,Taumata Puhetini,"[0.93, 1.57, 1.5, 1.23, 6.87, 1.17, 0.7]"
2015,Billabong Pro Tahiti,Round 2,Heat 2 Watch replay,Filipe Toledo,"[6.5, 0.5, 1.0, 2.07, 2.07]"
2015,Billabong Pro Tahiti,Round 2,Heat 2 Watch replay,Garrett Parkes,"[1.0, 4.0, 4.23, 0.23, 1.07]"
2015,Billabong Pro Tahiti,Round 2,Heat 3 Watch replay,C.J. Hobgood,"[0.3, 4.83, 1.0, 5.5, 8.33, 5.4]"
2015,Billabong Pro Tahiti,Round 2,Heat 3 Watch replay,Nat Young,"[0.53, 6.33, 7.97, 8.23, 8.43, 1.1, 0.63]"
2015,Billabong Pro Tahiti,Round 2,Heat 4 Watch replay,Brett Simpson,"[1.53, 2.67, 7.33, 0.83, 2.67]"
2015,Billabong Pro Tahiti,Round 2,Heat 4 Watch replay,Taj Burrow,"[0.9, 1.5, 4.83, 5.4, 1.87, 4.17]"
2015,Billabong Pro Tahiti,Round 2,Heat 5 Watch replay,Bede Durbidge,"[7.33, 7.03, 1.0, 2.47]"
2015,Billabong Pro Tahiti,Round 2,Heat 5 Watch replay,Glenn Hall,"[6.67, 1.93, 0.2, 1.5, 0.17, 2.77]"
2015,Billabong Pro Tahiti,Round 2,Heat 6 Watch replay,Wiggolly Dantas,"[1.0, 5.0, 5.1, 0.5, 5.73]"
2015,Billabong Pro Tahiti,Round 2,Heat 6 Watch replay,Kolohe Andino,"[0.43, 1.07, 1.8, 2.67, 0.7, 0.43, 1.33]"
2015,Billabong Pro Tahiti,Round 2,Heat 7 Watch replay,Gabriel Medina,"[1.0, 2.33, 6.67, 8.33, 6.93, 8.5, 7.73, 2.83]"
2015,Billabong Pro Tahiti,Round 2,Heat 7 Watch replay,Ricardo Christie,"[5.67, 0.5, 3.33, 3.83, 1.0, 0.23, 6.77, 4.1]"
2015,Billabong Pro Tahiti,Round 2,Heat 8 Watch replay,Matt Wilkinson,"[0.5, 4.5, 1.43, 8.0, 1.23, 0.83]"
2015,Billabong Pro Tahiti,Round 2,Heat 8 Watch replay,Freddy Patacchia Jr.,"[1.1, 6.83, 0.7, 4.13]"
2015,Billabong Pro Tahiti,Round 2,Heat 9 Watch replay,Kai Otton,"[3.33, 1.8, 1.23, 6.67, 7.83, 0.37, 0.2, 6.83]"
