year,event,round,heat,name,scores
2008,Billabong Pro Teahupoo,Round 2,Heat 1 ,Kelly Slater,"[9.0, 1.5, 2.9, 5.33, 8.07, 9.7, 7.5, 0.23]"
2008,Billabong Pro Teahupoo,Round 2,Heat 1 ,Jamie O'Brien,"[7.33, 6.57, 2.77]"
2008,Billabong Pro Teahupoo,Round 2,Heat 2 ,Bruno Santos,"[5.83, 0.33, 2.03, 0.77, 0.8, 2.07, 1.67, 4.17]"
2008,Billabong Pro Teahupoo,Round 2,Heat 2 ,Mick Fanning,"[5.17, 2.5, 1.6, 4.0, 0.27, 1.83, 0.37, 2.17]"
2008,Billabong Pro Teahupoo,Round 2,Heat 3 ,Bede Durbidge,"[6.67, 7.07, 0.83, 2.1]"
2008,Billabong Pro Teahupoo,Round 2,Heat 3 ,Nic Muscroft,"[1.17, 1.17, 0.23, 1.8, 0.8, 0.3]"
2008,Billabong Pro Teahupoo,Round 2,Heat 4 ,Chris Ward,"[4.83, 6.67, 1.0, 1.33, 0.6, 1.13, 7.83, 1.67]"
2008,Billabong Pro Teahupoo,Round 2,Heat 4 ,Jeremy Flores,"[2.17, 5.07, 2.07, 7.83, 2.17]"
2008,Billabong Pro Teahupoo,Round 2,Heat 5 ,Taylor Knox,"[5.0, 2.6, 6.83, 3.7, 3.1]"
2008,Billabong Pro Teahupoo,Round 2,Heat 5 ,Aritz Aranburu,"[4.67, 2.67, 2.77]"
2008,Billabong Pro Teahupoo,Round 2,Heat 6 ,Dane Reynolds,"[1.0, 2.17, 3.83, 1.2, 6.5, 0.27, 3.73, 8.0, 1.83]"
2008,Billabong Pro Teahupoo,Round 2,Heat 6 ,Travis Logie,"[1.13, 0.2, 4.43, 7.83, 0.27]"
2008,Billabong Pro Teahupoo,Round 2,Heat 7 ,Royden Bryson,"[5.33, 1.5, 5.0, 8.0, 4.07, 0.77, 0.63]"
2008,Billabong Pro Teahupoo,Round 2,Heat 7 ,Neco Padaratz,"[0.27, 8.17, 1.43]"
2008,Billabong Pro Teahupoo,Round 2,Heat 8 ,C.J. Hobgood,"[6.67, 7.67, 5.67, 0.2, 1.27, 9.0]"
2008,Billabong Pro Teahupoo,Round 2,Heat 8 ,Ricky Basnett,"[2.17, 1.0, 3.67, 1.7, 1.13, 2.5, 2.33]"
2008,Billabong Pro Teahupoo,Round 2,Heat 9 ,Tom Whitaker,"[3.67, 8.67, 7.17, 5.17]"
2008,Billabong Pro Teahupoo,Round 2,Heat 9 ,Daniel Ross,"[1.67, 0.93, 1.9, 0.93, 7.5]"
2008,Billabong Pro Teahupoo,Round 2,Heat 10 ,Mikael Picon,"[2.0, 4.33, 1.33, 5.5, 7.17, 7.9, 0.77]"
2008,Billabong Pro Teahupoo,Round 2,Heat 10 ,Ben Dunn,"[0.17, 5.83, 4.0, 2.13]"
2008,Billabong Pro Teahupoo,Round 2,Heat 11 ,Tim Reyes,"[1.5, 1.83, 6.17, 4.33, 2.2]"
2008,Billabong Pro Teahupoo,Round 2,Heat 11 ,Jihad Khodr,"[1.0, 0.77, 1.93, 3.6, 1.73]"
2008,Billabong Pro Teahupoo,Round 2,Heat 12 ,Roy Powers,"[6.83, 3.17, 0.23, 2.6, 0.93]"
2008,Billabong Pro Teahupoo,Round 2,Heat 13 ,Bruce Irons,[]
2008,Billabong Pro Teahupoo,Round 2,Heat 13 ,Leonardo Neves,"[7.17, 8.83, 5.67, 9.5, 0.5]"
2008,Billabong Pro Teahupoo,Round 2,Heat 14 ,Luke Munro,"[1.0, 6.9, 2.5, 2.0, 10.0]"
2008,Billabong Pro Teahupoo,Round 2,Heat 14 ,Freddy Patacchia Jr.,"[1.5, 1.9, 2.17, 2.33, 2.77, 3.57, 8.63, 9.13]"
2008,Billabong Pro Teahupoo,Round 2,Heat 15 ,Jordy Smith,"[5.5, 7.67, 1.7, 3.67, 6.83, 9.57]"
2008,Billabong Pro Teahupoo,Round 2,Heat 15 ,Rodrigo Dornelles,"[0.23, 7.5, 1.3, 1.77, 6.27, 3.0, 1.17]"
2008,Billabong Pro Teahupoo,Round 2,Heat 16 ,Jay Thompson,"[1.33, 1.27, 3.17, 2.3, 8.0, 0.83]"
2008,Billabong Pro Teahupoo,Round 2,Heat 16 ,Kieren Perrow,"[1.83, 0.23, 7.5, 9.6]"
2008,Billabong Pro Teahupoo,Round 1,Heat 1 ,Dean Morrison,"[8.83, 0.5, 5.83, 7.33, 0.2]"
2008,Billabong Pro Teahupoo,Round 1,Heat 1 ,Jordy Smith,"[5.5, 1.5, 5.73, 7.0, 0.6, 1.77]"
2008,Billabong Pro Teahupoo,Round 1,Heat 1 ,Ricky Basnett,"[1.5, 5.0, 4.17, 0.5]"
2008,Billabong Pro Teahupoo,Round 1,Heat 2 ,Kai Otton,"[8.5, 3.0, 1.27, 1.5, 4.27, 5.57, 1.93]"
2008,Billabong Pro Teahupoo,Round 1,Heat 2 ,Luke Munro,"[7.0, 0.5, 1.5, 3.27, 0.37, 4.5, 6.4, 2.07]"
2008,Billabong Pro Teahupoo,Round 1,Heat 2 ,Royden Bryson,"[3.83, 4.67, 1.4, 6.5, 2.6]"
2008,Billabong Pro Teahupoo,Round 1,Heat 3 ,Bobby Martinez,"[1.13, 0.53, 2.0, 0.27, 8.67, 6.07]"
2008,Billabong Pro Teahupoo,Round 1,Heat 3 ,Travis Logie,"[4.17, 6.17, 7.33]"
2008,Billabong Pro Teahupoo,Round 1,Heat 3 ,Leonardo Neves,"[1.17, 0.77, 2.33, 0.77, 3.5, 3.23]"
2008,Billabong Pro Teahupoo,Round 1,Heat 4 ,Tiago Pires,"[9.17, 0.63, 6.0, 1.33, 1.5]"
2008,Billabong Pro Teahupoo,Round 1,Heat 4 ,Jeremy Flores,"[0.43, 5.67, 4.77, 1.9]"
2008,Billabong Pro Teahupoo,Round 1,Heat 4 ,Roy Powers,"[2.5, 0.57]"
2008,Billabong Pro Teahupoo,Round 1,Heat 5 ,Andy Irons,"[1.5, 1.2, 1.0, 1.3, 2.5, 1.17, 7.0, 4.27]"
2008,Billabong Pro Teahupoo,Round 1,Heat 5 ,Tim Reyes,"[3.17, 2.0, 0.67, 1.4, 7.33, 2.77, 1.17]"
2008,Billabong Pro Teahupoo,Round 1,Heat 5 ,Aritz Aranburu,"[1.07, 4.33, 2.3, 0.6]"
2008,Billabong Pro Teahupoo,Round 1,Heat 6 ,Joel Parkinson,"[4.67, 6.0, 0.43, 2.17, 3.83, 3.77, 5.4, 0.77, 7.27, 6.67, 0.93]"
2008,Billabong Pro Teahupoo,Round 1,Heat 6 ,Chris Ward,"[1.0, 4.0, 1.4, 8.0, 0.3, 4.2, 0.47, 2.0, 1.43, 4.87]"
2008,Billabong Pro Teahupoo,Round 1,Heat 6 ,Ben Dunn,"[6.5, 4.07, 4.27, 1.0]"
2008,Billabong Pro Teahupoo,Round 1,Heat 7 ,Dayyan Neve,"[1.17, 9.83, 0.37, 5.17, 6.33, 0.3]"
2008,Billabong Pro Teahupoo,Round 1,Heat 7 ,Bede Durbidge,"[2.33, 5.83, 0.5, 2.07, 0.87, 1.97, 8.17]"
2008,Billabong Pro Teahupoo,Round 1,Heat 7 ,Nic Muscroft,"[4.5, 0.53, 0.7, 0.67]"
2008,Billabong Pro Teahupoo,Round 1,Heat 8 ,Manoa Drollet,"[9.93, 7.33, 8.67]"
2008,Billabong Pro Teahupoo,Round 1,Heat 8 ,Kelly Slater,"[2.0, 5.5, 2.17, 1.1, 0.47, 1.43, 1.1, 1.1, 0.8, 9.8, 0.2]"
2008,Billabong Pro Teahupoo,Round 1,Heat 8 ,C.J. Hobgood,"[5.83, 1.0, 7.17, 1.27, 1.2, 0.43, 2.67, 0.8]"
2008,Billabong Pro Teahupoo,Round 1,Heat 9 ,Pancho Sullivan,"[7.5, 2.0, 0.2, 0.8, 0.37]"
2008,Billabong Pro Teahupoo,Round 1,Heat 9 ,Mick Fanning,"[0.2, 0.23, 0.9, 2.23, 0.97, 1.23, 3.4, 6.0]"
2008,Billabong Pro Teahupoo,Round 1,Heat 9 ,Jamie O'Brien,"[6.83, 0.73, 1.2, 0.43]"
2008,Billabong Pro Teahupoo,Round 1,Heat 10 ,Taj Burrow,"[6.67, 4.8, 7.83, 0.67, 4.3, 0.33, 6.17]"
2008,Billabong Pro Teahupoo,Round 1,Heat 10 ,Tom Whitaker,"[4.73, 1.67, 2.0, 2.13, 8.0, 3.43]"
2008,Billabong Pro Teahupoo,Round 1,Heat 10 ,Bruno Santos,"[4.17, 1.0, 0.5, 0.3, 0.4, 2.53, 0.5, 2.33, 0.27]"
