year,event,round,heat,name,scores
2011,Billabong Rio Pro,Round 2,Heat 1 ,Jordy Smith,"[0.67, 3.83, 6.5, 1.93, 0.43, 2.43, 5.17, 1.87, 4.57]"
2011,Billabong Rio Pro,Round 2,Heat 1 ,Peterson Crisanto,"[1.43, 3.0, 0.27, 1.73, 3.33, 3.77, 1.67]"
2011,Billabong Rio Pro,Round 2,Heat 2 ,Bede Durbidge,"[3.83, 0.5, 3.07, 0.27, 7.33, 4.0, 4.27]"
2011,Billabong Rio Pro,Round 2,Heat 2 ,Igor Morais,"[2.0, 0.73, 5.0, 5.17, 2.5, 2.93, 1.97, 3.53, 0.47, 0.7]"
2011,Billabong Rio Pro,Round 2,Heat 3 ,Michel Bourez,"[6.5, 3.5, 5.5, 1.0, 5.27, 5.77, 1.0, 6.0]"
2011,Billabong Rio Pro,Round 2,Heat 3 ,Simão Romão,"[5.0, 7.0, 3.17, 4.0, 5.1, 1.5]"
2011,Billabong Rio Pro,Round 2,Heat 4 ,Adriano de Souza,"[6.17, 8.5, 7.73, 7.93, 3.4, 7.9, 0.9, 1.9, 7.33, 5.0, 5.4]"
2011,Billabong Rio Pro,Round 2,Heat 4 ,Ricardo dos Santos,"[2.83, 0.33, 5.93, 6.73, 2.07, 3.5, 0.2, 1.0, 2.7, 0.83]"
2011,Billabong Rio Pro,Round 2,Heat 5 ,Joel Parkinson,"[9.0, 4.17, 4.33]"
2011,Billabong Rio Pro,Round 2,Heat 5 ,Kai Otton,"[6.67, 5.1, 1.0, 0.73, 0.87, 1.0, 2.17, 1.7, 0.2]"
2011,Billabong Rio Pro,Round 2,Heat 6 ,Bobby Martinez,"[5.0, 7.77]"
2011,Billabong Rio Pro,Round 2,Heat 6 ,Matt Wilkinson,"[2.0, 0.43, 1.97, 1.17, 4.07, 7.0, 0.83]"
2011,Billabong Rio Pro,Round 2,Heat 7 ,Kieren Perrow,"[2.67, 5.5, 3.4, 6.0, 1.33]"
2011,Billabong Rio Pro,Round 2,Heat 7 ,Gabe Kling,"[2.93, 4.5, 6.33, 5.07]"
2011,Billabong Rio Pro,Round 2,Heat 8 ,Josh Kerr,"[1.67, 0.5, 0.77, 5.17, 3.67, 7.57, 1.07, 1.0]"
2011,Billabong Rio Pro,Round 2,Heat 8 ,Chris Davidson,"[5.0, 7.17, 1.87, 0.53]"
2011,Billabong Rio Pro,Round 2,Heat 9 ,Raoni Monteiro,"[1.6, 4.17, 0.37, 4.43, 2.63, 2.87, 6.43, 6.1]"
2011,Billabong Rio Pro,Round 2,Heat 9 ,Tiago Pires,"[4.83, 2.17, 3.9, 4.57, 2.23, 0.5, 0.23, 3.27, 2.33, 5.27]"
2011,Billabong Rio Pro,Round 2,Heat 10 ,C.J. Hobgood,"[2.83, 8.57, 1.6, 7.93, 4.1, 0.87, 1.2, 1.83, 0.57, 0.23]"
2011,Billabong Rio Pro,Round 2,Heat 10 ,Julian Wilson,"[2.93, 3.63, 3.1, 2.0, 5.17, 0.4, 6.17, 1.13, 1.47, 1.47, 7.77, 6.93]"
2011,Billabong Rio Pro,Round 2,Heat 11 ,Heitor Alves,"[0.2, 5.17, 5.17, 7.17, 0.27, 5.27, 1.67, 5.07, 1.27, 1.73]"
2011,Billabong Rio Pro,Round 2,Heat 11 ,Dusty Payne,"[3.17, 4.17, 2.33, 0.43, 0.8, 0.53, 2.6, 0.57, 6.23, 4.03]"
2011,Billabong Rio Pro,Round 2,Heat 12 ,Adam Melling,"[6.0, 1.5, 0.37, 9.0, 2.1, 1.6, 1.2, 3.67, 4.87]"
2011,Billabong Rio Pro,Round 2,Heat 12 ,Alejo Muniz,"[5.5, 0.2, 1.4, 2.67, 0.3, 2.67, 0.97, 1.03, 3.77]"
