year,event,round,heat,name,scores
2018,Corona Bali Protected,Round 2,Heat 1 Watch replay,Filipe Toledo,"[0.5, 0.23, 1.07, 1.87, 1.43, 5.6, 0.53]"
2018,Corona Bali Protected,Round 2,Heat 1 Watch replay,Oney Anwar,"[5.0, 6.0, 0.9, 0.5, 1.0, 0.87]"
2018,Corona Bali Protected,Round 2,Heat 2 Watch replay,Italo Ferreira,"[1.1, 1.07, 0.5, 0.7, 5.27, 4.1]"
2018,Corona Bali Protected,Round 2,Heat 2 Watch replay,Barron Mamiya,"[6.17, 4.67, 1.57, 4.97, 0.3, 1.93]"
2018,Corona Bali Protected,Round 2,Heat 3 Watch replay,Mikey Wright,"[7.0, 1.43, 1.3, 0.2]"
2018,Corona Bali Protected,Round 2,Heat 3 Watch replay,Kolohe Andino,"[4.33, 0.2, 0.5, 3.5, 2.0]"
2018,Corona Bali Protected,Round 2,Heat 4 Watch replay,Adrian Buchan,"[4.17, 1.17, 3.5]"
2018,Corona Bali Protected,Round 2,Heat 4 Watch replay,Miguel Pupo,"[1.5, 2.67, 5.33, 3.43]"
2018,Corona Bali Protected,Round 2,Heat 5 Watch replay,Michael February,"[4.33, 0.3, 1.23]"
2018,Corona Bali Protected,Round 2,Heat 5 Watch replay,Wade Carmichael,"[3.33, 1.27, 0.5, 1.57, 3.4]"
2018,Corona Bali Protected,Round 2,Heat 6 Watch replay,Keanu Asing,"[0.63, 3.17, 0.67, 0.5, 3.87, 4.6]"
2018,Corona Bali Protected,Round 2,Heat 6 Watch replay,Sebastian Zietz,"[4.17, 1.0, 1.93, 0.43, 2.7, 1.67, 3.83]"
2018,Corona Bali Protected,Round 2,Heat 7 Watch replay,Frederico Morais,"[0.83, 3.33, 4.67, 3.67, 4.83, 5.9, 3.77]"
2018,Corona Bali Protected,Round 2,Heat 7 Watch replay,Ian Gouveia,"[2.0, 2.73, 1.4, 4.0, 0.77, 4.43]"
2018,Corona Bali Protected,Round 2,Heat 8 Watch replay,Matt Wilkinson,"[7.17, 0.93, 4.83, 5.6, 4.43]"
2018,Corona Bali Protected,Round 2,Heat 8 Watch replay,Joan Duru,"[0.5, 0.93, 4.77, 0.9, 2.23, 0.83]"
2018,Corona Bali Protected,Round 2,Heat 9 Watch replay,Jesse Mendes,"[5.0, 2.0, 3.17, 3.93, 5.73]"
2018,Corona Bali Protected,Round 2,Heat 9 Watch replay,Kanoa Igarashi,"[6.33, 0.5, 0.83, 0.93, 0.5, 4.23, 0.73, 0.53]"
2018,Corona Bali Protected,Round 2,Heat 10 ,Ezekiel Lau,"[7.17, 1.17, 5.93]"
2018,Corona Bali Protected,Round 2,Heat 10 ,Patrick Gudauskas,"[2.5, 3.5, 5.17, 0.87, 2.77]"
2018,Corona Bali Protected,Round 2,Heat 11 Watch replay,Michael Rodrigues,"[4.0, 0.77, 0.5, 0.37, 3.0, 2.5, 2.93, 0.4, 4.07]"
2018,Corona Bali Protected,Round 2,Heat 11 Watch replay,Yago Dora,"[5.5, 1.33, 4.33, 2.07, 0.87, 5.77, 1.5]"
2018,Corona Bali Protected,Round 2,Heat 12 Watch replay,Tomas Hermes,"[1.83, 0.63, 3.0, 3.3, 6.33, 1.63]"
2018,Corona Bali Protected,Round 2,Heat 12 Watch replay,Connor O'Leary,"[0.3, 5.17, 0.23, 3.5, 0.73, 6.17]"
2018,Corona Bali Protected,Round 1,Heat 1 Watch replay,Joel Parkinson,"[1.13, 5.0, 4.0, 0.2, 1.83]"
2018,Corona Bali Protected,Round 1,Heat 1 Watch replay,Italo Ferreira,"[0.43, 6.0, 0.3, 4.1, 1.77]"
2018,Corona Bali Protected,Round 1,Heat 1 Watch replay,Keanu Asing,"[0.7, 0.2, 2.0, 5.17, 0.4, 0.7]"
2018,Corona Bali Protected,Round 1,Heat 2 Watch replay,Owen Wright,"[6.17, 3.17, 4.6]"
2018,Corona Bali Protected,Round 1,Heat 2 Watch replay,Michael February,"[0.43, 2.0, 2.5, 2.57, 7.17, 1.7, 0.73, 0.43]"
2018,Corona Bali Protected,Round 1,Heat 2 Watch replay,Ezekiel Lau,"[3.0, 0.9, 6.57, 0.2, 2.8]"
2018,Corona Bali Protected,Round 1,Heat 3 Watch replay,John John Florence,"[7.0, 6.73]"
2018,Corona Bali Protected,Round 1,Heat 3 Watch replay,Michael Rodrigues,"[0.47, 4.5, 3.5, 0.63, 0.83]"
2018,Corona Bali Protected,Round 1,Heat 3 Watch replay,Miguel Pupo,"[0.43, 2.83, 1.0, 1.33, 0.2]"
2018,Corona Bali Protected,Round 1,Heat 4 Watch replay,Conner Coffin,"[2.63, 4.77]"
2018,Corona Bali Protected,Round 1,Heat 4 Watch replay,Filipe Toledo,"[5.33, 0.2, 3.0, 4.13]"
2018,Corona Bali Protected,Round 1,Heat 4 Watch replay,Mikey Wright,"[3.17, 0.6, 1.0, 1.03, 0.5, 2.67]"
