year,event,round,heat,name,scores
2018,Corona Open J-Bay,Round 2,Heat 1 Watch replay,Julian Wilson,"[1.67, 7.33, 5.07, 7.1]"
2018,Corona Open J-Bay,Round 2,Heat 1 Watch replay,Matthew McGillivray,"[5.17, 0.57, 1.63, 5.93, 0.57, 3.27, 7.57, 2.5, 1.67, 0.27]"
2018,Corona Open J-Bay,Round 2,Heat 2 Watch replay,Wiggolly Dantas,"[5.67, 2.0, 0.3, 1.63, 6.1, 2.13]"
2018,Corona Open J-Bay,Round 2,Heat 2 Watch replay,Italo Ferreira,"[0.5, 3.83, 3.0, 4.5, 4.93, 4.8, 3.1]"
2018,Corona Open J-Bay,Round 2,Heat 3 Watch replay,Michel Bourez,"[0.37, 1.43, 2.0, 5.73, 0.23, 1.9, 0.2]"
2018,Corona Open J-Bay,Round 2,Heat 3 Watch replay,Miguel Pupo,"[0.37, 0.2, 1.07, 1.33, 2.67, 5.33, 5.23, 1.4, 1.17, 6.17]"
2018,Corona Open J-Bay,Round 2,Heat 4 Watch replay,Jordy Smith,"[6.17, 6.27, 6.33, 3.0, 4.77, 2.17]"
2018,Corona Open J-Bay,Round 2,Heat 4 Watch replay,Kelly Slater,"[4.33, 0.43, 7.07, 4.67]"
2018,Corona Open J-Bay,Round 2,Heat 5 Watch replay,Owen Wright,"[5.17, 3.83, 6.83, 2.33, 6.77, 0.5]"
2018,Corona Open J-Bay,Round 2,Heat 5 Watch replay,Ian Gouveia,"[6.0, 8.0, 1.57, 6.23, 3.17]"
2018,Corona Open J-Bay,Round 2,Heat 6 Watch replay,Adrian Buchan,"[5.43, 6.0, 4.83]"
2018,Corona Open J-Bay,Round 2,Heat 6 Watch replay,Michael February,"[2.67, 0.8, 3.77, 6.0, 6.5, 1.33]"
2018,Corona Open J-Bay,Round 2,Heat 7 Watch replay,Michael Rodrigues,"[6.83, 7.0, 4.0]"
2018,Corona Open J-Bay,Round 2,Heat 7 Watch replay,Keanu Asing,"[0.27, 0.43, 4.5, 0.5, 6.2, 1.5]"
2018,Corona Open J-Bay,Round 2,Heat 8 Watch replay,Wade Carmichael,"[6.33, 4.17, 7.97]"
2018,Corona Open J-Bay,Round 2,Heat 8 Watch replay,Joan Duru,"[7.57, 2.17, 3.77]"
2018,Corona Open J-Bay,Round 2,Heat 9 Watch replay,Adriano de Souza,"[2.0, 3.67, 4.23, 4.93, 3.1, 5.3]"
2018,Corona Open J-Bay,Round 2,Heat 9 Watch replay,Patrick Gudauskas,"[4.0, 2.77, 5.17, 3.67, 7.6]"
2018,Corona Open J-Bay,Round 2,Heat 10 Watch replay,Mikey Wright,"[4.67, 3.17, 1.0, 7.9, 1.5]"
2018,Corona Open J-Bay,Round 2,Heat 10 Watch replay,Jesse Mendes,"[7.33, 4.67, 7.93, 6.77]"
2018,Corona Open J-Bay,Round 2,Heat 11 Watch replay,Connor O'Leary,"[4.83, 5.77, 8.43, 4.33, 7.33]"
2018,Corona Open J-Bay,Round 2,Heat 11 Watch replay,Ezekiel Lau,"[7.17, 4.33, 3.67, 5.8, 6.4, 0.63]"
2018,Corona Open J-Bay,Round 2,Heat 12 Watch replay,Tomas Hermes,"[6.67, 1.77, 6.2, 0.23, 0.2, 0.2, 6.9, 7.17]"
2018,Corona Open J-Bay,Round 2,Heat 12 Watch replay,Matt Wilkinson,"[6.43, 3.33, 6.87, 5.67, 5.4, 3.1]"
2018,Corona Open J-Bay,Round 1,Heat 1 Watch replay,Frederico Morais,"[3.5, 3.07, 5.43]"
2018,Corona Open J-Bay,Round 1,Heat 1 Watch replay,Jordy Smith,"[5.0, 0.73, 3.53, 5.17, 0.5, 0.97]"
2018,Corona Open J-Bay,Round 1,Heat 1 Watch replay,Michael February,"[4.17, 2.5, 3.07, 1.5, 2.53]"
2018,Corona Open J-Bay,Round 1,Heat 2 Watch replay,Sebastian Zietz,"[4.83, 5.5, 6.83, 6.83, 7.2]"
2018,Corona Open J-Bay,Round 1,Heat 2 Watch replay,Michel Bourez,"[4.67, 3.17, 4.07, 2.87, 4.23, 0.5, 9.0]"
2018,Corona Open J-Bay,Round 1,Heat 2 Watch replay,Ian Gouveia,"[2.33, 3.33, 3.33, 1.93, 2.63]"
2018,Corona Open J-Bay,Round 1,Heat 3 Watch replay,Kanoa Igarashi,"[2.93, 6.33]"
2018,Corona Open J-Bay,Round 1,Heat 3 Watch replay,Italo Ferreira,"[2.83, 3.77, 6.27, 1.17, 5.67]"
2018,Corona Open J-Bay,Round 1,Heat 3 Watch replay,Kelly Slater,"[3.0, 4.83, 1.6, 1.83, 3.9, 2.67]"
