year,event,round,heat,name,scores
2014,Drug Aware Margaret River Pro,Round 2,Heat 1 ,Kelly Slater,"[3.0, 5.33, 7.5, 4.33, 5.27, 6.5, 6.03]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 1 ,Nathan Hedge,"[4.33, 5.67, 4.6, 6.33, 2.5, 5.97, 6.83]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 2 ,Joel Parkinson,"[3.83, 5.17, 5.47, 4.93]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 2 ,Mitch Coleborn,"[2.57, 3.53, 2.3, 3.43, 0.6]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 3 ,Nat Young,"[3.83, 7.0, 3.67, 3.07, 0.37, 6.17, 0.6, 8.1, 1.07, 0.2, 0.93]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 3 ,Brett Simpson,"[2.6, 4.37, 2.1, 0.73, 0.23, 0.67, 2.1]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 4 ,C.J. Hobgood,"[6.83, 2.0, 8.27]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 4 ,Raoni Monteiro,"[5.5, 7.07]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 5 ,Adriano de Souza,"[2.43, 3.5, 5.9, 4.17, 5.27, 2.03, 4.87]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 5 ,Aritz Aranburu,"[3.17, 3.13, 6.67, 4.27, 4.27]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 6 Watch replay,John John Florence,"[5.0, 0.8, 2.83, 6.0, 0.7, 7.73]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 6 Watch replay,Dion Atkinson,"[8.0, 3.23, 5.43, 2.67, 1.67]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 7 ,Michel Bourez,"[5.17, 3.17, 5.6, 3.27]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 7 ,Travis Logie,"[5.77, 3.67, 3.93, 2.93]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 8 ,Owen Wright,"[5.5, 5.87, 2.33, 7.33, 0.6]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 8 ,Perth Standlick,"[3.83, 4.17, 5.67, 2.87, 4.33]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 9 ,Adrian Buchan,"[5.17, 5.6, 4.5, 7.5, 2.97, 0.57, 1.73]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 9 ,Mitch Crews,"[2.5, 4.6, 3.23, 3.77, 7.17, 2.0, 4.1]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 10 ,Kolohe Andino,"[5.83, 1.93, 0.37, 4.5, 3.87, 7.67, 3.5]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 10 ,Jeremy Flores,"[7.0, 4.0, 0.5, 2.5, 5.17, 2.1]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 11 ,Sebastian Zietz,"[7.33, 0.93, 4.33, 6.6, 8.5, 0.43]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 11 ,Matt Wilkinson,"[5.67, 7.1, 1.0, 3.17, 5.5]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 12 ,Bede Durbidge,"[2.07, 0.93, 0.43, 6.0, 7.03, 3.67]"
2014,Drug Aware Margaret River Pro,Round 2,Heat 12 ,Freddy Patacchia Jr.,"[4.5, 6.83, 2.2, 5.93, 0.43, 2.07]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 1 ,Filipe Toledo,"[7.0, 3.0, 3.43, 5.23]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 1 ,Nat Young,"[0.37, 5.67, 3.1, 0.67]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 1 ,Aritz Aranburu,"[4.83, 3.4]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 2 ,Jordy Smith,"[8.33, 3.83, 5.43, 3.27, 7.0, 5.97]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 2 ,Raoni Monteiro,"[4.5, 4.77, 5.93, 0.9, 3.27]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 2 ,Sebastian Zietz,"[0.93, 5.33, 1.13]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 3 ,Taj Burrow,"[3.5, 3.9, 6.0, 4.77, 2.0]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 3 ,Brett Simpson,"[3.83, 5.67, 1.57]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 3 ,Freddy Patacchia Jr.,"[3.77, 3.83, 0.2]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 4 ,Adam Melling,"[5.5, 7.67]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 4 ,Joel Parkinson,"[3.17, 0.83, 6.33, 0.6, 4.5, 1.67]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 4 ,Mitch Coleborn,"[2.0, 3.73, 5.57, 3.57]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 5 ,Yadin Nicol,"[7.0, 3.43, 8.23, 0.6]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 5 ,Kelly Slater,"[3.83, 2.77, 0.63, 6.0, 5.87]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 5 ,Bede Durbidge,"[0.9, 4.67, 5.7]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 6 ,Mick Fanning,"[4.5, 2.63, 4.4, 6.67, 5.63, 2.67, 6.5]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 6 ,Nathan Hedge,"[2.67, 0.5, 3.4, 4.53, 4.9]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 6 ,Matt Wilkinson,"[5.5, 0.67, 1.0, 2.07]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 7 ,Julian Wilson,"[8.5, 7.5, 7.37]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 7 ,Jeremy Flores,"[0.5, 4.6, 6.93, 0.7, 2.1]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 7 ,Dion Atkinson,"[5.0, 4.0, 4.17, 1.0]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 8 ,Miguel Pupo,"[0.5, 4.5, 5.83, 6.07, 1.13, 6.5]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 8 ,C.J. Hobgood,"[4.83, 3.0, 0.73, 6.23, 0.6]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 8 ,Travis Logie,"[3.0, 0.37, 2.0, 3.5, 5.4]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 9 ,Josh Kerr,"[5.17, 5.33, 3.83, 3.1]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 9 ,Adrian Buchan,"[2.83, 2.0, 1.5, 0.43, 1.97]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 10 ,Jadson Andre,"[5.0, 5.4, 2.0, 7.33, 7.17, 0.43, 7.1]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 10 ,Owen Wright,"[5.83, 5.43]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 10 ,Adriano de Souza,"[4.33, 4.43, 5.43, 0.3, 0.57, 0.43, 3.17]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 11 ,Kai Otton,"[5.33, 7.0, 0.43, 6.4, 0.43, 4.0]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 11 ,Mitch Crews,"[1.9, 6.73, 6.1, 3.17, 0.43]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 11 ,Michel Bourez,"[6.5, 2.17, 1.43, 4.5, 4.57, 4.6, 0.3, 0.63]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 12 ,Gabriel Medina,"[3.17, 1.0, 6.5, 1.17, 2.17, 1.33]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 12 ,John John Florence,"[7.67, 0.23, 1.2, 0.2, 5.07, 0.57, 0.27, 7.0, 5.23]"
2014,Drug Aware Margaret River Pro,Round 1,Heat 12 ,Kolohe Andino,"[1.5, 4.93, 0.8, 4.5, 5.67, 6.83, 0.3, 6.13]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 1 ,Bede Durbidge,"[0.5, 4.83, 6.6, 4.67, 8.6]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 1 ,Taj Burrow,"[6.33, 7.33, 7.6, 5.33, 3.83]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 2 ,Josh Kerr,"[6.0, 3.93, 6.23, 0.77, 0.43]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 2 ,Adrian Buchan,"[1.33, 4.9, 1.0, 0.5, 0.37, 0.83, 5.4]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 3 ,Jordy Smith,"[7.83, 1.0, 5.27]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 3 ,Adam Melling,"[0.23, 7.5, 2.17]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 4 ,Miguel Pupo,"[3.67, 0.5, 0.3, 3.0, 4.67, 3.6, 6.67]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 4 ,C.J. Hobgood,"[0.83, 4.0, 3.8, 5.67]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 5 ,Gabriel Medina,"[7.67, 0.77, 5.67, 1.5, 8.77, 3.1]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 5 ,John John Florence,"[1.17, 1.73, 3.0, 8.5, 4.5, 1.5, 2.6, 1.8]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 6 ,Yadin Nicol,"[1.67, 7.17, 0.3, 1.0, 2.17]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 6 ,Mick Fanning,"[4.33, 0.93, 3.67, 2.5, 5.5, 0.7, 2.57]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 7 ,Kelly Slater,"[5.33, 5.73, 6.83, 0.5, 0.77, 2.73]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 7 ,Jadson Andre,"[1.67, 0.63, 3.0, 5.27, 1.5, 4.33, 1.87, 5.2]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 8 ,Michel Bourez,"[6.67, 6.2, 0.7, 4.83, 2.67, 2.67, 5.37]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 8 ,Kai Otton,"[0.2, 1.33, 0.7, 4.47, 0.87, 4.73, 4.97]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 9 ,Filipe Toledo,"[3.33, 4.5, 1.0, 1.27, 0.2, 8.07, 2.17, 6.5]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 9 ,Julian Wilson,"[0.5, 0.5, 1.4, 7.17, 4.83, 2.9]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 10 ,Nat Young,"[1.27, 6.33, 5.2, 1.93, 4.67, 5.93, 1.0]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 10 ,Sebastian Zietz,"[4.5, 4.5, 5.5, 3.9, 5.53]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 11 ,Adriano de Souza,"[6.83, 4.0, 2.3, 5.67, 5.37, 0.3, 5.57]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 11 ,Owen Wright,"[0.2, 0.3, 0.83, 4.8, 0.87, 0.43, 6.6]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 12 ,Joel Parkinson,"[6.0, 8.5, 4.07, 0.5, 1.33]"
2014,Drug Aware Margaret River Pro,Round 3,Heat 12 ,Kolohe Andino,"[0.43, 3.5, 0.7, 1.13, 1.57, 1.73, 0.5]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 1 ,Bede Durbidge,"[6.33, 7.33, 3.5, 3.0]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 1 ,Jordy Smith,"[5.0, 2.33, 7.0]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 1 ,Josh Kerr,[6.93]
2014,Drug Aware Margaret River Pro,Round 4,Heat 2 ,Gabriel Medina,"[4.67, 2.67, 4.0, 6.83, 4.93, 7.5, 0.8]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 2 ,Yadin Nicol,"[6.0, 5.17, 3.6, 5.17, 0.7, 5.5]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 2 ,Miguel Pupo,"[0.5, 3.0, 0.63, 2.0, 6.3, 0.87, 0.93]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 3 ,Kelly Slater,"[1.17, 3.83, 5.23, 5.0, 6.33, 4.3, 5.6]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 3 ,Filipe Toledo,"[5.33, 0.7, 3.1, 5.3, 2.33]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 3 ,Michel Bourez,"[2.17, 4.17, 2.27, 1.5, 4.33]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 4 ,Nat Young,"[7.0, 6.93, 1.17, 0.5]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 4 ,Adriano de Souza,"[2.0, 3.67, 7.77, 5.6]"
2014,Drug Aware Margaret River Pro,Round 4,Heat 4 ,Joel Parkinson,"[5.33, 0.23, 0.83, 5.4, 1.13]"
2014,Drug Aware Margaret River Pro,Round 5,Heat 1 ,Jordy Smith,"[1.0, 1.83, 1.27, 4.83, 4.5, 1.03, 6.33, 0.27]"
2014,Drug Aware Margaret River Pro,Round 5,Heat 1 ,Miguel Pupo,"[0.2, 0.3, 1.07, 3.77, 4.6]"
2014,Drug Aware Margaret River Pro,Round 5,Heat 2 ,Josh Kerr,"[6.17, 1.67, 3.5, 4.5, 8.17, 0.57, 0.77, 5.43, 1.07]"
