year,event,round,heat,name,scores
2015,Fiji Pro,Round 2,Heat 1 Watch replay,Adriano de Souza,"[6.83, 1.03, 0.23, 6.67, 0.23]"
2015,Fiji Pro,Round 2,Heat 1 Watch replay,Inia Nakalevu,"[3.1, 1.07, 0.6, 0.5, 3.77]"
2015,Fiji Pro,Round 2,Heat 2 Watch replay,Filipe Toledo,"[5.5, 5.0, 4.33, 1.0, 0.63, 5.2]"
2015,Fiji Pro,Round 2,Heat 2 Watch replay,Aca Ravulo,"[3.93, 2.0, 2.5, 0.43, 3.33, 0.9, 3.27, 4.93, 3.83]"
2015,Fiji Pro,Round 2,Heat 3 Watch replay,Dane Reynolds,"[2.33, 6.83, 0.5, 8.17, 6.27, 4.5, 6.83]"
2015,Fiji Pro,Round 2,Heat 3 Watch replay,Josh Kerr,"[3.27, 2.67, 6.67, 3.53, 7.43, 6.1, 2.6]"
2015,Fiji Pro,Round 2,Heat 4 Watch replay,Kelly Slater,"[8.77, 7.83, 2.33, 1.0, 2.77, 4.27, 3.73, 6.0]"
2015,Fiji Pro,Round 2,Heat 4 Watch replay,Jay Davies,"[3.67, 0.3, 5.67, 3.67, 0.5, 0.27, 1.93, 3.8]"
2015,Fiji Pro,Round 2,Heat 5 Watch replay,Owen Wright,"[0.5, 0.5, 2.67, 1.0, 3.77, 6.33]"
2015,Fiji Pro,Round 2,Heat 5 Watch replay,Aritz Aranburu,"[2.83, 4.83, 0.33, 3.43, 4.2, 1.3]"
2015,Fiji Pro,Round 2,Heat 6 Watch replay,Julian Wilson,"[3.0, 2.87, 1.33, 3.43]"
2015,Fiji Pro,Round 2,Heat 6 Watch replay,C.J. Hobgood,"[1.83, 1.77, 0.5, 4.5, 6.17, 2.83]"
2015,Fiji Pro,Round 2,Heat 7 Watch replay,Bede Durbidge,"[0.37, 0.57, 6.5, 7.0, 8.67, 1.17]"
2015,Fiji Pro,Round 2,Heat 7 Watch replay,Dusty Payne,"[0.37, 1.63, 4.5, 1.0, 0.37, 1.77, 3.4, 8.2]"
2015,Fiji Pro,Round 2,Heat 8 Watch replay,Joel Parkinson,"[6.17, 1.37, 6.03, 1.43, 7.73]"
2015,Fiji Pro,Round 2,Heat 8 Watch replay,Glenn Hall,"[1.5, 4.5, 0.57, 1.6, 0.3, 3.17, 0.43, 4.33, 0.6, 4.37]"
2015,Fiji Pro,Round 2,Heat 9 Watch replay,Adam Melling,"[8.9, 8.1, 8.7, 0.5, 0.27, 0.6]"
2015,Fiji Pro,Round 2,Heat 9 Watch replay,Matt Wilkinson,"[0.63, 7.33, 5.17, 0.67, 0.77, 0.23, 2.73]"
2015,Fiji Pro,Round 2,Heat 10 Watch replay,Freddy Patacchia Jr.,"[3.6, 1.9, 6.27, 1.6, 2.87, 3.27, 3.57, 6.0]"
2015,Fiji Pro,Round 2,Heat 10 Watch replay,Miguel Pupo,"[4.83, 0.63, 0.87]"
2015,Fiji Pro,Round 2,Heat 11 Watch replay,Jeremy Flores,"[4.83, 7.33, 8.43, 1.0, 6.0]"
2015,Fiji Pro,Round 2,Heat 11 Watch replay,Ricardo Christie,"[7.67, 3.77, 7.9, 2.77, 7.77]"
