year,event,round,heat,name,scores
2008,Globe Pro Fiji,Round 2,Heat 1 ,Taj Burrow,"[3.67, 6.67, 2.17, 3.5, 1.23, 1.9, 3.03, 3.0]"
2008,Globe Pro Fiji,Round 2,Heat 1 ,Matia Waqa,"[1.5, 1.0, 0.97, 2.33, 0.93]"
2008,Globe Pro Fiji,Round 2,Heat 2 ,Bede Durbidge,"[2.0, 3.33, 2.9, 8.5, 4.73, 7.57]"
2008,Globe Pro Fiji,Round 2,Heat 2 ,Isei Tokovou,"[0.4, 1.0, 1.13, 1.43, 5.67, 7.93, 1.73, 1.67, 1.37, 1.5]"
2008,Globe Pro Fiji,Round 2,Heat 3 ,Mark Occhilupo,"[4.5, 2.0, 1.43, 5.33, 7.17, 2.9]"
2008,Globe Pro Fiji,Round 2,Heat 3 ,Kai Otton,"[6.5, 0.43, 4.67, 0.83, 1.27, 1.5, 2.33, 1.1]"
2008,Globe Pro Fiji,Round 2,Heat 4 ,Bobby Martinez,"[2.53, 9.17, 2.0, 3.1, 6.0]"
2008,Globe Pro Fiji,Round 2,Heat 4 ,Yadin Nicol,"[2.5, 0.9, 0.23, 1.1, 2.07, 2.87]"
2008,Globe Pro Fiji,Round 2,Heat 5 ,Adrian Buchan,"[0.5, 0.67, 2.17, 5.33, 6.33, 0.43]"
2008,Globe Pro Fiji,Round 2,Heat 5 ,Ricky Basnett,"[2.0, 1.27, 1.67, 1.5, 4.17]"
2008,Globe Pro Fiji,Round 2,Heat 6 ,C.J. Hobgood,"[1.5, 0.63, 2.83, 0.2, 2.73, 8.17, 0.93, 5.5]"
2008,Globe Pro Fiji,Round 2,Heat 6 ,Daniel Ross,"[0.83, 1.57, 1.27, 2.33]"
2008,Globe Pro Fiji,Round 2,Heat 7 ,Adriano de Souza,"[4.17, 7.0, 6.17, 1.0, 7.17]"
2008,Globe Pro Fiji,Round 2,Heat 7 ,Jihad Khodr,"[2.33, 3.43, 1.77]"
2008,Globe Pro Fiji,Round 2,Heat 8 ,Royden Bryson,"[1.37, 1.63, 3.0, 1.63, 5.17]"
2008,Globe Pro Fiji,Round 2,Heat 8 ,Dean Morrison,"[1.5, 0.77, 5.0, 2.77, 1.0, 2.57]"
2008,Globe Pro Fiji,Round 2,Heat 9 ,Chris Ward,"[3.0, 2.6, 3.13, 0.4, 0.73, 1.4, 0.17, 4.33, 0.93]"
2008,Globe Pro Fiji,Round 2,Heat 9 ,Tom Whitaker,"[0.57, 0.57, 2.9, 0.47, 0.83]"
2008,Globe Pro Fiji,Round 2,Heat 10 ,Rodrigo Dornelles,"[0.63, 2.33, 4.5, 6.5, 2.17, 0.97]"
2008,Globe Pro Fiji,Round 2,Heat 10 ,Taylor Knox,"[4.0, 0.77, 0.63, 1.8, 1.4, 5.67, 0.77]"
2008,Globe Pro Fiji,Round 2,Heat 11 ,Tim Reyes,"[1.17, 2.33, 2.63, 3.1, 5.83, 8.0, 4.9]"
2008,Globe Pro Fiji,Round 2,Heat 12 ,Pancho Sullivan,[]
2008,Globe Pro Fiji,Round 2,Heat 12 ,Daniel Wills,"[2.83, 7.67, 7.0, 0.83, 1.0, 1.4]"
2008,Globe Pro Fiji,Round 2,Heat 13 ,Dayyan Neve,"[3.83, 3.83, 4.93, 8.5]"
2008,Globe Pro Fiji,Round 2,Heat 13 ,Leonardo Neves,"[4.67, 0.5, 3.0, 1.0, 6.67, 7.77, 0.57, 0.87]"
2008,Globe Pro Fiji,Round 2,Heat 14 ,Mikael Picon,"[1.17, 0.57, 6.17, 2.17, 4.43, 8.17, 3.83, 4.67]"
2008,Globe Pro Fiji,Round 2,Heat 14 ,Bruce Irons,"[7.0, 9.17, 0.43, 4.1]"
2008,Globe Pro Fiji,Round 2,Heat 15 ,Jay Thompson,"[0.5, 1.6, 0.57, 2.4, 2.03, 0.5, 0.43, 9.83, 0.33]"
2008,Globe Pro Fiji,Round 2,Heat 15 ,Neco Padaratz,"[0.43, 1.07, 8.0, 1.5, 5.0, 1.9]"
2008,Globe Pro Fiji,Round 2,Heat 16 ,Damien Hobgood,"[1.3, 3.67, 6.33, 0.67, 3.97, 3.7, 0.73, 1.97]"
2008,Globe Pro Fiji,Round 2,Heat 16 ,Luke Munro,[]
2008,Globe Pro Fiji,Round 1,Heat 1 ,Jordy Smith,"[1.5, 7.5, 8.17, 0.73]"
2008,Globe Pro Fiji,Round 1,Heat 1 ,Royden Bryson,"[4.0, 5.33, 1.9, 7.53]"
2008,Globe Pro Fiji,Round 1,Heat 1 ,Adrian Buchan,"[6.83, 0.57, 1.0, 1.07, 2.43]"
2008,Globe Pro Fiji,Round 1,Heat 2 ,Tiago Pires,"[3.17, 7.67, 8.5]"
2008,Globe Pro Fiji,Round 1,Heat 2 ,Bobby Martinez,"[1.67, 1.07, 6.0, 0.93, 6.5, 8.13]"
2008,Globe Pro Fiji,Round 1,Heat 2 ,Luke Munro,[]
2008,Globe Pro Fiji,Round 1,Heat 3 ,Ben Dunn,"[3.17, 7.83, 5.17, 1.67]"
2008,Globe Pro Fiji,Round 1,Heat 3 ,Kai Otton,"[4.33, 2.27, 7.17, 1.4, 0.93, 5.27, 3.0, 1.67, 2.67, 3.33, 3.73]"
2008,Globe Pro Fiji,Round 1,Heat 3 ,Jihad Khodr,"[2.5, 1.5, 4.5, 3.5]"
2008,Globe Pro Fiji,Round 1,Heat 4 ,Jeremy Flores,"[4.0, 0.5, 6.17, 3.73, 5.1, 0.3, 0.57]"
2008,Globe Pro Fiji,Round 1,Heat 4 ,Damien Hobgood,"[0.5, 3.0, 2.13, 6.67, 4.07, 1.67]"
2008,Globe Pro Fiji,Round 1,Heat 4 ,Daniel Ross,"[1.0, 2.0, 3.57, 2.6, 4.07]"
2008,Globe Pro Fiji,Round 1,Heat 5 ,Andy Irons,"[6.67, 1.43, 1.77, 4.5, 3.33, 1.17, 9.73]"
2008,Globe Pro Fiji,Round 1,Heat 5 ,Neco Padaratz,"[5.0, 1.83, 1.7, 6.0, 0.5, 2.27, 2.0, 1.07, 1.6, 6.93, 3.87]"
2008,Globe Pro Fiji,Round 1,Heat 5 ,Ricky Basnett,"[3.5, 1.5, 1.03, 2.83, 0.37, 1.93, 0.77, 2.07, 2.93, 2.0, 1.0]"
2008,Globe Pro Fiji,Round 1,Heat 6 ,Travis Logie,"[8.67, 4.1, 4.33, 0.83]"
2008,Globe Pro Fiji,Round 1,Heat 6 ,Bede Durbidge,"[7.67, 4.2]"
2008,Globe Pro Fiji,Round 1,Heat 6 ,Bruce Irons,"[5.33, 0.67, 5.33, 1.13, 1.23]"
2008,Globe Pro Fiji,Round 1,Heat 7 ,Aritz Aranburu,"[1.33, 7.67, 4.33, 1.43, 3.47]"
2008,Globe Pro Fiji,Round 1,Heat 7 ,Taj Burrow,"[1.17, 5.17, 0.5, 1.17, 4.0]"
2008,Globe Pro Fiji,Round 1,Heat 7 ,Dayyan Neve,"[3.5, 0.9, 4.87]"
2008,Globe Pro Fiji,Round 1,Heat 8 ,Kelly Slater,"[7.83, 1.43, 9.0, 9.67, 10.0, 9.73]"
2008,Globe Pro Fiji,Round 1,Heat 8 ,Taylor Knox,"[1.73, 0.67, 8.17, 4.67, 1.83, 3.67, 3.4]"
2008,Globe Pro Fiji,Round 1,Heat 8 ,Isei Tokovou,"[1.17, 0.93, 2.33, 4.5, 6.67, 1.0, 0.67, 4.1]"
2008,Globe Pro Fiji,Round 1,Heat 9 ,Mick Fanning,"[9.23, 3.83, 1.57, 8.77, 4.2]"
2008,Globe Pro Fiji,Round 1,Heat 9 ,Tim Reyes,"[5.5, 6.33, 1.77, 2.2]"
2008,Globe Pro Fiji,Round 1,Heat 9 ,Mark Occhilupo,"[2.67, 1.77, 1.43, 5.0, 3.5, 1.4]"
2008,Globe Pro Fiji,Round 1,Heat 10 ,Joel Parkinson,"[7.5, 3.5, 5.67, 2.0, 4.43]"
2008,Globe Pro Fiji,Round 1,Heat 10 ,Yadin Nicol,"[5.83, 4.5, 1.33, 2.0]"
2008,Globe Pro Fiji,Round 1,Heat 10 ,Pancho Sullivan,[4.73]
2008,Globe Pro Fiji,Round 1,Heat 11 ,Freddy Patacchia Jr.,"[1.5, 2.33, 9.0, 4.17, 6.77]"
2008,Globe Pro Fiji,Round 1,Heat 11 ,C.J. Hobgood,"[6.5, 1.43, 2.07, 2.43]"
2008,Globe Pro Fiji,Round 1,Heat 11 ,Jay Thompson,"[2.13, 3.07, 2.07, 3.03, 0.43, 0.83, 0.47, 0.8]"
2008,Globe Pro Fiji,Round 1,Heat 12 ,Roy Powers,"[1.87, 1.7, 1.97, 1.1, 5.77, 1.97, 6.67]"
2008,Globe Pro Fiji,Round 1,Heat 12 ,Adriano de Souza,"[2.83, 5.83, 5.67, 1.33, 2.5, 4.33]"
2008,Globe Pro Fiji,Round 1,Heat 12 ,Chris Ward,"[1.33, 1.0, 0.93, 4.0, 4.0, 1.87, 1.93, 2.13, 2.1, 1.1, 0.5, 3.53]"
2008,Globe Pro Fiji,Round 1,Heat 13 ,Heitor Alves,"[1.0, 4.67, 1.13, 0.93, 5.73, 8.67]"
2008,Globe Pro Fiji,Round 1,Heat 13 ,Mikael Picon,"[3.0, 3.1, 7.57, 6.3]"
2008,Globe Pro Fiji,Round 1,Heat 13 ,Dean Morrison,"[7.17, 0.67, 0.8, 3.5, 3.87, 1.37]"
2008,Globe Pro Fiji,Round 1,Heat 14 ,Luke Stedman,"[5.5, 2.33, 7.1, 4.0, 1.23]"
2008,Globe Pro Fiji,Round 1,Heat 14 ,Leonardo Neves,"[6.5, 1.4, 4.33, 0.23, 3.37]"
2008,Globe Pro Fiji,Round 1,Heat 14 ,Rodrigo Dornelles,"[0.5, 1.5, 0.5, 1.77, 3.17, 0.67, 4.07]"
2008,Globe Pro Fiji,Round 1,Heat 15 ,Kieren Perrow,"[9.17, 4.33, 1.0, 2.13, 1.23, 6.33]"
2008,Globe Pro Fiji,Round 1,Heat 15 ,Daniel Wills,"[2.0, 1.57, 8.0, 2.23, 4.73, 3.07]"
2008,Globe Pro Fiji,Round 1,Heat 15 ,Matia Waqa,"[5.33, 1.93, 0.5, 0.2]"
2008,Globe Pro Fiji,Round 1,Heat 16 ,Mick Campbell,"[1.67, 1.33, 2.67, 6.67, 7.67, 1.67, 5.0, 4.43]"
2008,Globe Pro Fiji,Round 1,Heat 16 ,Tom Whitaker,"[0.43, 0.6, 1.67]"
2008,Globe Pro Fiji,Round 3,Heat 1 ,Bede Durbidge,"[1.07, 1.0, 2.43, 6.5, 7.83, 3.3]"
2008,Globe Pro Fiji,Round 3,Heat 1 ,Royden Bryson,"[3.0, 0.33, 3.67, 2.0, 1.57, 1.6, 3.53]"
2008,Globe Pro Fiji,Round 3,Heat 2 ,Luke Stedman,"[3.33, 5.67, 2.17, 6.83, 2.6]"
2008,Globe Pro Fiji,Round 3,Heat 2 ,Mikael Picon,"[3.67, 0.43, 2.93, 0.63, 0.2, 3.33]"
2008,Globe Pro Fiji,Round 3,Heat 3 ,Tim Reyes,"[1.73, 4.0, 1.8, 8.67, 2.9, 8.0]"
2008,Globe Pro Fiji,Round 3,Heat 3 ,Roy Powers,"[2.07, 5.83, 1.67, 5.1, 7.33]"
2008,Globe Pro Fiji,Round 3,Heat 4 ,Taj Burrow,"[7.0, 0.87, 1.67, 2.5, 10.0, 5.67, 0.93]"
2008,Globe Pro Fiji,Round 3,Heat 4 ,Tiago Pires,"[1.17, 0.93, 9.67, 4.5, 5.4, 1.23]"
2008,Globe Pro Fiji,Round 3,Heat 5 ,Bobby Martinez,"[6.5, 1.4, 3.23, 0.73, 8.0]"
2008,Globe Pro Fiji,Round 3,Heat 5 ,Heitor Alves,"[2.0, 0.5, 2.0, 3.33, 0.63, 5.0, 7.5]"
2008,Globe Pro Fiji,Round 3,Heat 6 ,Adrian Buchan,"[7.5, 2.83, 1.67, 4.5, 2.17, 7.83, 6.93]"
2008,Globe Pro Fiji,Round 3,Heat 6 ,Rodrigo Dornelles,"[3.5, 0.5, 6.0, 4.63, 1.23]"
2008,Globe Pro Fiji,Round 3,Heat 7 ,Damien Hobgood,"[5.33, 4.33, 0.37, 6.5, 9.17, 5.9]"
2008,Globe Pro Fiji,Round 3,Heat 7 ,Ben Dunn,"[3.67, 3.07, 0.37, 2.23, 1.6, 3.73]"
2008,Globe Pro Fiji,Round 3,Heat 8 ,Kelly Slater,"[7.33, 2.5, 0.37, 1.9, 5.33, 0.37, 3.17, 8.33]"
2008,Globe Pro Fiji,Round 3,Heat 8 ,Mark Occhilupo,"[1.5, 6.17, 3.27]"
2008,Globe Pro Fiji,Round 3,Heat 9 ,Mick Fanning,"[3.67, 1.4, 3.4, 6.83, 6.93, 9.97]"
2008,Globe Pro Fiji,Round 3,Heat 9 ,Aritz Aranburu,"[5.83, 0.93, 0.5, 0.37, 3.1, 2.33, 4.5, 2.5]"
2008,Globe Pro Fiji,Round 3,Heat 10 ,Dayyan Neve,"[9.83, 1.6, 2.2, 1.0, 4.77, 5.43]"
2008,Globe Pro Fiji,Round 3,Heat 10 ,Jordy Smith,"[3.0, 7.83, 0.5, 4.67]"
2008,Globe Pro Fiji,Round 3,Heat 11 ,Chris Ward,"[4.67, 0.23, 1.0, 2.57, 5.83, 2.43, 1.1, 1.33, 1.47]"
2008,Globe Pro Fiji,Round 3,Heat 11 ,Jeremy Flores,"[1.4, 4.0, 4.93, 0.93, 1.77, 2.77, 2.17]"
2008,Globe Pro Fiji,Round 3,Heat 12 ,C.J. Hobgood,"[2.33, 8.83, 1.0, 0.23, 6.17, 7.0, 2.73, 2.83, 7.9]"
2008,Globe Pro Fiji,Round 3,Heat 12 ,Kieren Perrow,"[1.9, 3.83, 1.93, 4.17, 5.93]"
2008,Globe Pro Fiji,Round 3,Heat 13 ,Joel Parkinson,"[7.17, 0.37, 0.93, 6.5, 6.47]"
2008,Globe Pro Fiji,Round 3,Heat 13 ,Travis Logie,"[5.67, 0.23, 1.07, 1.0, 1.43]"
2008,Globe Pro Fiji,Round 3,Heat 14 ,Pancho Sullivan,"[8.0, 5.0, 6.83]"
2008,Globe Pro Fiji,Round 3,Heat 14 ,Jay Thompson,"[5.0, 1.17, 0.5]"
2008,Globe Pro Fiji,Round 3,Heat 15 ,Freddy Patacchia Jr.,"[8.17, 1.0, 0.5, 8.17, 6.0, 1.17]"
2008,Globe Pro Fiji,Round 3,Heat 15 ,Andy Irons,"[5.83, 0.3, 0.53]"
2008,Globe Pro Fiji,Round 3,Heat 16 ,Adriano de Souza,"[8.0, 2.5, 4.07, 7.33, 2.63, 0.43, 6.23]"
2008,Globe Pro Fiji,Round 3,Heat 16 ,Mick Campbell,"[2.67, 5.5, 1.73, 2.1, 0.7, 3.0, 1.87, 1.0]"
2008,Globe Pro Fiji,Round 4,Heat 1 ,Bede Durbidge,"[6.83, 8.5, 1.93, 7.57]"
2008,Globe Pro Fiji,Round 4,Heat 1 ,Luke Stedman,"[7.0, 0.93]"
2008,Globe Pro Fiji,Round 4,Heat 2 ,Taj Burrow,"[7.0, 8.5, 4.0, 6.33]"
2008,Globe Pro Fiji,Round 4,Heat 2 ,Tim Reyes,"[0.2, 1.0, 2.83, 0.5, 0.83]"
2008,Globe Pro Fiji,Round 4,Heat 3 ,Bobby Martinez,"[1.0, 6.17, 3.0, 6.0, 8.33, 5.0]"
2008,Globe Pro Fiji,Round 4,Heat 3 ,Adrian Buchan,"[6.83, 2.77, 6.73]"
2008,Globe Pro Fiji,Round 4,Heat 4 ,Kelly Slater,"[1.5, 1.27, 6.33, 6.4, 2.07, 0.43, 1.87]"
2008,Globe Pro Fiji,Round 4,Heat 4 ,Damien Hobgood,"[4.33, 3.67, 3.73, 3.17, 3.27]"
2008,Globe Pro Fiji,Round 4,Heat 5 ,Mick Fanning,"[5.67, 3.9, 6.67, 4.83]"
2008,Globe Pro Fiji,Round 4,Heat 5 ,Dayyan Neve,"[3.5, 1.5, 0.43, 1.0]"
2008,Globe Pro Fiji,Round 4,Heat 6 ,C.J. Hobgood,"[3.67, 4.33, 2.0, 8.17, 1.9, 5.5, 1.93]"
