year,event,round,heat,name,scores
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 1 ,C.J. Hobgood,"[7.5, 0.5, 0.57, 4.67, 5.33, 1.0, 6.83]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 1 ,Carybean Heleodoro,"[2.67, 1.5, 3.33, 3.67, 3.1, 0.83, 2.93]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 2 ,Raoni Monteiro,"[7.0, 1.0, 0.83, 6.17, 4.17, 1.77]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 2 ,Adrian Buchan,"[5.0, 1.5, 3.5, 1.27, 3.0, 0.5, 1.03, 4.87]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 3 ,Alejo Muniz,"[4.83, 6.5, 2.1, 2.17, 0.43, 6.67]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 3 ,Luke Stedman,"[5.5, 1.83, 5.07, 4.17, 1.93]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 4 ,Jano Belo,"[4.67, 5.67, 1.47, 3.0, 5.5, 4.87, 5.23]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 4 ,Kieren Perrow,"[2.0, 4.33, 0.57, 6.03, 1.87, 0.77, 0.73]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 5 ,Tom Whitaker,"[7.5, 2.5, 0.43, 0.4, 5.83, 1.97]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 5 ,Peterson Rosa,"[0.93, 2.33, 2.67, 1.1]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 6 ,Chris Ward,"[1.33, 0.2, 8.67, 2.17, 2.67, 6.17, 1.0, 1.5]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 6 ,Gustavo Fernandes,"[2.0, 6.33, 2.6, 0.2, 4.33, 3.33]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 7 ,Dayyan Neve,"[8.17, 6.5, 3.07]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 7 ,Tanio Barreto,"[3.17, 1.93, 4.17, 5.5, 1.5]"
2008,Hang Loose Santa Catarina Pro,Round 2,Heat 8 ,Tim Reyes,"[5.0, 5.67, 4.17, 9.17, 0.83]"
