year,event,round,heat,name,scores
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 1 Watch replay,Matthew McGillivray,"[5.33, 0.5, 1.43, 3.77, 5.9, 7.67, 3.37]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 1 Watch replay,Kelly Slater,"[6.67, 6.33, 1.6, 0.5, 1.73]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 1 Watch replay,Koa Smith,"[2.83, 4.77, 0.2, 0.4, 7.1, 5.67]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 2 Watch replay,Billy Kemper,"[7.93, 3.73]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 2 Watch replay,Morgan Cibilic,"[0.23, 1.93, 3.43, 3.0]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 2 Watch replay,Owen Wright,"[0.0, 3.27, 5.67]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 3 Watch replay,Connor O'Leary,"[1.67, 2.6, 0.23, 5.77, 5.57, 5.17, 7.77]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 3 Watch replay,Griffin Colapinto,"[3.5, 5.0, 0.5, 5.5, 0.3, 1.0, 6.67, 0.47, 0.47]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 3 Watch replay,Jordan Lawler,"[3.1, 3.37, 2.37, 1.9, 3.23]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 4 Watch replay,Caio Ibelli,"[5.33, 5.37, 3.9]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 4 Watch replay,Seth Moniz,"[0.37, 5.33, 0.47, 3.93]"
2022,Hurley Pro Sunset Beach,Elimination Round,Heat 4 Watch replay,Miguel Pupo,"[1.5, 4.0, 2.4, 2.83]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 1 Watch replay,Jordy Smith,"[4.5, 1.93, 0.17, 2.27, 8.0, 3.23]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 1 Watch replay,Ryan Callinan,"[5.83, 1.4, 2.5]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 1 Watch replay,Matthew McGillivray,"[3.27, 2.23, 3.57]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 2 Watch replay,Kanoa Igarashi,"[7.33, 2.83, 5.5, 8.0]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 2 Watch replay,Lucca Mesinas,"[4.67, 3.27, 3.33, 0.3, 2.77, 5.5]"
2022,Hurley Pro Sunset Beach,Opening Round,Heat 2 Watch replay,Caio Ibelli,"[0.83, 1.5, 0.5, 3.77, 3.87]"
