year,event,round,heat,name,scores
2011,Hurley Pro Trestles,Round 2,Heat 1 ,Mick Fanning,"[5.5, 0.5, 6.83, 0.7, 2.67, 6.87, 7.4]"
2011,Hurley Pro Trestles,Round 2,Heat 1 ,Rob Machado,"[5.0, 5.4, 2.77, 0.77]"
2011,Hurley Pro Trestles,Round 2,Heat 2 ,Adrian Buchan,"[4.67, 6.83, 8.67, 4.1]"
2011,Hurley Pro Trestles,Round 2,Heat 2 ,Conner Coffin,"[5.67, 3.77, 3.17, 7.5, 1.0, 7.93]"
2011,Hurley Pro Trestles,Round 2,Heat 3 ,Tom Whitaker,"[5.17, 6.27, 5.0]"
2011,Hurley Pro Trestles,Round 2,Heat 3 ,Bede Durbidge,"[2.33, 5.5, 1.87]"
2011,Hurley Pro Trestles,Round 2,Heat 4 ,Damien Hobgood,"[6.33, 7.0, 7.57]"
2011,Hurley Pro Trestles,Round 2,Heat 4 ,Adam Melling,"[4.83, 5.93, 3.0, 6.97, 7.17, 0.23]"
2011,Hurley Pro Trestles,Round 2,Heat 5 ,John John Florence,"[8.93, 0.43, 3.5, 8.6]"
2011,Hurley Pro Trestles,Round 2,Heat 5 ,Alejo Muniz,"[6.33, 2.5, 4.83]"
2011,Hurley Pro Trestles,Round 2,Heat 6 ,Gabriel Medina,"[0.37, 3.0, 5.17, 4.07, 3.57, 7.33, 2.97, 0.87, 7.23, 1.0, 8.77]"
2011,Hurley Pro Trestles,Round 2,Heat 6 ,Travis Logie,"[5.5, 4.5, 1.0, 2.33, 4.23, 5.13]"
2011,Hurley Pro Trestles,Round 2,Heat 7 ,Kieren Perrow,"[6.17, 6.53, 0.43, 5.4, 0.9, 2.07, 6.93, 4.83]"
2011,Hurley Pro Trestles,Round 2,Heat 7 ,Tiago Pires,"[3.0, 4.83, 1.27, 1.77, 5.63, 6.9, 4.93]"
2011,Hurley Pro Trestles,Round 2,Heat 8 ,Kai Otton,"[2.23, 5.17, 3.57, 5.0, 4.1, 0.5, 5.93]"
2011,Hurley Pro Trestles,Round 2,Heat 8 ,Raoni Monteiro,"[4.0, 4.0, 5.37, 2.1, 0.93, 5.23, 5.23]"
2011,Hurley Pro Trestles,Round 2,Heat 9 ,Jadson Andre,"[1.5, 6.93, 0.2, 8.17, 1.3, 6.37, 0.67, 9.43, 8.37]"
2011,Hurley Pro Trestles,Round 2,Heat 9 ,Dusty Payne,"[3.0, 6.17, 4.67, 0.37, 1.93, 6.93, 6.13]"
2011,Hurley Pro Trestles,Round 2,Heat 10 ,Heitor Alves,"[0.23, 0.43, 1.6, 3.67, 7.0, 0.67, 7.87]"
2011,Hurley Pro Trestles,Round 2,Heat 10 ,Miguel Pupo,"[5.33, 6.5, 7.5, 5.93, 7.3]"
2011,Hurley Pro Trestles,Round 2,Heat 11 ,Chris Davidson,"[5.17, 4.83, 1.67, 3.07, 5.53, 2.27]"
2011,Hurley Pro Trestles,Round 2,Heat 11 ,Daniel Ross,"[2.83, 1.27, 4.0, 3.93, 6.5, 3.77, 0.3, 0.5, 0.2, 3.83]"
2011,Hurley Pro Trestles,Round 2,Heat 12 ,Freddy Patacchia Jr.,"[6.5, 1.93, 7.63, 2.33, 1.0, 5.93, 2.27]"
2011,Hurley Pro Trestles,Round 2,Heat 12 ,Patrick Gudauskas,"[6.17, 2.0, 6.17, 6.73, 1.37, 1.0, 1.63]"
2011,Hurley Pro Trestles,Round 1,Heat 1 ,Joel Parkinson,"[7.33, 3.17, 1.4, 4.63]"
2011,Hurley Pro Trestles,Round 1,Heat 1 ,Travis Logie,"[4.5, 5.47, 5.5, 6.03]"
2011,Hurley Pro Trestles,Round 1,Heat 1 ,Jadson Andre,"[5.83, 3.5, 5.17, 3.93, 1.63, 0.5]"
2011,Hurley Pro Trestles,Round 1,Heat 2 ,Jeremy Flores,"[8.0, 2.07, 1.67, 3.93, 6.6, 7.43]"
2011,Hurley Pro Trestles,Round 1,Heat 2 ,Heitor Alves,"[3.83, 5.43, 3.57, 7.6, 6.53]"
2011,Hurley Pro Trestles,Round 1,Heat 2 ,John John Florence,"[4.0, 0.33, 5.43, 1.0, 3.4, 1.0, 2.1]"
2011,Hurley Pro Trestles,Round 1,Heat 3 ,Taj Burrow,"[6.33, 0.6, 1.0, 7.33, 6.0]"
2011,Hurley Pro Trestles,Round 1,Heat 3 ,Adam Melling,"[6.13, 6.23, 4.47, 0.57, 4.03]"
2011,Hurley Pro Trestles,Round 1,Heat 3 ,Chris Davidson,"[5.0, 4.33, 3.6, 4.8, 0.83, 1.23]"
2011,Hurley Pro Trestles,Round 1,Heat 4 ,Owen Wright,"[4.77, 6.93, 4.27, 2.57, 6.67]"
2011,Hurley Pro Trestles,Round 1,Heat 4 ,Patrick Gudauskas,"[7.6, 5.33, 5.77]"
2011,Hurley Pro Trestles,Round 1,Heat 4 ,Conner Coffin,"[4.67, 1.83, 5.67, 2.33, 6.2, 2.17]"
2011,Hurley Pro Trestles,Round 1,Heat 5 ,Kelly Slater,"[4.17, 1.8, 4.33, 4.93, 2.37, 7.6, 3.43, 5.87, 0.2, 4.0, 2.3, 5.87, 2.63, 6.97]"
2011,Hurley Pro Trestles,Round 1,Heat 5 ,Rob Machado,"[1.53, 5.57, 1.93, 6.5, 6.47, 6.07, 7.0, 0.77]"
2011,Hurley Pro Trestles,Round 1,Heat 5 ,Freddy Patacchia Jr.,"[2.1, 0.23, 3.43, 7.6, 4.53, 4.8, 1.17, 1.43]"
2011,Hurley Pro Trestles,Round 1,Heat 6 ,Matt Wilkinson,"[3.77, 7.5, 1.77, 4.33, 0.93, 1.03, 0.77, 6.17]"
2011,Hurley Pro Trestles,Round 1,Heat 6 ,Adrian Buchan,"[2.93, 4.93, 5.3, 6.0, 7.1, 4.73]"
2011,Hurley Pro Trestles,Round 1,Heat 6 ,Tiago Pires,"[1.1, 5.33, 3.0, 6.8, 0.6]"
2011,Hurley Pro Trestles,Round 1,Heat 7 ,Taylor Knox,"[6.17, 5.9, 7.53, 3.5]"
2011,Hurley Pro Trestles,Round 1,Heat 7 ,Raoni Monteiro,"[4.17, 4.6, 6.5, 7.0, 5.67, 2.93]"
2011,Hurley Pro Trestles,Round 1,Heat 7 ,Bede Durbidge,"[5.17, 5.63, 4.87, 0.23]"
2011,Hurley Pro Trestles,Round 1,Heat 8 ,Michel Bourez,"[8.5, 3.17, 6.9]"
2011,Hurley Pro Trestles,Round 1,Heat 8 ,Kieren Perrow,"[0.5, 6.0, 5.5, 3.7]"
2011,Hurley Pro Trestles,Round 1,Heat 8 ,Kai Otton,"[3.5, 6.33]"
2011,Hurley Pro Trestles,Round 1,Heat 9 ,Adriano de Souza,"[2.67, 8.1, 7.07, 6.27, 1.33]"
2011,Hurley Pro Trestles,Round 1,Heat 9 ,Gabriel Medina,"[5.83, 0.67, 2.77, 6.33, 7.6, 3.1, 5.7, 7.27]"
2011,Hurley Pro Trestles,Round 1,Heat 9 ,Dusty Payne,"[6.17, 2.17, 1.0, 2.6, 0.2, 0.6]"
2011,Hurley Pro Trestles,Round 1,Heat 10 ,Julian Wilson,"[8.93, 8.67, 6.5]"
2011,Hurley Pro Trestles,Round 1,Heat 10 ,Miguel Pupo,"[6.33, 4.67, 1.67, 6.0, 7.0, 2.07, 0.43, 1.0, 1.07]"
2011,Hurley Pro Trestles,Round 1,Heat 10 ,Alejo Muniz,"[5.5, 5.83, 1.37, 6.7]"
2011,Hurley Pro Trestles,Round 1,Heat 11 ,Josh Kerr,"[7.0, 6.0]"
2011,Hurley Pro Trestles,Round 1,Heat 11 ,Damien Hobgood,"[0.57, 5.33, 4.57, 2.67]"
2011,Hurley Pro Trestles,Round 1,Heat 11 ,Daniel Ross,"[4.1, 1.4, 3.67, 4.7, 3.23]"
2011,Hurley Pro Trestles,Round 1,Heat 12 ,Brett Simpson,"[6.5, 5.6, 0.87, 4.7, 1.77, 5.9, 1.0]"
2011,Hurley Pro Trestles,Round 1,Heat 12 ,Tom Whitaker,"[5.67, 6.27, 1.5, 4.4]"
2011,Hurley Pro Trestles,Round 1,Heat 12 ,Mick Fanning,"[3.17, 6.77, 1.17, 1.07, 5.13]"
2011,Hurley Pro Trestles,Round 3,Heat 1 ,Taj Burrow,"[1.67, 6.0, 8.6, 6.9, 4.43, 3.67, 1.47]"
