year,event,round,heat,name,scores
2014,Hurley Pro at Trestles,Round 2,Heat 1 Watch replay,Gabriel Medina,"[1.83, 2.17, 1.93, 5.5, 4.17, 6.17, 7.43, 0.77, 6.4]"
2014,Hurley Pro at Trestles,Round 2,Heat 1 Watch replay,Raoni Monteiro,"[1.2, 3.5, 5.17, 0.5, 4.77, 1.63]"
2014,Hurley Pro at Trestles,Round 2,Heat 2 ,Kelly Slater,"[8.5, 7.43, 6.73, 3.0]"
2014,Hurley Pro at Trestles,Round 2,Heat 2 ,Jeremy Flores,"[2.0, 0.63, 4.33, 1.5, 5.83, 0.2, 3.17]"
2014,Hurley Pro at Trestles,Round 2,Heat 3 ,Taj Burrow,"[5.33, 2.77, 0.87, 5.57, 6.43, 6.23]"
2014,Hurley Pro at Trestles,Round 2,Heat 3 ,Brett Simpson,"[2.6, 0.57, 0.23, 0.43, 5.27, 0.63]"
2014,Hurley Pro at Trestles,Round 2,Heat 4 Watch replay,Kolohe Andino,"[1.73, 7.0, 3.83, 5.73]"
2014,Hurley Pro at Trestles,Round 2,Heat 4 Watch replay,Travis Logie,"[2.4, 6.57, 5.17, 4.6]"
2014,Hurley Pro at Trestles,Round 2,Heat 5 ,Aritz Aranburu,"[0.8, 5.0, 0.43, 5.43, 3.07, 0.37, 2.87, 4.0, 1.9]"
2014,Hurley Pro at Trestles,Round 2,Heat 5 ,Josh Kerr,"[4.33, 3.5, 2.33, 3.1, 0.8, 1.33, 5.07, 5.0]"
2014,Hurley Pro at Trestles,Round 2,Heat 6 Watch replay,Jadson Andre,"[0.5, 5.83, 1.5, 4.33, 0.8, 8.5]"
2014,Hurley Pro at Trestles,Round 2,Heat 6 Watch replay,Bede Durbidge,"[6.5, 3.33, 0.37, 7.17, 6.77, 5.67]"
2014,Hurley Pro at Trestles,Round 2,Heat 7 ,Julian Wilson,"[6.83, 6.4]"
2014,Hurley Pro at Trestles,Round 2,Heat 7 ,Dion Atkinson,"[2.0, 5.0, 5.17]"
