year,event,round,heat,name,scores
2015,J-Bay Open,Round 2,Heat 1 Watch replay,Adriano de Souza,"[1.83, 2.4, 5.33, 1.33, 1.53, 3.67, 0.3, 8.33, 6.0]"
2015,J-Bay Open,Round 2,Heat 1 Watch replay,Slade Prestwich,"[4.83, 4.17, 1.7, 5.87, 7.17, 2.8, 1.83]"
2015,J-Bay Open,Round 2,Heat 2 Watch replay,Filipe Toledo,"[8.0, 2.17, 4.0]"
2015,J-Bay Open,Round 2,Heat 2 Watch replay,Michael February,"[5.0, 3.0, 1.0, 1.87]"
2015,J-Bay Open,Round 2,Heat 3 Watch replay,Owen Wright,"[0.5, 3.83, 7.17, 0.23, 3.27, 4.77]"
2015,J-Bay Open,Round 2,Heat 3 Watch replay,Tomas Hermes,"[5.5, 6.17, 1.67, 0.3, 0.87, 6.27, 7.5]"
2015,J-Bay Open,Round 2,Heat 4 Watch replay,Alejo Muniz,"[7.43, 8.83, 6.67]"
2015,J-Bay Open,Round 2,Heat 4 Watch replay,Taj Burrow,"[7.5, 8.33, 4.17, 3.5, 2.0, 6.2]"
2015,J-Bay Open,Round 2,Heat 5 Watch replay,Nat Young,"[7.5, 8.77, 3.17, 8.33, 3.67, 7.4, 1.53]"
2015,J-Bay Open,Round 2,Heat 5 Watch replay,Brett Simpson,"[6.5, 2.67, 5.33, 0.37, 1.87, 4.0, 5.6]"
2015,J-Bay Open,Round 2,Heat 6 Watch replay,Italo Ferreira,"[5.33, 7.93, 6.73, 7.37, 8.03]"
2015,J-Bay Open,Round 2,Heat 6 Watch replay,Dusty Payne,"[6.83, 6.83, 6.2, 8.33, 5.73, 2.83]"
2015,J-Bay Open,Round 2,Heat 7 Watch replay,Gabriel Medina,"[0.8, 4.6, 6.5, 6.93, 0.33, 6.7, 6.83]"
2015,J-Bay Open,Round 2,Heat 7 Watch replay,Glenn Hall,"[4.17, 2.0, 4.17, 6.27, 1.83, 3.5, 0.43, 2.5, 2.93, 1.0]"
2015,J-Bay Open,Round 2,Heat 8 Watch replay,Joel Parkinson,"[6.5, 0.43, 6.67, 1.17, 8.43]"
2015,J-Bay Open,Round 2,Heat 8 Watch replay,Ricardo Christie,"[4.83, 3.0, 6.93, 8.43, 0.43, 3.37, 8.3]"
2015,J-Bay Open,Round 2,Heat 9 Watch replay,Adam Melling,"[6.17, 7.17, 1.5, 7.23, 7.67]"
2015,J-Bay Open,Round 2,Heat 9 Watch replay,Jordy Smith,"[0.5, 0.4, 6.1, 0.3, 1.93]"
2015,J-Bay Open,Round 2,Heat 10 Watch replay,Kai Otton,"[6.67, 7.0, 8.77, 0.5]"
2015,J-Bay Open,Round 2,Heat 10 Watch replay,Jadson Andre,"[7.5, 8.0, 0.5, 7.8, 1.0, 1.1]"
2015,J-Bay Open,Round 2,Heat 11 Watch replay,Wiggolly Dantas,"[6.93, 7.87, 8.77, 8.53, 6.5]"
2015,J-Bay Open,Round 2,Heat 11 Watch replay,Miguel Pupo,"[0.2, 7.93, 4.83, 7.3, 7.1, 5.07]"
2015,J-Bay Open,Round 2,Heat 12 Watch replay,Matt Wilkinson,"[0.5, 0.87, 4.33, 5.43]"
2015,J-Bay Open,Round 2,Heat 12 Watch replay,Sebastian Zietz,"[8.0, 5.93, 2.0]"
2015,J-Bay Open,Round 1,Heat 1 Watch replay,Michel Bourez,"[5.0, 0.3, 3.0, 0.2, 7.0]"
2015,J-Bay Open,Round 1,Heat 1 Watch replay,Brett Simpson,"[0.5, 5.17, 1.5, 2.67, 2.03, 0.2]"
2015,J-Bay Open,Round 1,Heat 1 Watch replay,Taj Burrow,"[0.87, 2.33, 0.63, 1.67, 2.93]"
2015,J-Bay Open,Round 1,Heat 2 Watch replay,Julian Wilson,"[7.33, 5.5, 6.6, 3.0]"
2015,J-Bay Open,Round 1,Heat 2 Watch replay,Alejo Muniz,"[3.83, 4.27, 8.0, 0.23, 0.93]"
2015,J-Bay Open,Round 1,Heat 2 Watch replay,Miguel Pupo,"[1.5, 0.43, 0.57, 1.33, 4.1]"
2015,J-Bay Open,Round 1,Heat 3 Watch replay,C.J. Hobgood,"[7.17, 0.23, 0.5, 6.53]"
2015,J-Bay Open,Round 1,Heat 3 Watch replay,Owen Wright,"[5.0, 3.33, 6.23, 6.63]"
2015,J-Bay Open,Round 1,Heat 3 Watch replay,Kai Otton,"[0.43, 5.3, 1.93, 4.43, 0.67, 0.77]"
2015,J-Bay Open,Round 1,Heat 4 Watch replay,Dane Reynolds,"[2.0, 0.2, 6.83, 6.5, 4.17]"
2015,J-Bay Open,Round 1,Heat 4 Watch replay,Adam Melling,"[1.73, 5.0, 2.0]"
2015,J-Bay Open,Round 1,Heat 4 Watch replay,Filipe Toledo,"[2.5, 1.83, 2.73, 0.2, 2.6, 0.3, 0.27, 0.83]"
2015,J-Bay Open,Round 1,Heat 5 Watch replay,Mick Fanning,"[7.5, 8.17, 4.4, 5.93]"
2015,J-Bay Open,Round 1,Heat 5 Watch replay,Michael February,"[4.33, 6.5, 4.83, 3.17, 1.0, 0.5]"
2015,J-Bay Open,Round 1,Heat 5 Watch replay,Tomas Hermes,"[5.93, 1.73, 0.57, 1.07]"
2015,J-Bay Open,Round 1,Heat 6 Watch replay,Kolohe Andino,"[3.0, 6.1, 5.83, 0.8, 7.93]"
