year,event,round,heat,name,scores
2022,MEO Pro Portugal,Elimination Round,Heat 1 Watch replay,Kelly Slater,"[7.33, 0.5, 5.77, 0.7]"
2022,MEO Pro Portugal,Elimination Round,Heat 1 Watch replay,Connor O'Leary,"[2.5, 1.67, 5.0, 4.17]"
2022,MEO Pro Portugal,Elimination Round,Heat 1 Watch replay,Afonso Antunes,"[1.0, 1.0]"
2022,MEO Pro Portugal,Elimination Round,Heat 2 Watch replay,Lucca Mesinas,"[4.17, 0.73, 2.6, 2.07]"
2022,MEO Pro Portugal,Elimination Round,Heat 2 Watch replay,Conner Coffin,"[2.1, 0.37, 3.17, 3.53, 1.77, 1.53]"
2022,MEO Pro Portugal,Elimination Round,Heat 2 Watch replay,Vasco Ribeiro,"[1.0, 0.67, 0.53, 2.77, 1.43]"
2022,MEO Pro Portugal,Elimination Round,Heat 3 Watch replay,Kolohe Andino,"[6.67, 4.67, 7.93, 0.63, 0.53]"
2022,MEO Pro Portugal,Elimination Round,Heat 3 Watch replay,Jake Marshall,"[4.67, 1.2, 1.67, 0.77, 2.9]"
2022,MEO Pro Portugal,Elimination Round,Heat 3 Watch replay,Matthew McGillivray,"[3.33, 2.57, 1.13, 1.7, 2.43]"
2022,MEO Pro Portugal,Elimination Round,Heat 4 Watch replay,Ryan Callinan,"[0.57, 1.53, 6.67, 0.23, 6.2, 6.03]"
2022,MEO Pro Portugal,Elimination Round,Heat 4 Watch replay,Leonardo Fioravanti,"[6.33, 0.37, 1.0, 0.83, 2.17, 4.33, 0.43, 6.4, 1.17]"
2022,MEO Pro Portugal,Elimination Round,Heat 4 Watch replay,Deivid Silva,"[4.33, 0.2, 3.1]"
2022,MEO Pro Portugal,Opening Round,Heat 1 Watch replay,Jackson Baker,"[6.0, 5.7, 5.6, 3.9, 0.43, 0.2, 3.47]"
2022,MEO Pro Portugal,Opening Round,Heat 1 Watch replay,Jordy Smith,"[4.5, 0.5, 6.17, 4.93, 1.0, 0.6, 3.0, 1.07, 0.67]"
2022,MEO Pro Portugal,Opening Round,Heat 1 Watch replay,Jake Marshall,"[0.8, 5.0, 0.5, 0.63, 1.0]"
2022,MEO Pro Portugal,Opening Round,Heat 2 Watch replay,Samuel Pupo,"[6.5, 5.33, 0.3, 2.6, 0.5, 8.1, 1.2, 0.27, 1.27, 4.17, 0.57, 0.2]"
2022,MEO Pro Portugal,Opening Round,Heat 2 Watch replay,Imaikalani deVault,"[3.83, 4.23, 1.67, 6.4, 2.33, 7.33, 6.23, 1.23, 0.47, 5.3]"
2022,MEO Pro Portugal,Opening Round,Heat 2 Watch replay,Kelly Slater,"[4.67, 5.23, 1.0, 2.3, 0.13, 2.6]"
2022,MEO Pro Portugal,Opening Round,Heat 3 Watch replay,Owen Wright,"[6.33, 4.83, 1.93, 6.0, 0.53, 1.2, 6.03]"
2022,MEO Pro Portugal,Opening Round,Heat 3 Watch replay,Seth Moniz,"[0.57, 3.9, 5.03, 0.9, 4.63, 4.13, 2.2]"
2022,MEO Pro Portugal,Opening Round,Heat 3 Watch replay,Lucca Mesinas,"[4.0, 0.43, 5.3, 0.8, 0.63, 4.13, 3.37, 3.57, 3.77]"
2022,MEO Pro Portugal,Opening Round,Heat 4 Watch replay,Italo Ferreira,"[8.5, 6.0, 0.67, 7.67, 1.3, 1.07, 1.63, 7.0, 1.93, 0.2, 1.1, 0.97, 1.07]"
2022,MEO Pro Portugal,Opening Round,Heat 4 Watch replay,Jadson Andre,"[1.33, 0.8, 3.8, 1.57, 3.7, 5.67, 0.9, 2.5]"
2022,MEO Pro Portugal,Opening Round,Heat 4 Watch replay,Vasco Ribeiro,"[4.5, 3.5, 0.93, 4.67, 3.8, 1.23, 0.53, 0.8]"
2022,MEO Pro Portugal,Opening Round,Heat 5 Watch replay,Filipe Toledo,"[2.67, 4.67, 3.53, 0.57]"
2022,MEO Pro Portugal,Opening Round,Heat 5 Watch replay,Justin Becret,"[1.0, 0.33, 1.27, 0.2, 1.2, 4.0, 2.23]"
2022,MEO Pro Portugal,Opening Round,Heat 5 Watch replay,Connor O'Leary,"[1.93, 0.87, 0.83, 0.73, 2.43, 3.5]"
2022,MEO Pro Portugal,Opening Round,Heat 6 Watch replay,Kanoa Igarashi,"[5.5, 1.2, 3.83]"
2022,MEO Pro Portugal,Opening Round,Heat 6 Watch replay,Callum Robson,"[2.17, 0.8, 6.67, 1.23, 0.9]"
2022,MEO Pro Portugal,Opening Round,Heat 6 Watch replay,Afonso Antunes,[]
2022,MEO Pro Portugal,Opening Round,Heat 7 Watch replay,Caio Ibelli,"[5.67, 0.2, 1.0, 1.27, 0.37, 1.4, 0.77, 2.53, 0.63, 2.17]"
2022,MEO Pro Portugal,Opening Round,Heat 7 Watch replay,Frederico Morais,"[1.77, 2.5, 5.23]"
2022,MEO Pro Portugal,Opening Round,Heat 7 Watch replay,Conner Coffin,"[5.0, 0.5, 2.67, 0.7, 0.43]"
2022,MEO Pro Portugal,Opening Round,Heat 8 Watch replay,John John Florence,"[2.0, 9.07, 1.6, 4.0, 0.4, 2.37, 8.5]"
2022,MEO Pro Portugal,Opening Round,Heat 8 Watch replay,Ezekiel Lau,"[0.4, 7.17, 5.17, 1.07, 6.33]"
2022,MEO Pro Portugal,Opening Round,Heat 8 Watch replay,Matthew McGillivray,"[0.3, 1.0, 0.73, 2.57, 3.57, 0.7]"
2022,MEO Pro Portugal,Opening Round,Heat 9 Watch replay,Ethan Ewing,"[0.5, 6.27, 1.4, 6.0, 4.67]"
2022,MEO Pro Portugal,Opening Round,Heat 9 Watch replay,Barron Mamiya,"[3.83, 5.5, 6.67, 1.87, 4.9]"
2022,MEO Pro Portugal,Opening Round,Heat 9 Watch replay,Deivid Silva,[0.67]
2022,MEO Pro Portugal,Opening Round,Heat 10 Watch replay,Joao Chianca,"[6.17, 1.0, 2.67, 3.77, 8.0, 0.5, 1.4, 3.43, 0.43]"
2022,MEO Pro Portugal,Opening Round,Heat 10 Watch replay,Jack Robinson,"[0.5, 1.7, 6.6, 1.1, 5.0, 2.4]"
2022,MEO Pro Portugal,Opening Round,Heat 10 Watch replay,Leonardo Fioravanti,"[4.17, 4.33, 1.47, 1.73, 3.67, 4.73]"
2022,MEO Pro Portugal,Opening Round,Heat 11 Watch replay,Miguel Pupo,"[0.37, 1.93, 0.2, 4.67, 1.03, 3.0]"
2022,MEO Pro Portugal,Opening Round,Heat 11 Watch replay,Morgan Cibilic,"[1.83, 1.07, 0.83, 3.17, 4.0]"
2022,MEO Pro Portugal,Opening Round,Heat 11 Watch replay,Ryan Callinan,"[1.07, 1.17, 0.3, 0.63, 1.7, 3.7, 0.93]"
2022,MEO Pro Portugal,Opening Round,Heat 12 Watch replay,Griffin Colapinto,"[0.93, 0.63, 4.67, 1.93, 1.17, 7.0, 0.63]"
2022,MEO Pro Portugal,Opening Round,Heat 12 Watch replay,Nat Young,"[3.67, 0.5, 4.1, 0.53, 7.1, 4.0]"
2022,MEO Pro Portugal,Opening Round,Heat 12 Watch replay,Kolohe Andino,"[5.67, 1.33, 0.47, 0.6, 0.37, 1.17, 4.0]"
2022,MEO Pro Portugal,Round of 32,Heat 1 Watch replay,Italo Ferreira,"[1.17, 3.33, 4.83, 0.5, 5.83, 0.53, 0.9, 0.87, 6.0, 0.77, 5.53]"
2022,MEO Pro Portugal,Round of 32,Heat 1 Watch replay,Imaikalani deVault,"[1.0, 0.77, 4.0, 1.07, 0.8, 2.93, 4.03, 3.57]"
2022,MEO Pro Portugal,Round of 32,Heat 2 Watch replay,Miguel Pupo,"[5.67, 4.0, 0.67, 6.2, 1.7, 3.27]"
2022,MEO Pro Portugal,Round of 32,Heat 2 Watch replay,Samuel Pupo,"[4.33, 4.9, 0.77, 1.33, 0.5, 0.37, 4.6, 0.57, 3.7, 0.5, 6.0, 0.57, 0.73, 0.97]"
2022,MEO Pro Portugal,Round of 32,Heat 3 Watch replay,Jordy Smith,"[3.17, 4.33, 5.0, 4.7, 3.67, 5.2, 0.5, 0.53]"
2022,MEO Pro Portugal,Round of 32,Heat 3 Watch replay,Barron Mamiya,"[0.5, 0.97, 4.73, 0.97, 0.73, 1.07, 4.63, 4.2, 3.57, 0.47, 2.97, 0.5]"
2022,MEO Pro Portugal,Round of 32,Heat 4 Watch replay,Connor O'Leary,"[2.0, 4.83, 2.83, 2.37, 0.37, 0.87, 6.5, 0.67, 6.07]"
2022,MEO Pro Portugal,Round of 32,Heat 4 Watch replay,Morgan Cibilic,"[6.0, 4.27, 0.2, 1.93, 1.67, 6.5, 4.93, 5.43]"
