year,event,round,heat,name,scores
2019,Margaret River Pro,Elimination Round,Heat 1 Watch replay,Jack Robinson,"[4.9, 5.77]"
2019,Margaret River Pro,Elimination Round,Heat 1 Watch replay,Jack Freestone,"[5.0, 0.8, 0.37, 1.2]"
2019,Margaret River Pro,Elimination Round,Heat 1 Watch replay,Wade Carmichael,"[2.5, 0.3, 6.27, 4.0, 0.4, 0.5, 4.4]"
2019,Margaret River Pro,Elimination Round,Heat 2 Watch replay,Leonardo Fioravanti,"[6.17, 2.83, 2.2, 5.27]"
2019,Margaret River Pro,Elimination Round,Heat 2 Watch replay,Michel Bourez,"[4.17, 6.63, 3.27, 3.1, 5.47, 6.37]"
2019,Margaret River Pro,Elimination Round,Heat 2 Watch replay,Jacob Willcox,"[6.4, 0.27, 3.83, 4.07, 4.83, 1.83, 0.67, 2.47]"
2019,Margaret River Pro,Elimination Round,Heat 3 Watch replay,Yago Dora,"[0.37, 0.27, 2.33, 4.43, 6.33, 5.1, 2.03, 5.0, 1.0]"
2019,Margaret River Pro,Elimination Round,Heat 3 Watch replay,Willian Cardoso,"[1.5, 4.0, 0.73, 5.67, 6.6, 2.67]"
2019,Margaret River Pro,Elimination Round,Heat 3 Watch replay,Frederico Morais,"[3.83, 7.33, 6.13, 0.5, 5.5]"
2019,Margaret River Pro,Elimination Round,Heat 4 Watch replay,Kelly Slater,"[4.7, 0.5, 1.77, 2.2, 6.77, 3.67]"
2019,Margaret River Pro,Elimination Round,Heat 4 Watch replay,Caio Ibelli,"[6.33, 5.73, 7.5, 0.8, 6.9, 5.87, 6.47]"
2019,Margaret River Pro,Elimination Round,Heat 4 Watch replay,Adrian Buchan,"[4.83, 2.0, 0.57, 5.5, 5.77, 5.8]"
2019,Margaret River Pro,Seeding Round,Heat 1 Watch replay,John John Florence,"[6.17, 4.27, 5.6, 4.77]"
2019,Margaret River Pro,Seeding Round,Heat 1 Watch replay,Jadson Andre,"[3.0, 1.4, 3.5, 0.2, 0.77, 0.7, 4.77]"
2019,Margaret River Pro,Seeding Round,Heat 1 Watch replay,Kelly Slater,"[3.67, 5.17, 3.83, 5.17, 1.07, 0.77, 2.17]"
2019,Margaret River Pro,Seeding Round,Heat 2 ,Kanoa Igarashi,"[4.33, 0.37, 5.23, 0.5, 3.5]"
2019,Margaret River Pro,Seeding Round,Heat 2 ,Soli Bailey,"[3.5, 5.57, 2.0, 0.23, 2.43]"
2019,Margaret River Pro,Seeding Round,Heat 2 ,Yago Dora,"[5.33, 4.0, 0.5, 0.4, 0.2, 0.43, 2.47]"
2019,Margaret River Pro,Seeding Round,Heat 3 Watch replay,Peterson Crisanto,"[5.33, 5.23, 0.5, 2.43, 2.27, 3.07]"
2019,Margaret River Pro,Seeding Round,Heat 3 Watch replay,Julian Wilson,"[4.5, 3.77, 0.67, 0.8, 4.77, 4.33]"
2019,Margaret River Pro,Seeding Round,Heat 3 Watch replay,Caio Ibelli,"[0.5, 4.0, 2.5, 0.73, 2.4, 0.53]"
2019,Margaret River Pro,Seeding Round,Heat 4 Watch replay,Italo Ferreira,"[4.0, 6.83, 2.8, 6.9, 6.7]"
