year,event,round,heat,name,scores
2013,Oakley Pro Bali,Round 2,Heat 1 ,Kelly Slater,"[9.0, 6.0, 9.17, 0.2, 0.87, 2.73, 0.27, 0.9]"
2013,Oakley Pro Bali,Round 2,Heat 1 ,Jack Robinson,"[1.0, 0.7, 1.2, 2.23]"
2013,Oakley Pro Bali,Round 2,Heat 2 ,Taj Burrow,"[2.5, 1.47, 5.67, 3.17, 1.0, 7.83, 1.0]"
2013,Oakley Pro Bali,Round 2,Heat 2 ,Bruce Irons,"[1.77, 1.37, 0.6, 0.5, 1.13]"
2013,Oakley Pro Bali,Round 2,Heat 3 ,Joel Parkinson,"[6.67, 0.5, 7.5, 1.5, 4.5, 8.6]"
2013,Oakley Pro Bali,Round 2,Heat 3 ,Oney Anwar,"[0.5, 1.77, 3.9, 7.13, 1.63, 0.7, 6.9]"
2013,Oakley Pro Bali,Round 2,Heat 4 ,Josh Kerr,"[1.5, 1.73, 8.0, 1.07, 0.63, 4.17, 4.07, 5.0]"
2013,Oakley Pro Bali,Round 2,Heat 4 ,Dusty Payne,"[8.0, 0.87, 3.0, 2.07, 0.2]"
2013,Oakley Pro Bali,Round 2,Heat 5 ,Gabriel Medina,"[0.8, 8.33, 6.0, 0.93, 1.33, 9.47, 0.93, 5.33]"
2013,Oakley Pro Bali,Round 2,Heat 5 ,Willian Cardoso,"[4.0, 4.77, 0.67, 3.67, 0.3]"
2013,Oakley Pro Bali,Round 2,Heat 6 ,Sebastian Zietz,"[0.83, 9.0, 6.23, 1.0, 1.07, 5.83, 4.87]"
2013,Oakley Pro Bali,Round 2,Heat 6 ,Kieren Perrow,"[0.93, 5.83, 0.57, 5.77]"
2013,Oakley Pro Bali,Round 2,Heat 7 ,Julian Wilson,"[8.87, 6.83, 2.5, 0.37, 1.37, 1.17, 2.93]"
2013,Oakley Pro Bali,Round 2,Heat 7 ,Raoni Monteiro,"[4.67, 0.73, 1.5, 6.9, 0.77, 0.5, 5.87, 0.83]"
2013,Oakley Pro Bali,Round 2,Heat 8 ,Adrian Buchan,"[2.5, 3.1, 9.63, 4.67, 7.5, 2.23]"
2013,Oakley Pro Bali,Round 2,Heat 8 ,Adam Melling,"[4.67, 4.77, 0.63, 5.67]"
2013,Oakley Pro Bali,Round 2,Heat 9 ,Kai Otton,"[7.33, 1.73, 7.57, 4.0, 2.5]"
2013,Oakley Pro Bali,Round 2,Heat 9 ,Alejo Muniz,"[3.17, 0.93, 5.0, 0.93, 0.5]"
2013,Oakley Pro Bali,Round 2,Heat 10 ,Miguel Pupo,"[0.67, 8.17, 4.6, 0.8, 1.63]"
2013,Oakley Pro Bali,Round 2,Heat 10 ,Bede Durbidge,"[3.67, 6.43, 1.83, 6.27, 3.63, 3.1]"
2013,Oakley Pro Bali,Round 2,Heat 11 ,I Komang Putra Hermawan,"[0.93, 4.67, 7.33, 0.9]"
2013,Oakley Pro Bali,Round 2,Heat 11 ,Brett Simpson,"[0.23, 0.8, 4.0, 0.77, 7.07, 2.93]"
2013,Oakley Pro Bali,Round 2,Heat 12 ,Matt Wilkinson,"[8.17, 6.5, 1.17, 1.07, 6.73]"
2013,Oakley Pro Bali,Round 2,Heat 12 ,Kolohe Andino,"[0.77, 7.5, 6.0, 0.83, 1.43, 5.17, 0.8]"
2013,Oakley Pro Bali,Round 1,Heat 1 ,Adriano de Souza,"[1.83, 6.33, 1.0, 0.83, 5.0, 1.2, 6.6]"
2013,Oakley Pro Bali,Round 1,Heat 1 ,Bede Durbidge,"[5.5, 0.37, 1.17, 6.67, 2.5]"
