year,event,round,heat,name,scores
2018,Oi Rio Pro,Round 2,Heat 1 Watch replay,John John Florence,"[3.5, 1.27, 4.5, 5.07]"
2018,Oi Rio Pro,Round 2,Heat 1 Watch replay,Deivid Silva,"[0.43, 0.67, 0.37, 5.67, 5.27, 0.6, 5.27]"
2018,Oi Rio Pro,Round 2,Heat 2 Watch replay,Alejo Muniz,"[0.77, 3.77, 4.8]"
2018,Oi Rio Pro,Round 2,Heat 2 Watch replay,Owen Wright,"[5.5, 2.83, 4.9, 0.93, 0.67]"
2018,Oi Rio Pro,Round 2,Heat 3 Watch replay,Jordy Smith,"[6.0, 6.2, 2.7, 0.37]"
2018,Oi Rio Pro,Round 2,Heat 3 Watch replay,Wiggolly Dantas,"[5.17, 2.77, 0.5, 4.77, 0.43, 2.63]"
2018,Oi Rio Pro,Round 2,Heat 4 Watch replay,Ian Gouveia,"[2.57, 5.67, 2.93, 6.6, 1.1]"
2018,Oi Rio Pro,Round 2,Heat 4 Watch replay,Adriano de Souza,"[1.37, 3.83, 3.33, 8.0, 0.5, 0.73, 0.2, 0.9]"
2018,Oi Rio Pro,Round 2,Heat 5 Watch replay,Keanu Asing,"[6.27, 3.5, 1.6, 3.17]"
2018,Oi Rio Pro,Round 2,Heat 5 Watch replay,Michel Bourez,"[6.43, 0.5, 0.47, 0.3, 0.4, 3.23]"
2018,Oi Rio Pro,Round 2,Heat 6 Watch replay,Adrian Buchan,"[3.57, 6.0, 0.73, 3.83]"
2018,Oi Rio Pro,Round 2,Heat 6 Watch replay,Michael February,"[0.7, 0.93, 0.27, 0.73, 3.03, 0.37]"
2018,Oi Rio Pro,Round 2,Heat 7 Watch replay,Michael Rodrigues,"[2.0, 0.5, 3.07, 3.5, 1.47, 0.3]"
2018,Oi Rio Pro,Round 2,Heat 7 Watch replay,Matt Wilkinson,"[2.67, 1.43, 3.13]"
2018,Oi Rio Pro,Round 2,Heat 8 Watch replay,Frederico Morais,"[2.17, 3.1, 3.77, 0.73, 1.23]"
2018,Oi Rio Pro,Round 2,Heat 8 Watch replay,Patrick Gudauskas,"[1.0, 1.23, 5.5, 0.7, 0.27]"
2018,Oi Rio Pro,Round 2,Heat 9 Watch replay,Jeremy Flores,"[0.57, 1.43, 1.13, 1.73, 5.33]"
2018,Oi Rio Pro,Round 2,Heat 9 Watch replay,Jesse Mendes,"[2.33, 2.1, 6.67, 2.63, 3.93]"
2018,Oi Rio Pro,Round 2,Heat 10 Watch replay,Sebastian Zietz,"[7.5, 6.17, 7.63, 7.1, 1.1, 0.5]"
2018,Oi Rio Pro,Round 2,Heat 10 Watch replay,Joan Duru,"[0.93, 1.33, 1.27, 7.67]"
2018,Oi Rio Pro,Round 2,Heat 11 Watch replay,Tomas Hermes,"[2.07, 5.17, 4.23, 1.87]"
2018,Oi Rio Pro,Round 2,Heat 11 Watch replay,Conner Coffin,"[1.2, 3.93, 1.13, 0.93, 0.5]"
2018,Oi Rio Pro,Round 2,Heat 12 Watch replay,Kanoa Igarashi,"[3.33, 4.57, 0.43, 0.43, 6.0, 0.37, 2.77]"
2018,Oi Rio Pro,Round 2,Heat 12 Watch replay,Connor O'Leary,"[1.17, 2.27, 0.43, 2.5, 0.37, 5.17, 0.3, 5.03, 0.7]"
2018,Oi Rio Pro,Round 1,Heat 1 Watch replay,Filipe Toledo,"[4.5, 1.17, 0.3, 1.07, 1.43, 5.1, 2.73]"
2018,Oi Rio Pro,Round 1,Heat 1 Watch replay,Kanoa Igarashi,"[1.0, 2.67, 6.17, 3.17, 6.9, 3.07]"
2018,Oi Rio Pro,Round 1,Heat 1 Watch replay,Ian Gouveia,"[5.5, 0.5, 2.1, 1.4, 4.17, 0.17, 4.23]"
2018,Oi Rio Pro,Round 1,Heat 2 Watch replay,Miguel Pupo,"[3.77, 5.43, 3.17, 0.97, 1.13]"
2018,Oi Rio Pro,Round 1,Heat 2 Watch replay,Jordy Smith,"[5.83, 0.5, 4.83, 2.27, 1.07, 2.13, 3.67, 3.07]"
2018,Oi Rio Pro,Round 1,Heat 2 Watch replay,Tomas Hermes,"[4.5, 3.73, 0.2, 1.17, 0.73, 0.3, 2.33, 0.87]"
2018,Oi Rio Pro,Round 1,Heat 3 Watch replay,Wade Carmichael,"[1.43, 6.0, 6.6, 3.2]"
2018,Oi Rio Pro,Round 1,Heat 3 Watch replay,Owen Wright,"[0.7, 0.93, 4.33, 0.5, 6.93, 0.8, 1.9, 3.67]"
2018,Oi Rio Pro,Round 1,Heat 3 Watch replay,Wiggolly Dantas,"[4.87, 1.4, 1.07, 6.3]"
2018,Oi Rio Pro,Round 1,Heat 4 Watch replay,Mikey Wright,"[3.33, 5.5, 1.4, 0.2, 0.63, 7.0, 0.5]"
2018,Oi Rio Pro,Round 1,Heat 4 Watch replay,John John Florence,"[4.83, 0.3, 1.07, 1.27]"
2018,Oi Rio Pro,Round 1,Heat 4 Watch replay,Joan Duru,"[0.67, 2.33, 5.6, 5.33]"
2018,Oi Rio Pro,Round 1,Heat 5 Watch replay,Gabriel Medina,"[0.33, 7.1, 1.57, 4.33, 2.87, 1.0, 0.73, 0.77, 0.5, 2.23]"
2018,Oi Rio Pro,Round 1,Heat 5 Watch replay,Jesse Mendes,"[3.67, 6.23, 0.67, 0.43, 7.2, 0.77]"
