year,event,round,heat,name,scores
2017,Outerknown Fiji Pro,Round 2,Heat 1 ,Kolohe Andino,"[0.43, 3.67, 0.3, 0.13, 4.83, 0.37, 5.5, 0.43, 0.43]"
2017,Outerknown Fiji Pro,Round 2,Heat 1 ,Tevita Gukilau,"[0.83, 0.63, 0.6, 3.33, 0.13, 0.5, 0.37]"
2017,Outerknown Fiji Pro,Round 2,Heat 2 Watch replay,Joel Parkinson,"[0.73, 2.83, 4.33, 4.27, 2.0]"
2017,Outerknown Fiji Pro,Round 2,Heat 2 Watch replay,Yago Dora,"[6.83, 1.5, 3.5]"
2017,Outerknown Fiji Pro,Round 2,Heat 3 Watch replay,Sebastian Zietz,"[0.87, 1.7, 5.6, 9.0]"
2017,Outerknown Fiji Pro,Round 2,Heat 3 Watch replay,Bino Lopes,"[3.33, 4.33, 4.83, 1.43, 4.7]"
2017,Outerknown Fiji Pro,Round 2,Heat 4 Watch replay,Leonardo Fioravanti,"[1.5, 0.7, 1.33, 3.93]"
2017,Outerknown Fiji Pro,Round 2,Heat 4 Watch replay,Adrian Buchan,"[2.67, 1.33, 0.77, 1.73, 0.43, 3.37]"
2017,Outerknown Fiji Pro,Round 2,Heat 5 Watch replay,Kelly Slater,"[5.17, 0.2, 1.87, 5.67, 0.2, 1.0, 7.8]"
2017,Outerknown Fiji Pro,Round 2,Heat 5 Watch replay,Ethan Ewing,"[0.5, 0.27, 0.3, 2.27, 2.0, 0.5, 1.3, 0.27, 6.73]"
2017,Outerknown Fiji Pro,Round 2,Heat 6 Watch replay,Joan Duru,"[3.33, 0.93, 5.83, 7.17, 0.57, 0.57, 4.93, 1.37, 0.2, 0.7]"
2017,Outerknown Fiji Pro,Round 2,Heat 6 Watch replay,Conner Coffin,"[0.77, 2.9, 3.3, 5.63, 4.67]"
2017,Outerknown Fiji Pro,Round 2,Heat 7 Watch replay,Wiggolly Dantas,"[0.7, 0.8, 3.6, 0.73, 1.0, 6.6, 1.27, 0.3, 1.73]"
2017,Outerknown Fiji Pro,Round 2,Heat 7 Watch replay,Jadson Andre,"[6.17, 6.1, 0.23, 0.37, 2.17, 0.73, 1.1, 2.4, 1.07, 0.43]"
