year,event,round,heat,name,scores
2008,Quiksilver Pro France,Round 2,Heat 1 ,Kelly Slater,"[8.67, 4.0, 0.53, 4.33, 1.5, 6.0, 0.8, 9.0]"
2008,Quiksilver Pro France,Round 2,Heat 1 ,Tim Boal,"[2.0, 6.5, 7.67, 7.33]"
2008,Quiksilver Pro France,Round 2,Heat 2 ,Gabe Kling,"[2.0, 6.0, 0.67, 6.07, 0.3, 0.53, 1.0, 4.0, 0.9, 1.23, 0.5]"
2008,Quiksilver Pro France,Round 2,Heat 2 ,Mick Fanning,"[2.4, 6.67, 1.4, 2.83, 4.33]"
2008,Quiksilver Pro France,Round 2,Heat 3 ,Michel Bourez,"[7.83, 6.17, 3.0, 0.2, 5.1, 4.1, 0.6, 0.83, 2.57]"
2008,Quiksilver Pro France,Round 2,Heat 3 ,Joel Parkinson,"[5.17, 4.33, 7.5, 4.17, 2.8, 1.5, 1.1]"
2008,Quiksilver Pro France,Round 2,Heat 4 ,Bede Durbidge,"[2.0, 0.5, 1.83, 2.93, 0.43, 6.33, 5.67]"
2008,Quiksilver Pro France,Round 2,Heat 4 ,Nic Muscroft,"[2.23, 4.17, 3.33, 1.1, 0.5, 5.27, 0.93]"
2008,Quiksilver Pro France,Round 2,Heat 5 ,Bobby Martinez,"[3.83, 7.5, 6.0, 7.0, 8.0, 6.97]"
2008,Quiksilver Pro France,Round 2,Heat 5 ,Ricky Basnett,"[3.5, 5.5, 0.43, 1.0, 6.4, 4.6, 2.5, 0.67, 2.17, 0.23]"
2008,Quiksilver Pro France,Round 2,Heat 6 ,Jihad Khodr,"[0.27, 3.17, 0.57, 4.33, 5.6, 4.17, 3.93, 3.1]"
2008,Quiksilver Pro France,Round 2,Heat 6 ,Andy Irons,[]
2008,Quiksilver Pro France,Round 2,Heat 7 ,Adriano de Souza,"[2.67, 3.5, 7.0, 0.87, 8.5, 6.07, 6.57, 6.27]"
2008,Quiksilver Pro France,Round 2,Heat 7 ,Aritz Aranburu,"[2.0, 6.5, 5.33, 1.0, 0.93, 4.5, 5.27, 1.0, 3.57, 3.2, 0.43]"
2008,Quiksilver Pro France,Round 2,Heat 8 ,Jeremy Flores,"[2.0, 0.57, 4.5, 8.17, 7.0, 3.83, 1.0]"
2008,Quiksilver Pro France,Round 2,Heat 8 ,Daniel Ross,"[4.0, 1.0, 0.6, 1.13, 3.1]"
2008,Quiksilver Pro France,Round 2,Heat 9 ,Kai Otton,"[1.83, 1.63, 0.97, 6.33, 4.5, 0.9, 5.93]"
2008,Quiksilver Pro France,Round 2,Heat 9 ,Leonardo Neves,"[0.73, 6.67, 1.37, 3.17, 4.67]"
2008,Quiksilver Pro France,Round 2,Heat 10 ,Mick Campbell,"[5.33, 0.23, 5.83, 4.5, 4.0, 5.33, 6.83]"
2008,Quiksilver Pro France,Round 2,Heat 10 ,Bruce Irons,"[0.5, 1.0, 1.1, 0.93]"
2008,Quiksilver Pro France,Round 2,Heat 11 ,Luke Stedman,"[6.5, 3.5, 2.0, 0.5, 8.93]"
2008,Quiksilver Pro France,Round 2,Heat 12 ,Freddy Patacchia Jr.,[]
2008,Quiksilver Pro France,Round 2,Heat 12 ,Luke Munro,"[4.83, 3.83, 5.5, 3.9, 7.5, 1.77]"
2008,Quiksilver Pro France,Round 2,Heat 13 ,Chris Ward,"[4.5, 2.33, 1.23, 0.67, 5.73, 3.97, 0.4]"
2008,Quiksilver Pro France,Round 2,Heat 13 ,Royden Bryson,"[2.5, 2.5, 1.0, 2.93, 1.8, 4.93, 4.57, 0.2, 6.83, 0.53, 5.6]"
2008,Quiksilver Pro France,Round 2,Heat 14 ,Tiago Pires,"[3.5, 1.0, 0.73, 5.0, 2.73, 5.93, 1.73, 2.37]"
2008,Quiksilver Pro France,Round 2,Heat 14 ,Tim Reyes,"[6.5, 1.0, 1.5, 4.33, 1.93, 9.0, 1.43]"
2008,Quiksilver Pro France,Round 2,Heat 15 ,Damien Hobgood,"[6.67, 6.33, 8.17, 1.83, 1.67, 5.77, 2.0]"
2008,Quiksilver Pro France,Round 2,Heat 15 ,Jay Thompson,"[7.67, 0.43, 4.67, 2.2, 6.0, 0.2, 1.17, 6.0, 0.37]"
2008,Quiksilver Pro France,Round 2,Heat 16 ,Heitor Alves,"[5.5, 2.33, 3.5, 1.5, 7.67, 0.5, 4.4, 0.53]"
2008,Quiksilver Pro France,Round 2,Heat 16 ,Mikael Picon,"[8.67, 4.17, 6.5, 3.17, 2.17, 4.33, 1.57]"
2008,Quiksilver Pro France,Round 1,Heat 1 ,Ben Dunn,"[7.17, 4.0, 1.83, 5.67, 1.6]"
2008,Quiksilver Pro France,Round 1,Heat 1 ,Jeremy Flores,"[0.5, 0.63, 5.33, 0.93, 1.5, 1.77, 4.17, 1.07, 4.73, 2.5]"
2008,Quiksilver Pro France,Round 1,Heat 1 ,Leonardo Neves,"[1.0, 3.17, 3.93, 0.77, 0.33, 0.27, 4.67]"
2008,Quiksilver Pro France,Round 1,Heat 2 ,C.J. Hobgood,"[6.5, 5.67, 1.0, 1.13, 1.0, 1.27, 8.5, 7.5, 8.63]"
2008,Quiksilver Pro France,Round 1,Heat 2 ,Jay Thompson,"[3.5, 3.83, 4.77, 2.0, 0.47, 5.33, 2.27]"
2008,Quiksilver Pro France,Round 1,Heat 2 ,Daniel Ross,"[5.33, 0.3, 0.83, 5.77, 2.87, 0.5, 2.67, 6.2, 9.0]"
2008,Quiksilver Pro France,Round 1,Heat 3 ,Roy Powers,"[0.57, 3.33, 5.33, 6.5, 7.1]"
2008,Quiksilver Pro France,Round 1,Heat 3 ,Adriano de Souza,"[6.33, 1.0, 7.23, 4.33, 1.03]"
2008,Quiksilver Pro France,Round 1,Heat 3 ,Aritz Aranburu,"[2.83, 7.17, 4.73, 1.0, 2.73]"
2008,Quiksilver Pro France,Round 1,Heat 4 ,Jordy Smith,"[0.43, 0.63, 2.17, 7.67, 1.47, 9.3]"
2008,Quiksilver Pro France,Round 1,Heat 4 ,Jihad Khodr,"[1.5, 0.43, 4.33, 2.3, 2.07]"
2008,Quiksilver Pro France,Round 1,Heat 4 ,Andy Irons,"[1.17, 1.07, 1.17]"
2008,Quiksilver Pro France,Round 1,Heat 5 ,Taylor Knox,"[4.5, 1.0, 8.17, 5.5, 0.77, 0.5, 3.03, 1.9]"
2008,Quiksilver Pro France,Round 1,Heat 5 ,Bobby Martinez,"[6.0, 7.17, 0.43, 0.67, 1.03, 6.23, 0.27, 0.2, 4.13]"
2008,Quiksilver Pro France,Round 1,Heat 5 ,Ricky Basnett,"[1.5, 1.33, 1.07, 0.5, 3.33, 1.6, 0.77, 1.23, 2.5, 0.3, 1.5]"
2008,Quiksilver Pro France,Round 1,Heat 6 ,Tom Whitaker,"[0.83, 3.67, 6.73, 0.3, 1.03, 1.77, 8.77, 5.33]"
2008,Quiksilver Pro France,Round 1,Heat 6 ,Nic Muscroft,"[8.17, 2.0, 5.67, 2.4, 0.37]"
2008,Quiksilver Pro France,Round 1,Heat 6 ,Bede Durbidge,"[6.67, 2.93, 3.77, 4.83, 2.0]"
2008,Quiksilver Pro France,Round 1,Heat 7 ,Dane Reynolds,"[3.17, 1.5, 8.33, 0.5, 6.83, 3.53, 0.53, 2.07]"
2008,Quiksilver Pro France,Round 1,Heat 7 ,Joel Parkinson,"[1.0, 2.5, 5.33, 1.7, 8.5, 6.1, 3.17]"
2008,Quiksilver Pro France,Round 1,Heat 7 ,Michel Bourez,"[0.23, 0.33, 4.0, 4.73, 4.57, 1.0, 3.83]"
2008,Quiksilver Pro France,Round 1,Heat 8 ,Joan Duru,"[2.0, 1.13, 1.7, 4.67, 0.83, 3.17, 0.43, 0.73, 5.83]"
2008,Quiksilver Pro France,Round 1,Heat 8 ,Kelly Slater,"[0.5, 0.37, 4.17, 4.67, 1.2, 4.4, 0.8, 2.33, 5.27]"
2008,Quiksilver Pro France,Round 1,Heat 8 ,Chris Ward,"[0.93, 3.5, 2.43, 1.17, 5.0, 2.1, 1.67, 1.07, 4.4]"
2008,Quiksilver Pro France,Round 1,Heat 9 ,Taj Burrow,"[8.67, 3.0, 4.33, 3.87, 3.6, 0.4, 0.73, 0.43, 8.0, 3.47, 5.33]"
2008,Quiksilver Pro France,Round 1,Heat 9 ,Tim Reyes,"[2.33, 1.5, 2.07, 1.27, 1.97, 2.8, 6.33, 0.63, 3.8, 5.17]"
2008,Quiksilver Pro France,Round 1,Heat 9 ,Tim Boal,"[0.97, 0.33, 1.97, 2.2, 0.5, 0.6, 3.57]"
2008,Quiksilver Pro France,Round 1,Heat 10 ,Kieren Perrow,"[0.5, 1.0, 3.67, 0.2, 5.0, 10.0]"
2008,Quiksilver Pro France,Round 1,Heat 10 ,Mick Fanning,"[1.67, 2.1, 2.1, 7.0, 3.4, 4.83, 7.4, 3.67]"
2008,Quiksilver Pro France,Round 1,Heat 10 ,Gabe Kling,"[6.17, 4.17, 0.9, 7.33, 0.5]"
2008,Quiksilver Pro France,Round 1,Heat 11 ,Travis Logie,"[0.5, 4.33, 2.5, 6.67, 0.43, 7.27, 5.27]"
2008,Quiksilver Pro France,Round 1,Heat 11 ,Kai Otton,"[1.0, 2.4, 4.9, 5.77, 3.0, 2.0, 3.6]"
2008,Quiksilver Pro France,Round 1,Heat 11 ,Mikael Picon,"[4.0, 2.77, 5.67, 0.5, 7.5]"
2008,Quiksilver Pro France,Round 1,Heat 12 ,Daniel Wills,"[8.0, 0.43, 8.17, 0.5, 0.63, 1.2, 4.5, 1.73]"
2008,Quiksilver Pro France,Round 1,Heat 12 ,Heitor Alves,"[1.57, 1.4, 0.7, 3.17, 1.3]"
2008,Quiksilver Pro France,Round 1,Heat 12 ,Bruce Irons,"[1.0, 0.83, 0.3, 0.7, 0.2, 1.77]"
2008,Quiksilver Pro France,Round 1,Heat 13 ,Rodrigo Dornelles,"[0.5, 4.67, 0.27, 5.47, 0.63, 0.37, 1.33, 8.33]"
2008,Quiksilver Pro France,Round 1,Heat 13 ,Luke Stedman,"[6.0, 0.33, 6.83, 4.13, 3.07, 4.43]"
2008,Quiksilver Pro France,Round 1,Heat 13 ,Damien Hobgood,"[2.5, 4.33, 1.07, 0.83, 0.93, 5.43, 1.6, 5.03, 5.57, 6.53]"
2008,Quiksilver Pro France,Round 1,Heat 14 ,Adrian Buchan,"[3.33, 2.33, 7.83, 7.33, 0.5, 0.23]"
2008,Quiksilver Pro France,Round 1,Heat 14 ,Tiago Pires,"[1.0, 4.83, 5.5, 7.13, 2.77, 0.73]"
2008,Quiksilver Pro France,Round 1,Heat 14 ,Mick Campbell,"[1.0, 5.0, 2.6, 0.43, 5.23, 6.1, 2.67, 6.0, 1.0, 1.5, 4.53, 3.13]"
2008,Quiksilver Pro France,Round 1,Heat 15 ,Pancho Sullivan,"[6.17, 8.33, 3.73, 2.63]"
2008,Quiksilver Pro France,Round 1,Heat 15 ,Freddy Patacchia Jr.,"[0.3, 7.17, 2.27, 0.97]"
2008,Quiksilver Pro France,Round 1,Heat 16 ,Dayyan Neve,[]
2008,Quiksilver Pro France,Round 1,Heat 16 ,Royden Bryson,"[2.9, 4.33, 8.33, 2.5, 7.33]"
2008,Quiksilver Pro France,Round 1,Heat 16 ,Luke Munro,"[2.5, 3.5, 5.5, 6.67, 1.37, 1.07, 6.67, 5.07]"
2008,Quiksilver Pro France,Round 3,Heat 1 ,Adriano de Souza,"[7.17, 0.3, 0.47, 3.67, 6.0]"
2008,Quiksilver Pro France,Round 3,Heat 1 ,Travis Logie,"[2.0, 4.33, 1.77, 6.17]"
2008,Quiksilver Pro France,Round 3,Heat 2 ,Dayyan Neve,"[3.33, 0.6, 7.5]"
2008,Quiksilver Pro France,Round 3,Heat 2 ,Heitor Alves,"[3.17, 3.0, 1.77, 0.5, 5.33, 1.0]"
2008,Quiksilver Pro France,Round 3,Heat 3 ,Ben Dunn,"[6.17, 3.83, 0.67, 7.83]"
2008,Quiksilver Pro France,Round 3,Heat 3 ,Chris Ward,"[2.5, 5.17, 2.67, 0.47, 0.87]"
2008,Quiksilver Pro France,Round 3,Heat 4 ,Bobby Martinez,"[1.5, 2.33, 3.27, 6.67, 0.33, 8.0, 1.0, 0.73]"
2008,Quiksilver Pro France,Round 3,Heat 4 ,Jihad Khodr,"[4.0, 2.0, 5.83, 7.0, 1.5]"
2008,Quiksilver Pro France,Round 3,Heat 5 ,Mick Campbell,"[1.07, 0.5, 7.33, 3.17, 4.0, 1.3, 3.57, 2.6, 1.4, 2.37, 5.0, 2.13]"
2008,Quiksilver Pro France,Round 3,Heat 5 ,Kai Otton,"[1.0, 2.67, 6.67, 5.33, 0.7, 5.33, 0.9]"
2008,Quiksilver Pro France,Round 3,Heat 6 ,Luke Stedman,"[1.4, 1.1, 1.03, 1.5, 2.0, 6.33, 6.23]"
2008,Quiksilver Pro France,Round 3,Heat 6 ,Pancho Sullivan,"[1.07, 7.67, 3.07, 4.83, 3.33, 0.2]"
2008,Quiksilver Pro France,Round 3,Heat 7 ,Taylor Knox,"[1.0, 1.67, 0.47, 6.17, 1.63, 2.33, 3.23, 0.43, 8.83]"
2008,Quiksilver Pro France,Round 3,Heat 7 ,Tom Whitaker,"[0.5, 2.67, 1.73, 3.83, 3.83, 1.67, 8.33, 4.13]"
2008,Quiksilver Pro France,Round 3,Heat 8 ,Kelly Slater,"[2.5, 0.7, 3.27, 0.33, 3.83, 5.5, 1.5, 8.0, 3.33, 8.0]"
2008,Quiksilver Pro France,Round 3,Heat 8 ,Joan Duru,"[0.57, 2.83, 5.0, 8.0, 0.3, 3.5]"
2008,Quiksilver Pro France,Round 3,Heat 9 ,Taj Burrow,"[8.67, 2.0, 5.83, 1.17, 2.83, 7.67, 2.87, 0.23, 0.43]"
2008,Quiksilver Pro France,Round 3,Heat 9 ,Gabe Kling,"[1.03, 4.0, 4.67, 0.73, 0.5, 1.23, 5.1, 1.43, 1.2]"
2008,Quiksilver Pro France,Round 3,Heat 10 ,Dane Reynolds,"[2.17, 3.17, 1.6, 8.83, 0.67, 8.43, 2.67]"
2008,Quiksilver Pro France,Round 3,Heat 10 ,Jordy Smith,"[5.83, 5.0, 0.33, 6.67, 0.2]"
2008,Quiksilver Pro France,Round 3,Heat 11 ,Rodrigo Dornelles,"[6.83, 5.17, 6.6, 4.33]"
2008,Quiksilver Pro France,Round 3,Heat 11 ,Jeremy Flores,"[3.33, 1.07, 4.0, 4.4, 0.5, 1.07, 4.93, 0.8, 2.5]"
2008,Quiksilver Pro France,Round 3,Heat 12 ,Adrian Buchan,"[1.67, 1.5, 3.33, 0.5, 0.93, 2.87, 3.33, 0.43, 8.0, 1.0]"
2008,Quiksilver Pro France,Round 3,Heat 12 ,Tiago Pires,"[4.67, 3.5, 2.37, 0.23, 0.23, 0.63, 3.3]"
2008,Quiksilver Pro France,Round 3,Heat 13 ,Michel Bourez,"[9.8, 4.67, 0.5, 9.77, 0.23, 2.07, 0.23, 0.5, 0.6, 3.67]"
2008,Quiksilver Pro France,Round 3,Heat 13 ,Bede Durbidge,"[8.0, 0.9, 2.67]"
2008,Quiksilver Pro France,Round 3,Heat 14 ,Kieren Perrow,"[0.23, 2.2, 6.5, 4.5, 1.17]"
2008,Quiksilver Pro France,Round 3,Heat 14 ,Roy Powers,"[2.33, 1.0, 0.2, 4.0, 3.57, 0.67]"
2008,Quiksilver Pro France,Round 3,Heat 15 ,C.J. Hobgood,"[4.33, 5.33, 5.5, 0.5, 6.67, 0.43, 4.4]"
2008,Quiksilver Pro France,Round 3,Heat 15 ,Daniel Wills,"[1.0, 3.83, 0.8, 0.37, 4.3]"
2008,Quiksilver Pro France,Round 3,Heat 16 ,Damien Hobgood,"[3.67, 5.0, 0.57, 3.33, 2.27, 1.77, 7.5, 0.7, 0.5, 5.67]"
2008,Quiksilver Pro France,Round 3,Heat 16 ,Freddy Patacchia Jr.,"[0.37, 2.83, 0.53, 1.33, 1.4, 0.37, 2.17, 3.9]"
2008,Quiksilver Pro France,Round 4,Heat 1 ,Adriano de Souza,"[4.17, 5.33, 0.5, 0.93]"
2008,Quiksilver Pro France,Round 4,Heat 1 ,Dayyan Neve,"[0.67, 0.9, 3.33, 6.0]"
2008,Quiksilver Pro France,Round 4,Heat 2 ,Bobby Martinez,"[0.5, 5.83, 0.27, 0.37, 0.97, 2.5, 8.83]"
2008,Quiksilver Pro France,Round 4,Heat 2 ,Ben Dunn,"[0.93, 1.9, 0.63, 4.67, 7.33, 0.8, 0.33, 4.17, 0.5]"
2008,Quiksilver Pro France,Round 4,Heat 3 ,Mick Campbell,"[6.33, 1.17, 1.73, 5.5, 0.93, 1.33, 0.57, 5.17, 7.67, 0.8, 2.5, 1.8, 1.3]"
2008,Quiksilver Pro France,Round 4,Heat 3 ,Luke Stedman,"[4.67, 3.67, 6.5, 0.4, 0.93, 3.17]"
2008,Quiksilver Pro France,Round 4,Heat 4 ,Kelly Slater,"[1.13, 6.33, 3.67, 6.67, 2.0, 8.5, 1.13, 9.77, 1.73, 1.53]"
2008,Quiksilver Pro France,Round 4,Heat 4 ,Taylor Knox,"[1.0, 4.33, 1.5, 8.5, 1.37, 6.27, 0.7, 0.5]"
2008,Quiksilver Pro France,Round 4,Heat 5 ,Dane Reynolds,"[2.33, 9.33, 6.0, 5.33, 1.77, 7.17, 2.73]"
2008,Quiksilver Pro France,Round 4,Heat 5 ,Taj Burrow,"[0.9, 4.83, 5.5, 1.13, 1.33, 0.67, 1.13]"
2008,Quiksilver Pro France,Round 4,Heat 6 ,Adrian Buchan,"[4.5, 6.0, 6.33, 8.17, 2.83, 2.0]"
2008,Quiksilver Pro France,Round 4,Heat 6 ,Rodrigo Dornelles,"[2.67, 1.0, 4.83, 0.5, 1.4, 5.83, 4.37]"
2008,Quiksilver Pro France,Round 4,Heat 7 ,Michel Bourez,"[1.0, 1.93, 0.73, 3.67, 3.57, 5.57, 6.57, 6.93]"
2008,Quiksilver Pro France,Round 4,Heat 7 ,Kieren Perrow,"[2.0, 6.0, 1.63, 5.5, 1.0, 0.67, 5.57]"
2008,Quiksilver Pro France,Round 4,Heat 8 ,Damien Hobgood,"[0.37, 0.3, 2.5, 1.77, 2.53, 0.5, 4.0, 4.67]"
2008,Quiksilver Pro France,Round 4,Heat 8 ,C.J. Hobgood,"[0.43, 0.93, 3.0, 2.23, 2.7, 2.8, 1.1, 0.7, 5.5, 1.57, 1.6]"
2008,Quiksilver Pro France,Quarterfinal,Heat 1 ,Adriano de Souza,"[6.17, 0.6, 1.4, 3.23, 7.6, 7.33, 6.97, 4.23]"
2008,Quiksilver Pro France,Quarterfinal,Heat 1 ,Bobby Martinez,"[1.5, 0.9, 4.17, 6.67, 5.73, 2.9, 0.5]"
2008,Quiksilver Pro France,Quarterfinal,Heat 2 ,Kelly Slater,"[0.5, 4.33, 1.67, 0.63, 2.23, 9.17, 0.53, 8.33, 5.1, 1.17, 0.83]"
2008,Quiksilver Pro France,Quarterfinal,Heat 2 ,Mick Campbell,"[2.5, 5.5, 0.23, 1.0, 0.2, 1.37, 0.37, 6.83, 3.5, 2.07]"
2008,Quiksilver Pro France,Quarterfinal,Heat 3 ,Adrian Buchan,"[1.0, 3.83, 8.83, 2.33, 0.37, 0.77, 8.17, 5.27, 2.1]"
2008,Quiksilver Pro France,Quarterfinal,Heat 3 ,Dane Reynolds,"[1.5, 3.5, 1.17, 3.0, 0.2, 6.17, 2.83, 7.17, 0.2]"
2008,Quiksilver Pro France,Quarterfinal,Heat 4 ,Damien Hobgood,"[3.33, 1.0, 5.67, 0.37, 7.67, 4.17]"
2008,Quiksilver Pro France,Quarterfinal,Heat 4 ,Michel Bourez,"[6.0, 2.0, 0.87, 0.2, 2.93, 7.0]"
2008,Quiksilver Pro France,Semifinal,Heat 1 ,Kelly Slater,"[0.83, 2.0, 5.67, 2.23, 3.83, 3.1, 8.17, 2.33, 6.73]"
2008,Quiksilver Pro France,Semifinal,Heat 1 ,Adriano de Souza,"[1.07, 4.33, 9.1, 0.27, 4.87, 1.5, 4.3]"
2008,Quiksilver Pro France,Semifinal,Heat 2 ,Adrian Buchan,"[5.0, 6.0, 8.5, 1.93, 6.67, 0.3, 0.97]"
2008,Quiksilver Pro France,Semifinal,Heat 2 ,Damien Hobgood,"[3.67, 0.3, 4.83, 4.0, 1.5, 0.5, 2.23, 0.5, 0.3, 1.73, 0.4, 1.0, 0.3, 2.83, 0.3]"
2008,Quiksilver Pro France,Final,Heat 1 ,Adrian Buchan,"[4.33, 4.17, 0.3, 8.17, 7.57, 0.37, 0.67, 1.33, 2.23]"
2008,Quiksilver Pro France,Final,Heat 1 ,Kelly Slater,"[6.67, 1.67, 1.17, 0.3, 5.33, 8.43, 0.43, 0.23, 4.53, 6.73, 2.73]"
