year,event,round,heat,name,scores
2016,Quiksilver Pro Gold Coast,Round 2,Heat 1 Watch replay,Adriano de Souza,"[1.43, 7.77, 3.0, 3.5, 0.37, 7.53, 0.83]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 1 Watch replay,Wade Carmichael,"[6.33, 0.27, 4.67, 0.5, 2.87, 3.87, 0.37]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 2 Watch replay,Sebastian Zietz,"[3.67, 2.67, 5.5, 7.6]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 2 Watch replay,Julian Wilson,"[0.5, 0.43, 4.5, 1.4, 5.1, 0.73, 2.17, 6.77, 0.43, 0.47, 0.4]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 3 Watch replay,Stuart Kennedy,"[4.5, 4.27, 1.93, 5.1, 6.23, 1.17, 5.2]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 3 Watch replay,Kelly Slater,"[6.17, 1.5, 6.93, 0.43, 1.6]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 4 Watch replay,Josh Kerr,"[1.17, 5.5, 2.0, 0.37, 0.2, 8.0, 3.17, 0.37]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 4 Watch replay,Adam Melling,"[4.5, 3.67, 6.33, 0.8, 0.27]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 5 Watch replay,Ryan Callinan,"[2.0, 2.83, 7.67, 0.2, 8.07]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 5 Watch replay,Jordy Smith,"[5.33, 0.37, 6.67, 0.73, 0.33, 2.0, 1.4]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 6 Watch replay,John John Florence,"[2.83, 6.5, 1.0, 4.0, 7.43, 5.13, 6.93, 3.97, 4.03, 1.5]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 6 Watch replay,Davey Cathels,"[5.83, 5.33, 6.83, 0.5, 3.43]"
2016,Quiksilver Pro Gold Coast,Round 2,Heat 7 Watch replay,Conner Coffin,"[7.0, 0.9, 2.33, 4.3, 6.17, 0.4, 6.33]"
