year,event,round,heat,name,scores
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 1 Watch replay,Jeremy Flores,"[0.5, 1.87, 4.17, 2.5, 6.67, 2.93]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 1 Watch replay,Mick Fanning,"[5.0, 5.27, 4.1, 0.37, 0.67]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 1 Watch replay,Connor O'Leary,"[3.83, 0.77, 0.57]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 2 Watch replay,Jack Freestone,"[3.67, 1.8, 3.53, 2.87, 8.17, 4.07]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 2 Watch replay,Dylan Moffat,"[2.5, 3.53, 0.5, 7.33, 0.47, 4.57]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 2 Watch replay,Leonardo Fioravanti,"[1.0, 0.5, 1.07, 4.5, 4.07, 1.13, 5.07, 0.93]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 3 Watch replay,Caio Ibelli,"[6.0, 3.97, 0.57, 1.87, 2.9]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 3 Watch replay,Mikey Wright,"[3.0, 3.27, 4.77, 5.17, 0.9]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 3 Watch replay,Matthew McGillivray,"[4.33, 3.37]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 4 Watch replay,Alex Ribeiro,"[1.0, 3.0, 2.5, 5.33, 2.07, 3.53, 5.33, 0.5]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 4 Watch replay,Conner Coffin,"[4.5, 3.5, 4.1]"
2021,Rip Curl Narrabeen Classic presented by Corona,Elimination Round,Heat 4 Watch replay,Adrian Buchan,"[2.83, 2.37, 1.43, 0.73]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 1 Watch replay,Yago Dora,"[3.9, 0.8]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[0.77, 5.67, 0.2, 3.03, 4.3, 3.63]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 1 Watch replay,Connor O'Leary,"[5.83, 3.17, 3.77, 3.3]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 2 Watch replay,Frederico Morais,"[4.0, 2.5, 4.93, 0.73, 3.23, 6.0, 4.27]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 2 Watch replay,John John Florence,"[1.0, 3.8, 1.5, 2.33, 2.1, 2.7, 0.77, 0.57, 5.57]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 2 Watch replay,Alex Ribeiro,"[4.5, 2.8, 1.73, 0.5]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 3 Watch replay,Filipe Toledo,"[6.67, 6.67, 0.33, 0.73, 1.33]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 3 Watch replay,Adriano de Souza,"[3.07, 0.37, 0.43, 4.4]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 3 Watch replay,Mikey Wright,"[1.87, 1.17, 3.67, 0.87, 0.3, 0.3, 0.9, 2.13]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 4 Watch replay,Reef Heazlewood,"[1.6, 0.27, 0.7, 7.17, 1.77, 0.83, 1.0]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[5.33, 3.1, 1.23, 0.3, 2.43]"
2021,Rip Curl Narrabeen Classic presented by Corona,Seeding Round,Heat 4 Watch replay,Adrian Buchan,"[3.17, 4.93, 2.23, 2.0, 1.9, 3.1]"
