year,event,round,heat,name,scores
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 1 Watch replay,Owen Wright,"[5.17, 1.6, 3.4, 2.6, 7.17, 6.6]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 1 Watch replay,Adriano de Souza,"[2.83, 2.67, 6.33, 7.33]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 1 Watch replay,Matt Banting,"[0.23, 4.83, 0.83, 3.83, 0.5, 6.17]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 2 Watch replay,Julian Wilson,"[5.33, 7.27, 3.0, 0.5, 0.43, 0.8, 0.5, 5.53]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 2 Watch replay,Jack Robinson,"[3.83, 2.17, 0.8, 0.8, 3.73, 7.07]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 2 Watch replay,Mikey Wright,"[3.67, 1.5, 4.4, 1.37, 2.9, 4.27]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 3 Watch replay,Michel Bourez,"[0.5, 7.17, 0.57, 6.17, 2.4, 0.77, 0.97]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 3 Watch replay,Connor O'Leary,"[3.5, 1.93, 6.33, 5.0]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 3 Watch replay,Matthew McGillivray,"[4.0, 0.87, 0.3, 0.33, 3.63, 1.5, 4.43, 3.73, 0.73, 0.5]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 4 Watch replay,Leonardo Fioravanti,"[6.67, 0.77, 9.0, 4.17, 5.2, 0.5]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 4 Watch replay,Conner Coffin,"[3.33, 5.33, 0.37, 2.33, 5.0, 7.0]"
2021,Rip Curl Newcastle Cup presented by Corona,Elimination Round,Heat 4 Watch replay,Jadson Andre,"[3.67, 0.73, 2.5, 3.77, 4.13, 4.67, 4.73, 2.43, 0.5]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 1 Watch replay,Deivid Silva,"[1.5, 3.0, 5.33, 0.23, 0.8, 2.5, 4.9, 0.7, 5.77]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[3.83, 0.27, 3.37, 0.7]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 1 Watch replay,Conner Coffin,"[0.37, 1.93, 3.03, 1.73, 0.43]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 2 Watch replay,Filipe Toledo,"[3.0, 4.5, 0.73, 5.83, 2.67, 0.3, 0.47, 5.17]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 2 Watch replay,Morgan Cibilic,"[2.0, 0.3, 2.37, 6.17, 2.73, 4.53, 3.43, 2.63]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 2 Watch replay,Jadson Andre,"[2.5, 0.5, 5.1, 3.1, 3.43, 0.37, 4.2, 2.23, 1.0, 0.77, 1.0, 1.77]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 3 Watch replay,John John Florence,"[6.67, 3.33, 2.33, 4.6, 7.23, 1.8, 7.33, 2.4]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 3 Watch replay,Yago Dora,"[0.5, 2.07, 0.5, 1.2, 4.3, 1.0, 3.5, 6.0, 6.3, 6.43, 4.6]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 3 Watch replay,Mikey Wright,"[3.23, 0.8, 1.87, 5.77, 3.3, 5.27, 6.23]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 4 Watch replay,Frederico Morais,"[3.33, 5.33, 4.17, 0.27, 4.9, 5.6, 6.67, 2.9]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[2.0, 1.57, 4.57, 0.83, 1.23, 5.97, 0.67, 5.2]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 4 Watch replay,Matt Banting,"[3.0, 0.57, 4.33, 2.1, 5.93, 4.97]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 5 Watch replay,Crosby Colapinto,"[3.33, 5.67, 5.03, 5.07, 3.07]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 5 Watch replay,Gabriel Medina,"[4.17, 2.17, 2.23, 1.6, 4.67, 1.4, 4.27, 0.2, 1.13, 0.3, 4.43, 5.6]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 5 Watch replay,Matthew McGillivray,"[2.2, 3.83, 4.33]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 6 Watch replay,Italo Ferreira,"[0.5, 3.0, 5.33, 6.5, 0.93, 3.8, 0.97, 0.73, 0.5, 2.53, 5.37, 1.87, 5.73, 3.6, 1.4, 3.33, 4.7]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 6 Watch replay,Jackson Baker,"[4.77, 5.43, 0.37, 6.07, 1.43, 1.6, 1.6, 0.5]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 6 Watch replay,Jack Robinson,"[5.33, 1.5, 4.0, 1.17, 2.17, 0.3]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 7 Watch replay,Jeremy Flores,"[5.17, 2.17, 2.23, 6.67, 3.77]"
2021,Rip Curl Newcastle Cup presented by Corona,Seeding Round,Heat 7 Watch replay,Adrian Buchan,"[4.67, 1.27, 7.0, 3.1]"
