year,event,round,heat,name,scores
2010,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Bede Durbidge,"[0.37, 5.17, 7.33, 0.57, 5.03, 1.5, 5.83]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Stuart Kennedy,"[0.5, 4.0, 5.73, 0.3, 4.83, 1.0, 2.4, 6.33, 0.23, 4.8]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,Gabriel Medina,"[3.5, 1.77, 1.6, 3.17, 6.0, 4.43, 1.8, 2.0]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,C.J. Hobgood,"[2.17, 0.2, 5.17, 2.93, 0.33, 4.67, 2.43, 3.4, 0.2, 4.1]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Bobby Martinez,"[8.17, 5.17, 7.07, 0.5, 2.17, 0.57, 6.0]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Adam Robertson,"[7.0, 0.5, 0.93, 5.33, 7.07, 0.93, 2.3, 6.1]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Neco Padaratz,"[6.33, 0.57, 4.17, 5.7, 2.0]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Damien Hobgood,"[5.27, 0.3, 4.33, 0.23, 1.17, 1.07, 1.5, 0.57, 0.43, 0.77, 2.77]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Dane Reynolds,"[5.33, 0.67, 1.07, 1.37, 0.37, 0.93, 3.73]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Blake Thornton,"[2.5, 3.23, 0.5, 4.23, 0.23, 0.3]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Jordy Smith,"[1.93, 1.23, 3.67, 5.83, 1.6, 6.4, 4.5]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Marco Polo,"[2.5, 0.77, 3.23, 4.03, 4.77, 4.67, 2.03, 5.07]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Taylor Knox,"[6.0, 7.67, 0.9, 0.7]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Travis Logie,"[0.5, 0.73, 6.1, 7.5]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,Tanner Gudauskas,"[7.5, 3.0, 6.33, 2.9, 1.6, 4.67, 2.03]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,Kieren Perrow,"[3.83, 3.87, 2.43, 6.67]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Matt Wilkinson,"[2.17, 6.0, 4.1, 0.27, 1.3, 2.23, 1.63]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Dean Morrison,"[3.83, 0.37, 4.1, 2.03, 0.93, 5.33]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 10 ,Kai Otton,"[5.0, 0.27, 5.77, 6.17, 0.9, 3.5, 0.57]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 10 ,Nathan Yeomans,"[1.67, 5.6, 3.93, 2.67, 2.47, 0.67]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 11 ,Chris Davidson,"[8.0, 3.0, 0.27, 8.13, 2.83, 5.83]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 11 ,Jay Thompson,"[1.5, 7.77, 4.67, 8.33, 6.5, 2.67]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 12 ,Daniel Ross,"[2.0, 6.33, 4.7, 5.23]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 12 ,Adam Melling,"[2.83, 4.83, 4.0, 1.0, 0.77, 5.0]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 13 ,Brett Simpson,"[1.0, 1.67, 3.17, 5.83, 7.83, 2.73]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 13 ,Kekoa Bacalso,"[4.33, 0.43, 2.33, 4.37, 1.77]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 14 ,Drew Courtney,"[7.17, 4.83, 5.67, 1.0, 4.27]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 14 ,Mick Campbell,"[3.17, 3.1, 5.1]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 15 ,Jadson Andre,"[1.0, 3.83, 0.5, 1.53, 5.0, 0.57, 4.5, 2.0]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 15 ,Luke Munro,"[0.6, 1.5, 0.37, 0.93, 0.57]"
2010,Rip Curl Pro Bells Beach,Round 2,Heat 16 ,Owen Wright,"[5.17, 4.67, 4.0, 0.43, 3.2, 1.0]"
