year,event,round,heat,name,scores
2011,Rip Curl Pro Portugal,Round 2,Heat 1 ,Jordy Smith,"[6.33, 7.67, 2.5, 2.33, 8.07, 0.5, 5.17, 1.37, 0.87]"
2011,Rip Curl Pro Portugal,Round 2,Heat 1 ,Bruno Santos,"[8.5, 2.47, 2.1, 1.83, 1.1]"
2011,Rip Curl Pro Portugal,Round 2,Heat 2 ,Taj Burrow,"[4.1, 7.5, 6.33, 0.8, 0.83, 5.0, 0.67, 8.6]"
2011,Rip Curl Pro Portugal,Round 2,Heat 2 ,Francisco Alves,"[2.67, 3.5, 1.77, 1.33, 0.5, 0.93, 2.23, 3.07, 0.2]"
2011,Rip Curl Pro Portugal,Round 2,Heat 3 ,Adriano de Souza,"[2.83, 5.0, 1.5, 4.37, 9.0, 7.83]"
2011,Rip Curl Pro Portugal,Round 2,Heat 3 ,Justin Mujica,"[0.57, 3.67, 0.37, 1.17, 1.47, 4.97]"
2011,Rip Curl Pro Portugal,Round 2,Heat 4 ,Michel Bourez,"[6.17, 8.1, 8.67, 7.1]"
2011,Rip Curl Pro Portugal,Round 2,Heat 4 ,Adam Melling,"[5.17, 5.67, 6.5, 4.33, 8.73]"
2011,Rip Curl Pro Portugal,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[1.27, 6.5, 3.83, 7.93]"
2011,Rip Curl Pro Portugal,Round 2,Heat 5 ,Alejo Muniz,"[0.5, 5.5, 1.4, 7.33, 5.57, 1.57, 4.6, 2.1]"
2011,Rip Curl Pro Portugal,Round 2,Heat 6 ,John John Florence,"[6.9, 9.5, 1.27, 6.57, 9.73, 7.67, 1.93, 9.8, 1.0]"
2011,Rip Curl Pro Portugal,Round 2,Heat 6 ,Adrian Buchan,"[2.33, 7.0, 6.97, 2.63, 6.0, 1.6]"
2011,Rip Curl Pro Portugal,Round 2,Heat 7 ,Heitor Alves,"[0.67, 3.67, 6.17, 8.93, 1.1, 6.57, 2.57]"
2011,Rip Curl Pro Portugal,Round 2,Heat 7 ,Tiago Pires,"[0.43, 1.6, 1.07, 2.57, 5.0, 7.6, 5.6, 2.0]"
2011,Rip Curl Pro Portugal,Round 2,Heat 8 ,Bede Durbidge,"[5.5, 8.67, 2.43, 7.07, 7.37, 4.83]"
2011,Rip Curl Pro Portugal,Round 2,Heat 8 ,Kieren Perrow,"[1.83, 1.43, 1.8, 1.33, 6.57, 5.0, 6.8, 7.67, 8.2, 1.6, 7.47, 3.33]"
