year,event,round,heat,name,scores
2009,Rip Curl Search,Round 2,Heat 1 ,C.J. Hobgood,"[7.17, 0.3, 1.0, 6.77, 2.07, 1.3]"
2009,Rip Curl Search,Round 2,Heat 1 ,Nathaniel Curran,"[1.5, 5.17, 6.33, 1.87]"
2009,Rip Curl Search,Round 2,Heat 2 ,Jordy Smith,"[4.0, 6.5, 1.5, 4.93, 0.5, 0.87, 3.37, 0.2, 7.67, 8.17, 0.3, 0.57]"
2009,Rip Curl Search,Round 2,Heat 2 ,Roy Powers,"[0.37, 3.0, 4.5, 5.17, 4.17, 4.07, 0.23, 1.43, 0.27]"
2009,Rip Curl Search,Round 2,Heat 3 ,Tom Whitaker,"[4.5, 6.17, 1.43, 4.57, 5.6, 5.67]"
2009,Rip Curl Search,Round 2,Heat 3 ,Heitor Alves,"[0.5, 0.9, 1.67, 3.5, 8.0]"
2009,Rip Curl Search,Round 2,Heat 4 ,Bede Durbidge,"[0.23, 0.23, 5.0, 1.03, 5.83, 8.67, 6.4, 5.23]"
2009,Rip Curl Search,Round 2,Heat 4 ,Marlon Lipke,"[3.17, 1.0, 4.17, 2.77]"
2009,Rip Curl Search,Round 2,Heat 5 ,Bobby Martinez,"[2.0, 1.5, 6.5, 7.67, 0.5, 0.9]"
2009,Rip Curl Search,Round 2,Heat 5 ,Nic Muscroft,"[2.5, 2.0, 0.83, 0.87, 0.2, 3.97, 0.9, 3.67, 0.77, 0.5]"
2009,Rip Curl Search,Round 2,Heat 6 ,Drew Courtney,"[1.93, 0.37, 0.33, 1.0, 5.33, 1.5, 7.5, 8.17]"
2009,Rip Curl Search,Round 2,Heat 6 ,Taylor Knox,"[3.33, 2.9, 0.23, 4.83, 7.0, 5.83, 0.67, 6.73]"
2009,Rip Curl Search,Round 2,Heat 7 ,Kai Otton,"[4.17, 5.67, 1.07, 1.17, 0.5, 3.67, 3.07, 1.57, 0.23, 7.17]"
2009,Rip Curl Search,Round 2,Heat 7 ,Adrian Buchan,"[1.23, 1.33, 0.5, 7.07, 1.8, 0.27, 3.1, 5.07, 5.5, 5.53]"
2009,Rip Curl Search,Round 2,Heat 8 ,Joel Parkinson,"[1.5, 0.2, 1.07, 3.83, 0.63, 5.6, 6.83, 1.13, 5.07]"
2009,Rip Curl Search,Round 2,Heat 8 ,Bruno Santos,"[0.2, 0.33, 5.67, 1.57, 1.3]"
2009,Rip Curl Search,Round 2,Heat 9 ,Owen Wright,"[0.67, 3.5, 3.1, 1.0, 0.67, 1.1, 7.1, 6.63, 7.73]"
2009,Rip Curl Search,Round 2,Heat 9 ,Kelly Slater,"[2.1, 1.5, 4.4, 5.5, 1.67, 5.93, 7.0, 4.03, 7.13, 0.9, 2.53, 0.5, 7.23]"
2009,Rip Curl Search,Round 2,Heat 10 ,Dane Reynolds,"[1.0, 1.07, 5.77, 1.57, 2.03, 0.2, 2.63, 1.13, 8.33]"
2009,Rip Curl Search,Round 2,Heat 10 ,Dean Morrison,"[6.17, 4.5, 2.5, 3.77, 1.87, 3.4]"
2009,Rip Curl Search,Round 2,Heat 11 ,Taj Burrow,"[9.17, 5.17, 1.37, 2.93, 7.73, 6.83, 1.07]"
2009,Rip Curl Search,Round 2,Heat 11 ,Mikael Picon,"[2.5, 2.17, 0.5, 0.53, 2.57, 2.73, 3.57, 0.57, 1.07, 6.67]"
2009,Rip Curl Search,Round 2,Heat 12 ,Damien Hobgood,"[2.5, 2.0, 2.13, 4.67, 0.2, 0.33, 3.83, 1.13, 1.17, 2.13, 0.27]"
2009,Rip Curl Search,Round 2,Heat 12 ,Greg Emslie,"[0.5, 1.63, 0.93, 1.07, 1.7, 1.77, 3.43, 3.7, 1.47]"
2009,Rip Curl Search,Round 2,Heat 13 ,Mick Fanning,"[6.67, 5.83, 4.0, 7.73, 5.57, 2.47, 7.83, 1.93, 1.47]"
2009,Rip Curl Search,Round 2,Heat 13 ,Patrick Gudauskas,"[2.33, 7.17, 6.67, 0.43, 4.6, 2.37, 0.33, 7.1, 2.0]"
2009,Rip Curl Search,Round 2,Heat 14 ,Freddy Patacchia Jr.,"[2.83, 7.0, 8.17, 1.1, 1.23, 4.4]"
2009,Rip Curl Search,Round 2,Heat 14 ,Ben Dunn,"[3.5, 5.0, 2.0, 0.9, 3.83, 3.63]"
2009,Rip Curl Search,Round 2,Heat 15 ,Adriano de Souza,"[5.83, 3.5, 2.0, 4.7, 2.13, 7.17, 1.0, 3.43]"
2009,Rip Curl Search,Round 2,Heat 15 ,Jihad Khodr,"[0.43, 4.9, 4.9, 5.17, 2.5, 1.57]"
2009,Rip Curl Search,Round 2,Heat 16 ,Tim Reyes,"[3.53, 6.83, 5.33, 6.17, 6.23]"
2009,Rip Curl Search,Round 2,Heat 16 ,Kieren Perrow,"[4.5, 5.0, 1.0]"
2009,Rip Curl Search,Round 1,Heat 1 ,Jihad Khodr,"[1.5, 6.33, 3.67, 2.1, 5.33, 6.77]"
2009,Rip Curl Search,Round 1,Heat 1 ,Tim Boal,"[6.17, 4.67, 2.0, 2.47, 2.47]"
2009,Rip Curl Search,Round 1,Heat 2 ,Heitor Alves,"[3.67, 2.73, 4.83, 2.7]"
2009,Rip Curl Search,Round 1,Heat 2 ,David Weare,"[1.43, 2.67, 0.57]"
2009,Rip Curl Search,Round 1,Heat 3 ,Nathaniel Curran,"[4.5, 6.5, 2.07]"
2009,Rip Curl Search,Round 1,Heat 3 ,Tiago Pires,"[0.8, 4.6, 2.67, 2.77, 4.9, 0.6, 4.77]"
2009,Rip Curl Search,Round 1,Heat 4 ,Ben Dunn,"[7.0, 3.17, 4.23, 5.33]"
2009,Rip Curl Search,Round 1,Heat 4 ,Phillip MacDonald,"[3.67, 1.0, 4.5, 3.07, 7.17, 1.7]"
2009,Rip Curl Search,Round 1,Heat 5 ,Marlon Lipke,"[5.17, 6.83, 6.43, 0.87, 7.83]"
2009,Rip Curl Search,Round 1,Heat 5 ,Michel Bourez,"[6.17, 2.0, 0.37, 4.6, 0.87]"
2009,Rip Curl Search,Round 1,Heat 6 ,Patrick Gudauskas,"[5.17, 1.0, 4.3, 5.0, 1.67, 6.67, 1.93]"
2009,Rip Curl Search,Round 1,Heat 6 ,Chris Davidson,"[3.83, 1.83, 4.5, 5.67, 1.0, 1.93, 2.47, 0.43, 0.2]"
2009,Rip Curl Search,Round 1,Heat 7 ,Owen Wright,"[6.0, 0.73, 5.5, 4.67, 2.0, 3.67, 6.03]"
2009,Rip Curl Search,Round 1,Heat 7 ,Kekoa Bacalso,"[2.83, 1.9, 5.93]"
2009,Rip Curl Search,Round 1,Heat 8 ,Kai Otton,"[6.83, 0.5, 3.07, 1.07]"
2009,Rip Curl Search,Round 1,Heat 8 ,David Luis,"[2.67, 1.0, 3.23, 2.23, 0.5]"
2009,Rip Curl Search,Round 1,Heat 9 ,Dean Morrison,"[6.5, 2.33, 5.33, 0.83, 2.27, 6.0, 2.2]"
2009,Rip Curl Search,Round 1,Heat 9 ,Justin Mujica,"[6.17, 2.77, 1.77, 1.37, 4.17, 0.5, 0.5, 3.43]"
2009,Rip Curl Search,Round 1,Heat 10 ,Bruno Santos,"[7.0, 2.4, 0.63, 7.67, 0.5, 1.5, 3.03]"
2009,Rip Curl Search,Round 1,Heat 10 ,Mick Campbell,"[1.5, 0.3, 5.67, 1.0, 6.33, 6.43, 4.67, 0.37]"
2009,Rip Curl Search,Round 1,Heat 11 ,Mikael Picon,"[0.87, 5.33, 1.07, 6.17, 6.33, 6.83, 0.77, 1.93]"
2009,Rip Curl Search,Round 1,Heat 11 ,Chris Ward,"[0.5, 0.2, 0.27, 0.3, 0.27, 1.43, 3.83, 0.4, 4.9, 0.9, 2.0, 1.43, 0.5]"
2009,Rip Curl Search,Round 1,Heat 12 ,Roy Powers,"[6.67, 7.5, 3.1, 1.43, 2.73, 5.87]"
2009,Rip Curl Search,Round 1,Heat 12 ,Dayyan Neve,"[1.0, 2.83, 2.0, 2.33, 5.67, 5.33, 1.0, 1.27, 3.83]"
2009,Rip Curl Search,Round 1,Heat 13 ,Tim Reyes,"[0.37, 0.23, 6.67, 5.33, 5.17, 0.83, 1.43]"
