year,event,round,heat,name,scores
2010,Santa Catarina Pro,Round 2,Heat 1 ,Taj Burrow,"[7.33, 6.0, 1.2, 8.33, 7.17]"
2010,Santa Catarina Pro,Round 2,Heat 1 ,Tanio Barreto,"[4.67, 4.17, 0.93, 3.0, 0.4, 4.07, 0.2]"
2010,Santa Catarina Pro,Round 2,Heat 2 ,Mick Fanning,"[4.83, 5.6, 6.33, 7.5]"
2010,Santa Catarina Pro,Round 2,Heat 2 ,Ricardo dos Santos,"[2.33, 0.3, 2.0, 5.33, 1.93, 3.5]"
2010,Santa Catarina Pro,Round 2,Heat 3 ,Kelly Slater,"[7.17, 7.0, 3.0, 6.0, 5.17, 1.5, 4.73, 7.67]"
2010,Santa Catarina Pro,Round 2,Heat 3 ,Messias Felix,"[4.0, 4.17, 1.5, 2.33, 1.0]"
2010,Santa Catarina Pro,Round 2,Heat 4 ,Adriano de Souza,"[2.17, 6.17, 6.67, 3.6, 5.93]"
2010,Santa Catarina Pro,Round 2,Heat 4 ,Blake Thornton,"[2.33, 4.83, 1.4, 6.07]"
2010,Santa Catarina Pro,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[2.67, 2.27, 4.83, 5.43]"
2010,Santa Catarina Pro,Round 2,Heat 5 ,Marco Polo,"[1.0, 0.5, 2.5, 3.4, 4.67, 3.9, 4.9, 3.5]"
2010,Santa Catarina Pro,Round 2,Heat 6 ,Travis Logie,"[4.0, 0.5, 4.57, 4.9, 5.73, 0.3, 6.9, 3.0]"
2010,Santa Catarina Pro,Round 2,Heat 6 ,Kai Otton,"[1.0, 2.0, 1.87, 0.33, 0.87, 6.33, 4.77, 1.5, 5.83]"
2010,Santa Catarina Pro,Round 2,Heat 7 ,Adrian Buchan,"[6.5, 1.93, 0.3, 6.0, 0.6, 1.63, 7.0, 0.83]"
2010,Santa Catarina Pro,Round 2,Heat 7 ,Nathan Yeomans,"[4.17, 3.5, 3.7, 5.17]"
2010,Santa Catarina Pro,Round 2,Heat 8 ,Kieren Perrow,"[6.67, 4.0, 2.83, 6.6, 6.8, 0.5]"
2010,Santa Catarina Pro,Round 2,Heat 8 ,Jay Thompson,"[2.83, 1.5, 3.57, 3.17, 7.33, 0.87, 1.9]"
