year,event,round,heat,name,scores
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 1 Watch replay,Sebastian Zietz,"[7.33, 6.0, 1.53, 7.07]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 1 Watch replay,Jordy Smith,"[2.5, 3.83, 0.97, 5.0, 6.87, 1.1]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 1 Watch replay,Matahi Drollet,"[2.5, 1.07, 0.63, 1.23, 6.5, 3.07]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 2 Watch replay,Ryan Callinan,"[1.3, 5.67, 6.83]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 2 Watch replay,Caio Ibelli,"[1.0, 0.93, 1.0, 4.17, 4.57, 0.2]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 2 Watch replay,Tyler Newton,"[0.97, 3.17, 1.27, 3.4]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 3 Watch replay,Peterson Crisanto,"[3.33, 1.13, 1.37, 1.2]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 3 Watch replay,Michel Bourez,"[4.17, 5.0, 1.1, 1.4, 6.0, 5.33]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 3 Watch replay,Frederico Morais,"[0.87, 1.37, 0.37, 1.27, 4.67, 2.0, 0.73, 5.5, 0.3]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 4 Watch replay,Conner Coffin,"[6.67, 3.67, 4.17, 1.4, 7.1]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 4 Watch replay,Jesse Mendes,"[5.0, 4.6, 4.93, 4.4, 1.0]"
2019,Tahiti Pro Teahupo'o,Elimination Round,Heat 4 Watch replay,Michael Rodrigues,"[2.83, 0.5, 2.93, 3.73, 2.4, 2.07, 0.43]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 1 Watch replay,Soli Bailey,"[5.5, 4.0, 0.27, 2.83, 0.63, 1.2, 0.7]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 1 Watch replay,Gabriel Medina,"[1.4, 0.67, 0.43, 0.93, 1.8, 4.33, 0.3, 1.37, 0.37, 1.1]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 1 Watch replay,Peterson Crisanto,[0.77]
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 2 Watch replay,Adrian Buchan,"[3.83, 7.67, 1.0]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 2 Watch replay,Jadson Andre,"[5.83, 4.07, 0.33, 0.3, 0.5, 1.47, 0.97, 1.17]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 2 Watch replay,Jordy Smith,"[0.5, 1.33, 1.4, 1.0, 0.93, 1.6]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 3 Watch replay,Kanoa Igarashi,"[1.23, 3.33, 0.27, 0.13, 0.43, 5.5, 3.23]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 3 Watch replay,Adriano de Souza,"[1.0, 0.87, 0.43, 4.0, 0.37, 1.5, 0.7]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 3 Watch replay,Caio Ibelli,"[0.5, 0.57, 2.83, 0.87, 0.5, 0.37, 0.1, 0.27, 0.2]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 4 Watch replay,Italo Ferreira,"[1.3, 0.73, 7.83, 1.27, 0.53, 0.77, 2.83, 0.93, 4.33]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 4 Watch replay,Kauli Vaast,"[0.43, 0.2, 0.77, 2.07, 0.17, 5.0, 0.7]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 4 Watch replay,Sebastian Zietz,"[0.63, 0.57]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 5 Watch replay,Joan Duru,"[3.77, 3.97, 0.77, 4.77, 4.6, 3.0, 0.5]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 5 Watch replay,Filipe Toledo,"[3.0, 4.17, 0.67, 2.33, 4.53, 3.67, 2.7]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 5 Watch replay,Tyler Newton,"[1.17, 1.87, 1.67, 0.77]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 6 Watch replay,Kolohe Andino,"[3.33, 3.1, 4.73, 0.5, 0.6, 7.0]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 6 Watch replay,Yago Dora,"[0.5, 0.87, 5.17, 3.4, 0.5, 0.93, 1.0, 0.43, 0.43, 5.53, 5.67]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 6 Watch replay,Matahi Drollet,"[2.83, 2.73, 1.37, 0.8]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 7 ,Kelly Slater,"[0.67, 3.57, 0.83, 1.0, 5.83, 4.8]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 7 ,Deivid Silva,"[0.67, 3.83, 4.93, 1.0, 3.53, 1.67, 0.43, 0.5]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 7 ,Frederico Morais,"[1.5, 0.37, 3.77, 1.33, 0.5, 4.23, 0.7, 0.63, 1.6, 1.57]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 8 Watch replay,Ricardo Christie,"[6.0, 2.0, 3.23, 3.9, 4.23]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 8 Watch replay,Willian Cardoso,"[2.17, 5.27, 0.43, 0.4, 3.67, 3.57, 4.4, 4.33, 0.5]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 8 Watch replay,Ryan Callinan,"[2.83, 0.37, 3.67, 1.0, 3.37, 3.87, 3.33, 2.63]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 9 Watch replay,Ezekiel Lau,"[4.5, 3.17, 3.27, 4.83, 6.33, 6.33, 0.93]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 9 Watch replay,Julian Wilson,"[1.23, 2.73, 0.3, 0.5, 5.67, 1.23, 0.57, 3.37, 0.63, 5.93, 0.93]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 9 Watch replay,Michael Rodrigues,"[1.5, 0.6, 3.03, 3.63, 1.8, 3.53, 4.77, 4.57, 1.67]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 10 Watch replay,Griffin Colapinto,"[1.07, 0.43, 5.67, 2.93, 4.83, 1.23, 1.93, 0.77]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 10 Watch replay,Jeremy Flores,"[3.5, 4.17, 4.0, 4.6, 1.6]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 10 Watch replay,Michel Bourez,"[0.7, 1.43, 3.17, 3.73, 0.5, 2.67, 0.73, 1.3, 2.6]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 11 Watch replay,Owen Wright,"[5.83, 1.07, 5.0, 5.5, 4.77]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 11 Watch replay,Wade Carmichael,"[2.33, 3.83, 0.63, 2.27, 1.43, 2.6, 5.53, 0.87, 1.03]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 11 Watch replay,Jesse Mendes,"[2.83, 0.83, 3.43, 0.73, 0.8]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 12 Watch replay,Seth Moniz,"[5.93, 1.77, 5.77, 0.33, 0.5, 1.0, 2.57, 3.87]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 12 Watch replay,Jack Freestone,"[5.83, 2.33, 3.5, 4.3]"
2019,Tahiti Pro Teahupo'o,Seeding Round,Heat 12 Watch replay,Conner Coffin,"[1.0, 0.5, 4.67, 0.5, 0.3, 4.43, 5.0, 0.5]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 1 Watch replay,Jadson Andre,"[1.5, 3.83, 5.83, 1.0, 5.17, 6.33]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 1 Watch replay,Kanoa Igarashi,"[0.5, 0.7, 1.07, 3.83, 4.17, 4.83]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 2 Watch replay,Deivid Silva,"[3.33, 1.7, 2.9, 0.8, 3.93, 1.3, 6.17, 2.63]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 2 Watch replay,Adrian Buchan,"[1.07, 0.2, 2.17, 1.17, 0.93, 7.17, 0.23]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 3 Watch replay,Owen Wright,"[2.83, 1.6, 2.57, 3.7, 4.7, 5.33, 7.0, 5.73]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 3 Watch replay,Soli Bailey,"[1.6, 1.0, 1.73, 4.17, 4.43, 0.87, 1.53, 7.93]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 4 Watch replay,Michel Bourez,"[1.0, 0.5, 2.77, 0.37, 6.17, 3.67, 4.1, 1.93, 5.43]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 4 Watch replay,Sebastian Zietz,"[5.33, 4.93, 2.1, 2.73, 5.9, 5.13, 3.87, 4.27]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 5 Watch replay,Adriano de Souza,"[0.5, 4.83, 6.67, 1.93, 0.63, 5.0, 6.33]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 5 Watch replay,Italo Ferreira,"[3.83, 0.77, 1.33, 2.67, 3.1, 1.5, 0.93, 4.2, 7.67, 7.43]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 6 Watch replay,Joan Duru,"[6.33, 1.93, 2.83, 6.2, 5.1, 7.9, 0.83, 6.77]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 6 Watch replay,Willian Cardoso,"[0.5, 0.93]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 7 ,Jordy Smith,"[2.67, 2.07, 5.33, 2.7, 7.83, 5.17, 1.43, 5.37]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 7 ,Ricardo Christie,"[0.5, 1.17, 1.47, 6.27]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 8 Watch replay,Julian Wilson,"[0.27, 3.33, 0.5, 2.5, 1.5, 5.17, 4.27]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 8 Watch replay,Yago Dora,[5.27]
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 9 Watch replay,Kauli Vaast,"[6.67, 3.0, 5.1, 5.17, 7.83]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 9 Watch replay,Kolohe Andino,"[2.83, 2.77, 3.83, 5.33, 5.07, 5.83, 6.33, 1.4]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 10 Watch replay,Jeremy Flores,"[1.0, 0.57, 2.5, 5.5, 4.77, 3.93]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 10 Watch replay,Wade Carmichael,"[0.3, 1.57, 7.17, 0.57, 1.23]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 11 Watch replay,Griffin Colapinto,"[1.67, 3.67, 2.43, 6.5, 2.33, 5.5]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 11 Watch replay,Ryan Callinan,"[0.23, 2.5, 2.07, 3.17, 5.0, 7.67, 0.5, 6.33, 4.93, 6.4]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 12 Watch replay,Gabriel Medina,"[6.33, 7.0, 1.3, 7.03]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 12 Watch replay,Ezekiel Lau,"[2.5, 4.43, 1.57, 5.57]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 13 Watch replay,Filipe Toledo,"[0.47, 0.93, 3.43, 3.33, 2.4, 3.83]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 13 Watch replay,Jesse Mendes,"[0.83, 3.07, 2.87, 5.67, 5.4, 1.63, 5.37]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 14 Watch replay,Seth Moniz,"[5.77, 7.5, 5.43, 7.17, 6.93]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 14 Watch replay,Peterson Crisanto,"[2.17, 1.5, 5.33, 4.33, 1.07]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 15 Watch replay,Caio Ibelli,"[2.5, 6.6, 5.33, 4.9, 5.03]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 15 Watch replay,Conner Coffin,"[4.33, 0.2, 7.23, 7.77]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 16 Watch replay,Jack Freestone,"[7.23, 6.27]"
2019,Tahiti Pro Teahupo'o,Round of 32,Heat 16 Watch replay,Kelly Slater,"[1.0, 2.33, 6.5, 6.33, 0.4, 4.83, 7.7]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 1 Watch replay,Jadson Andre,"[5.67, 7.0, 5.33, 6.67, 1.43]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 1 Watch replay,Deivid Silva,"[4.67, 0.67, 0.87, 0.93, 7.17, 0.53]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 2 Watch replay,Owen Wright,"[0.93, 7.0, 7.0, 7.0]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 2 Watch replay,Michel Bourez,"[5.07, 0.57, 7.43]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 3 Watch replay,Adriano de Souza,"[5.33, 6.67, 6.07]"
2019,Tahiti Pro Teahupo'o,Round of 16,Heat 3 Watch replay,Joan Duru,"[5.67, 1.5, 3.17, 1.4, 3.6, 1.57]"
