year,event,round,heat,name,scores
2013,Volcom Fiji Pro,Round 2,Heat 1 ,Kelly Slater,"[0.2, 2.33, 5.67, 8.17, 8.1]"
2013,Volcom Fiji Pro,Round 2,Heat 1 ,Aca Ravulo,"[1.17, 1.23, 3.67, 7.23]"
2013,Volcom Fiji Pro,Round 2,Heat 2 ,Mick Fanning,"[6.0, 6.0, 8.67, 1.73, 3.1]"
2013,Volcom Fiji Pro,Round 2,Heat 2 ,Alex Gray,"[2.0, 2.33, 3.93, 0.67]"
2013,Volcom Fiji Pro,Round 2,Heat 3 ,Yadin Nicol,"[4.5, 1.03, 0.43, 1.5, 8.27]"
2013,Volcom Fiji Pro,Round 2,Heat 3 ,Adriano de Souza,"[6.67, 3.93, 1.93, 0.87, 1.43, 5.93]"
2013,Volcom Fiji Pro,Round 2,Heat 4 ,Joel Parkinson,"[0.93, 5.83, 1.3, 6.67, 7.07, 0.6, 9.1, 0.5, 1.2, 9.37]"
2013,Volcom Fiji Pro,Round 2,Heat 4 ,Dusty Payne,"[2.77, 6.9, 1.0, 2.83, 8.63, 2.1]"
2013,Volcom Fiji Pro,Round 2,Heat 5 ,Taj Burrow,"[1.07, 1.6, 2.67, 1.7, 0.37, 4.17, 3.7]"
2013,Volcom Fiji Pro,Round 2,Heat 5 ,Adam Melling,"[1.27, 1.17, 3.33, 4.43]"
2013,Volcom Fiji Pro,Round 2,Heat 6 ,Jordy Smith,"[0.43, 5.5, 8.0, 1.17, 1.53]"
2013,Volcom Fiji Pro,Round 2,Heat 6 ,Glenn Hall,"[1.2, 3.33, 3.8, 4.63, 1.73]"
2013,Volcom Fiji Pro,Round 2,Heat 7 ,Kolohe Andino,"[4.83, 1.37, 4.77, 1.37, 6.67, 1.0, 4.17, 1.7]"
2013,Volcom Fiji Pro,Round 2,Heat 7 ,Gabriel Medina,"[6.0, 1.33, 3.5, 0.43, 2.07, 1.6, 3.67, 3.13, 0.33]"
2013,Volcom Fiji Pro,Round 2,Heat 8 ,Julian Wilson,"[1.23, 1.27, 7.33, 6.6, 3.17, 5.93, 0.63, 1.07]"
2013,Volcom Fiji Pro,Round 2,Heat 8 ,Alejo Muniz,"[1.77, 0.93, 2.17, 0.2, 0.57, 0.9, 6.87, 1.03]"
2013,Volcom Fiji Pro,Round 2,Heat 9 ,Matt Wilkinson,"[7.5, 1.63, 7.07, 4.4, 8.07]"
2013,Volcom Fiji Pro,Round 2,Heat 9 ,Michel Bourez,"[1.5, 1.83, 2.07, 1.93, 4.33, 1.13, 5.5, 4.83]"
2013,Volcom Fiji Pro,Round 2,Heat 10 ,Sebastian Zietz,"[4.33, 1.57, 0.17, 8.17, 2.17, 1.5, 0.37, 0.67, 8.93]"
2013,Volcom Fiji Pro,Round 2,Heat 10 ,Adrian Buchan,"[3.67, 1.57, 1.4, 8.93, 8.13]"
2013,Volcom Fiji Pro,Round 2,Heat 11 ,John John Florence,"[9.8, 10.0, 1.5, 9.4, 1.33]"
2013,Volcom Fiji Pro,Round 2,Heat 11 ,Bede Durbidge,"[4.83, 3.83, 8.0, 0.93, 2.0, 1.23, 2.33]"
2013,Volcom Fiji Pro,Round 2,Heat 12 ,Nat Young,"[9.2, 4.33, 1.2, 9.03, 2.0, 1.73]"
2013,Volcom Fiji Pro,Round 2,Heat 12 ,Filipe Toledo,"[1.87, 0.9, 5.67, 1.93]"
2013,Volcom Fiji Pro,Round 1,Heat 1 ,Freddy Patacchia Jr.,"[0.27, 8.5, 6.7, 0.5]"
2013,Volcom Fiji Pro,Round 1,Heat 1 ,Sebastian Zietz,"[0.27, 0.63, 7.83, 6.67, 2.33, 1.1]"
2013,Volcom Fiji Pro,Round 1,Heat 1 ,Jordy Smith,"[1.5, 1.13, 6.33, 4.67, 4.5, 1.33]"
2013,Volcom Fiji Pro,Round 1,Heat 2 ,Travis Logie,"[8.83, 1.23, 0.73]"
2013,Volcom Fiji Pro,Round 1,Heat 2 ,Yadin Nicol,"[4.5, 2.17, 1.87, 1.4]"
2013,Volcom Fiji Pro,Round 1,Heat 2 ,Taj Burrow,"[4.67, 0.23]"
2013,Volcom Fiji Pro,Round 1,Heat 3 ,Heitor Alves,"[1.17, 9.8, 4.5, 8.83]"
2013,Volcom Fiji Pro,Round 1,Heat 3 ,Matt Wilkinson,"[7.33, 6.5, 8.0, 0.7]"
2013,Volcom Fiji Pro,Round 1,Heat 3 ,Joel Parkinson,[]
2013,Volcom Fiji Pro,Round 1,Heat 4 ,Mitch Coleborn,"[10.0, 2.93, 9.33]"
2013,Volcom Fiji Pro,Round 1,Heat 4 ,Alejo Muniz,"[5.0, 1.0, 1.6]"
2013,Volcom Fiji Pro,Round 1,Heat 4 ,Adriano de Souza,"[4.17, 1.6]"
2013,Volcom Fiji Pro,Round 1,Heat 5 ,Damien Hobgood,"[4.67, 8.6, 1.27, 3.5, 8.87, 1.63, 0.37]"
2013,Volcom Fiji Pro,Round 1,Heat 5 ,Mick Fanning,"[7.83, 1.6, 2.33, 9.4, 6.6, 4.33]"
2013,Volcom Fiji Pro,Round 1,Heat 5 ,Alex Gray,"[2.17, 1.0, 0.2, 0.93, 0.6, 4.0, 2.23]"
2013,Volcom Fiji Pro,Round 1,Heat 6 ,Miguel Pupo,"[7.17, 1.5, 1.43, 1.57, 4.83, 0.9]"
2013,Volcom Fiji Pro,Round 1,Heat 6 ,Aca Ravulo,"[4.67, 3.17, 0.23, 0.77, 3.83, 2.93]"
2013,Volcom Fiji Pro,Round 1,Heat 6 ,Kelly Slater,[]
2013,Volcom Fiji Pro,Round 1,Heat 7 ,Kai Otton,"[8.5, 8.93, 0.2, 7.77]"
2013,Volcom Fiji Pro,Round 1,Heat 7 ,Dusty Payne,"[0.23, 8.43, 5.5, 4.33, 5.93]"
2013,Volcom Fiji Pro,Round 1,Heat 7 ,Gabriel Medina,"[1.5, 3.83, 4.13, 1.1, 6.4]"
2013,Volcom Fiji Pro,Round 1,Heat 8 ,Kieren Perrow,"[0.77, 2.0, 1.4, 2.0, 5.07, 7.5, 1.73, 1.27, 0.2]"
2013,Volcom Fiji Pro,Round 1,Heat 8 ,Julian Wilson,"[1.6, 2.5, 2.23, 6.0, 0.33, 1.2]"
