#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,0,999,99,99,2.1,9,99,999,9999,999,24.6,999,99,99
2008,1,1,1,0,999,99,99,2.5,9,99,999,9999,999,24.6,999,99,99
2008,1,1,2,0,999,99,99,2.5,11,99,999,9999,999,24.6,999,99,99
2008,1,1,3,0,999,99,99,2.8,11,99,999,9999,999,24.6,999,99,99
2008,1,1,4,0,999,99,99,2.9,11,99,999,9999,999,24.7,999,99,99
2008,1,1,5,0,999,99,99,3.1,11,99,999,9999,999,24.6,999,99,99
2008,1,1,6,0,999,99,99,3.2,10,99,999,9999,999,24.7,999,99,99
2008,1,1,7,0,999,99,99,3,11,99,999,9999,999,24.6,999,99,99
2008,1,1,8,0,999,99,99,3.2,11,99,999,9999,999,24.6,999,99,99
2008,1,1,9,0,999,99,99,3.4,11,99,999,9999,999,24.6,999,99,99
2008,1,1,10,0,999,99,99,3,10,99,999,9999,999,24.6,999,99,99
2008,1,1,11,0,999,99,99,3.1,11,99,999,9999,999,24.6,999,99,99
2008,1,1,12,0,999,99,99,3.1,11,99,999,9999,999,24.6,999,99,99
2008,1,1,13,0,999,99,99,3.2,10,99,999,9999,999,24.6,999,99,99
2008,1,1,14,0,999,99,99,3.5,10,99,999,9999,999,24.6,999,99,99
2008,1,1,15,0,999,99,99,2.9,10,99,999,9999,999,24.6,999,99,99
2008,1,1,16,0,999,99,99,2.7,10,99,999,9999,999,24.6,999,99,99
2008,1,1,17,0,999,99,99,2.9,9,99,999,9999,999,24.6,999,99,99
2008,1,1,18,0,999,99,99,2.7,11,99,999,9999,999,24.6,999,99,99
2008,1,1,19,0,999,99,99,2.5,10,99,999,9999,999,24.6,999,99,99
2008,1,1,20,0,999,99,99,2.8,11,99,999,9999,999,24.6,999,99,99
2008,1,1,21,0,999,99,99,3,10,99,999,9999,999,24.5,999,99,99
2008,1,1,22,0,999,99,99,2.9,11,99,999,9999,999,24.6,999,99,99
2008,1,1,23,0,999,99,99,2.8,10,99,999,9999,999,24.6,999,99,99
2008,1,2,0,0,999,99,99,2.8,10,99,999,9999,999,24.6,999,99,99
2008,1,2,1,0,999,99,99,2.9,9,99,999,9999,999,24.5,999,99,99
