#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2019,1,1,0,12,999,99,99,1.49,9.09,5.32,20,9999,999,23.7,999,99,99
2019,1,1,0,42,999,99,99,1.45,9.09,5.42,15,9999,999,23.7,999,99,99
2019,1,1,1,12,999,99,99,1.52,9.09,5.58,26,9999,999,23.7,999,99,99
2019,1,1,1,42,999,99,99,1.43,8.33,5.54,19,9999,999,23.7,999,99,99
2019,1,1,2,12,999,99,99,1.51,9.09,5.72,22,9999,999,23.7,999,99,99
2019,1,1,2,42,999,99,99,1.49,9.09,5.75,22,9999,999,23.6,999,99,99
2019,1,1,3,12,999,99,99,1.61,9.09,5.73,23,9999,999,23.6,999,99,99
2019,1,1,3,42,999,99,99,1.54,9.09,5.49,15,9999,999,23.6,999,99,99
2019,1,1,4,12,999,99,99,1.6,9.88,6.02,24,9999,999,23.7,999,99,99
2019,1,1,4,42,999,99,99,1.55,9.09,5.85,26,9999,999,23.7,999,99,99
2019,1,1,5,12,999,99,99,1.54,9.09,5.87,19,9999,999,23.7,999,99,99
2019,1,1,5,42,999,99,99,1.54,9.88,5.86,24,9999,999,23.7,999,99,99
2019,1,1,6,12,999,99,99,1.58,9.88,6,26,9999,999,23.7,999,99,99
2019,1,1,6,42,999,99,99,1.7,9.88,6.27,26,9999,999,23.7,999,99,99
2019,1,1,7,12,999,99,99,1.53,9.88,6.02,22,9999,999,23.7,999,99,99
2019,1,1,7,42,999,99,99,1.6,9.88,6.29,29,9999,999,23.7,999,99,99
2019,1,1,8,12,999,99,99,1.47,9.88,6.05,24,9999,999,23.7,999,99,99
2019,1,1,8,42,999,99,99,1.62,9.09,6.67,30,9999,999,23.7,999,99,99
2019,1,1,9,12,999,99,99,1.59,9.88,6.5,26,9999,999,23.7,999,99,99
2019,1,1,9,42,999,99,99,1.58,9.09,6.28,32,9999,999,23.7,999,99,99
2019,1,1,10,12,999,99,99,1.5,10.53,6.34,22,9999,999,23.7,999,99,99
2019,1,1,10,42,999,99,99,1.51,9.88,6.27,26,9999,999,23.7,999,99,99
2019,1,1,11,12,999,99,99,1.42,9.88,6.06,26,9999,999,23.7,999,99,99
2019,1,1,11,42,999,99,99,1.39,9.88,6.25,27,9999,999,23.6,999,99,99
2019,1,1,12,12,999,99,99,1.42,9.88,6.53,20,9999,999,23.6,999,99,99
2019,1,1,12,42,999,99,99,1.46,9.09,6.5,27,9999,999,23.6,999,99,99
2019,1,1,13,12,999,99,99,1.45,10.53,6.29,20,9999,999,23.6,999,99,99
2019,1,1,13,42,999,99,99,1.52,11.11,6.6,12,9999,999,23.6,999,99,99
2019,1,1,14,12,999,99,99,1.43,9.88,6.48,20,9999,999,23.6,999,99,99
2019,1,1,14,42,999,99,99,1.48,14.29,6.82,314,9999,999,23.6,999,99,99
2019,1,1,15,12,999,99,99,1.57,9.88,6.91,27,9999,999,23.6,999,99,99
2019,1,1,15,42,999,99,99,1.56,10.53,6.81,22,9999,999,23.6,999,99,99
2019,1,1,16,12,999,99,99,1.47,9.09,6.45,26,9999,999,23.6,999,99,99
2019,1,1,16,42,999,99,99,1.45,9.88,6.48,27,9999,999,23.6,999,99,99
2019,1,1,17,12,999,99,99,1.5,10.53,6.6,26,9999,999,23.6,999,99,99
2019,1,1,17,42,999,99,99,1.61,9.88,6.52,33,9999,999,23.5,999,99,99
2019,1,1,18,12,999,99,99,1.6,14.29,6.37,318,9999,999,23.5,999,99,99
2019,1,1,18,42,999,99,99,1.65,10.53,5.95,30,9999,999,23.5,999,99,99
2019,1,1,19,12,999,99,99,1.64,10.53,6.42,23,9999,999,23.6,999,99,99
2019,1,1,19,42,999,99,99,1.64,10.53,6.58,27,9999,999,23.6,999,99,99
2019,1,1,20,12,999,99,99,1.72,9.88,6.67,26,9999,999,23.6,999,99,99
2019,1,1,20,42,999,99,99,1.85,9.88,7,29,9999,999,23.6,999,99,99
2019,1,1,21,12,999,99,99,1.63,9.88,6.76,32,9999,999,23.6,999,99,99
2019,1,1,21,42,999,99,99,1.74,13.33,6.73,310,9999,999,23.6,999,99,99
2019,1,1,22,12,999,99,99,1.72,13.33,7.19,306,9999,999,23.6,999,99,99
2019,1,1,22,42,999,99,99,1.86,9.88,7.18,19,9999,999,23.6,999,99,99
2019,1,1,23,12,999,99,99,1.65,18.18,6.75,297,9999,999,23.6,999,99,99
2019,1,1,23,42,999,99,99,1.71,9.09,6.67,33,9999,999,23.6,999,99,99
2019,1,2,0,12,999,99,99,1.56,13.33,6.46,302,9999,999,23.6,999,99,99
2019,1,2,0,42,999,99,99,1.71,13.33,7.3,309,9999,999,23.6,999,99,99
2019,1,2,1,12,999,99,99,1.7,16.67,7.35,302,9999,999,23.6,999,99,99
2019,1,2,1,42,999,99,99,1.7,13.33,7.39,309,9999,999,23.6,999,99,99
2019,1,2,2,12,999,99,99,1.86,16.67,7.77,299,9999,999,23.6,999,99,99
2019,1,2,2,42,999,99,99,1.66,15.38,7.42,314,9999,999,23.6,999,99,99
2019,1,2,3,12,999,99,99,1.7,15.38,7.74,307,9999,999,23.6,999,99,99
2019,1,2,3,42,999,99,99,1.64,16.67,7.55,311,9999,999,23.6,999,99,99
2019,1,2,4,12,999,99,99,1.61,16.67,8.58,299,9999,999,23.6,999,99,99
2019,1,2,4,42,999,99,99,1.59,16.67,8.25,313,9999,999,23.6,999,99,99
2019,1,2,5,12,999,99,99,1.63,16.67,9.03,304,9999,999,23.6,999,99,99
2019,1,2,5,42,999,99,99,1.67,16.67,8.77,306,9999,999,23.5,999,99,99
2019,1,2,6,42,999,99,99,1.87,16.67,8.87,313,9999,999,23.6,999,99,99
2019,1,2,7,42,999,99,99,1.96,16.67,9.13,314,9999,999,23.6,999,99,99
2019,1,2,8,12,999,99,99,1.76,15.38,8.84,313,9999,999,23.6,999,99,99
2019,1,2,8,42,999,99,99,1.77,15.38,8.88,309,9999,999,23.5,999,99,99
2019,1,2,9,12,999,99,99,1.78,16.67,9.03,310,9999,999,23.5,999,99,99
