#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft
2022,3,10,16,26,MM,MM,MM,1.1,9,7.1,11,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,15,56,MM,MM,MM,1.1,11,7,350,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,15,26,MM,MM,MM,1.3,9,7.5,13,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,14,56,MM,MM,MM,1.2,12,7.4,329,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,14,26,MM,MM,MM,1.2,12,7.7,343,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,13,56,MM,MM,MM,1.2,11,7.1,343,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,13,26,MM,MM,MM,1.2,9,7,0,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,12,56,MM,MM,MM,1.2,9,7.1,16,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,12,26,MM,MM,MM,1.3,12,7.2,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,11,56,MM,MM,MM,1.3,10,6.8,356,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,11,26,MM,MM,MM,1.3,11,7.1,352,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,10,56,MM,MM,MM,1.4,10,7.3,353,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,10,26,MM,MM,MM,1.3,11,7.5,340,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,9,56,MM,MM,MM,1.2,12,7.6,342,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,9,26,MM,MM,MM,1.3,13,7.9,329,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,8,56,MM,MM,MM,1.3,11,8.1,339,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,8,26,MM,MM,MM,1.2,13,7.9,336,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,7,56,MM,MM,MM,1.4,13,8.4,335,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,7,26,MM,MM,MM,1.3,13,8.2,333,MM,MM,25.1,MM,MM,MM,MM
2022,3,10,6,56,MM,MM,MM,1.4,13,8.2,332,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,6,26,MM,MM,MM,1.5,10,8.1,2,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,5,56,MM,MM,MM,1.5,13,8.5,335,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,5,26,MM,MM,MM,1.4,12,8.1,332,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,4,56,MM,MM,MM,1.5,11,8.4,342,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,4,26,MM,MM,MM,1.6,11,8.5,355,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,3,56,MM,MM,MM,1.5,13,8.2,340,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,3,26,MM,MM,MM,1.5,13,8.1,335,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,2,56,MM,MM,MM,1.5,13,7.8,333,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,2,26,MM,MM,MM,1.6,11,8.1,340,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,1,56,MM,MM,MM,1.6,13,8.2,329,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,1,26,MM,MM,MM,1.6,13,7.7,328,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,0,56,MM,MM,MM,1.6,11,7.6,356,MM,MM,25.2,MM,MM,MM,MM
2022,3,10,0,26,MM,MM,MM,1.6,12,7.9,338,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,23,56,MM,MM,MM,1.6,13,7.8,317,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,23,26,MM,MM,MM,1.8,11,7.9,348,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,22,56,MM,MM,MM,1.6,10,7.5,356,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,22,26,MM,MM,MM,1.7,12,7.8,329,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,21,56,MM,MM,MM,1.7,10,7.7,350,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,21,26,MM,MM,MM,1.7,12,7.9,333,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,20,56,MM,MM,MM,1.7,13,8.4,329,MM,MM,25.3,MM,MM,MM,MM
2022,3,9,20,26,MM,MM,MM,1.7,13,8.5,319,MM,MM,25.4,MM,MM,MM,MM
2022,3,9,19,56,MM,MM,MM,1.8,12,8.7,328,MM,MM,25.2,MM,MM,MM,MM
2022,3,9,19,26,MM,MM,MM,1.7,13,8.4,328,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,18,56,MM,MM,MM,1.7,13,8.5,332,MM,MM,25,MM,MM,MM,MM
2022,3,9,18,26,MM,MM,MM,1.8,13,8.8,322,MM,MM,25,MM,MM,MM,MM
2022,3,9,17,56,MM,MM,MM,1.9,13,8.8,325,MM,MM,25,MM,MM,MM,MM
2022,3,9,17,26,MM,MM,MM,1.8,11,8.5,348,MM,MM,25,MM,MM,MM,MM
2022,3,9,16,56,MM,MM,MM,1.8,13,8.7,328,MM,MM,25,MM,MM,MM,MM
2022,3,9,16,26,MM,MM,MM,1.8,13,8.9,331,MM,MM,25,MM,MM,MM,MM
2022,3,9,15,56,MM,MM,MM,1.8,13,8.8,336,MM,MM,25,MM,MM,MM,MM
2022,3,9,15,26,MM,MM,MM,1.7,12,8.5,328,MM,MM,25,MM,MM,MM,MM
2022,3,9,14,56,MM,MM,MM,1.9,13,8.8,329,MM,MM,25,MM,MM,MM,MM
2022,3,9,14,26,MM,MM,MM,2,13,8.8,322,MM,MM,25,MM,MM,MM,MM
2022,3,9,13,56,MM,MM,MM,1.9,13,8.5,329,MM,MM,25,MM,MM,MM,MM
2022,3,9,13,26,MM,MM,MM,2,13,8.7,333,MM,MM,25,MM,MM,MM,MM
2022,3,9,12,56,MM,MM,MM,2.1,13,8.8,329,MM,MM,25,MM,MM,MM,MM
2022,3,9,12,26,MM,MM,MM,1.9,13,9.1,325,MM,MM,25,MM,MM,MM,MM
2022,3,9,11,56,MM,MM,MM,1.9,13,8.5,321,MM,MM,25,MM,MM,MM,MM
2022,3,9,11,26,MM,MM,MM,2,13,9,322,MM,MM,25,MM,MM,MM,MM
2022,3,9,10,56,MM,MM,MM,2.1,12,8.6,329,MM,MM,25,MM,MM,MM,MM
2022,3,9,10,26,MM,MM,MM,2.2,14,8.7,325,MM,MM,25,MM,MM,MM,MM
2022,3,9,9,56,MM,MM,MM,2.3,14,9.3,332,MM,MM,25,MM,MM,MM,MM
2022,3,9,9,26,MM,MM,MM,2.3,13,9.1,321,MM,MM,25,MM,MM,MM,MM
2022,3,9,8,56,MM,MM,MM,2.2,11,8.8,332,MM,MM,25,MM,MM,MM,MM
2022,3,9,8,26,MM,MM,MM,2.2,11,8.8,340,MM,MM,25,MM,MM,MM,MM
2022,3,9,7,56,MM,MM,MM,2.3,13,9.2,322,MM,MM,25,MM,MM,MM,MM
2022,3,9,7,26,MM,MM,MM,2.3,13,9.1,329,MM,MM,25,MM,MM,MM,MM
2022,3,9,6,56,MM,MM,MM,2.4,12,9.1,338,MM,MM,25,MM,MM,MM,MM
2022,3,9,6,26,MM,MM,MM,2.4,14,9.1,333,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,5,56,MM,MM,MM,2.3,14,9,319,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,5,26,MM,MM,MM,2.5,13,9.3,324,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,4,56,MM,MM,MM,2.6,11,9.3,343,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,4,26,MM,MM,MM,2.5,13,9.2,335,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,3,56,MM,MM,MM,2.4,14,9.1,328,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,3,26,MM,MM,MM,2.5,14,9.4,324,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,2,56,MM,MM,MM,2.6,14,9.2,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,2,26,MM,MM,MM,2.4,15,8.7,328,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,1,56,MM,MM,MM,2.5,13,9,336,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,1,26,MM,MM,MM,2.5,14,9.1,326,MM,MM,25.1,MM,MM,MM,MM
2022,3,9,0,56,MM,MM,MM,2.5,14,9.1,326,MM,MM,25.1,MM,MM,MM,MM
