#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
#yr,mo,dy,hr,mn,m,m,sec,m,sec,-,degT,-,sec,degT
2022,3,14,23,26,2.4,2.2,14.3,0.8,7.7,NW,MM,SWELL,11,325
2022,3,14,22,56,2,1.8,14.3,0.8,9.9,NW,NNW,SWELL,10.3,325
2022,3,14,22,26,2.5,2.3,14.3,0.8,8.3,NNW,N,SWELL,11.5,328
2022,3,14,21,56,2.4,2.3,14.3,0.8,9.9,NW,NW,SWELL,11.7,325
2022,3,14,21,26,2.3,2.2,14.3,0.8,9.9,NW,NW,SWELL,11.3,326
2022,3,14,20,56,2.2,2,14.3,0.8,8.3,NW,NNE,SWELL,11.1,326
2022,3,14,20,26,2,1.8,15.4,0.7,9.9,NNW,NW,SWELL,11.1,331
2022,3,14,19,56,2.1,2,14.3,0.7,8.3,NNW,MM,SWELL,11.3,328
2022,3,14,19,26,2.2,2.1,15.4,0.7,9.9,NNW,NNW,SWELL,12.4,329
2022,3,14,18,56,2.2,2.1,14.3,0.5,9.9,NNW,NNW,SWELL,12.9,331
2022,3,14,18,26,1.8,1.7,15.4,0.6,9.1,NNW,NNW,SWELL,12.1,333
2022,3,14,17,56,1.7,1.6,15.4,0.6,9.9,NNW,N,SWELL,11.8,333
2022,3,14,17,26,2.4,2.3,15.4,0.7,9.1,NNW,NNW,SWELL,13,331
2022,3,14,16,56,2.4,2.3,15.4,0.6,9.9,NNW,NNW,SWELL,13,335
2022,3,14,16,26,1.8,1.6,15.4,0.7,9.9,NNW,NNW,SWELL,11.5,331
2022,3,14,15,56,1.7,1.5,15.4,0.6,9.1,NNW,NNW,SWELL,11.3,333
2022,3,14,15,26,1.7,1.6,15.4,0.7,9.9,NNW,NNW,SWELL,11.3,332
2022,3,14,14,56,1.9,1.8,16.7,0.7,9.1,NW,NNW,SWELL,11.8,324
2022,3,14,14,26,1.6,1.4,15.4,0.7,9.1,NW,NNW,SWELL,10.5,326
2022,3,14,13,56,1.7,1.5,16.7,0.7,9.9,NW,NW,SWELL,10.7,325
2022,3,14,13,26,1.5,1.3,16.7,0.7,9.9,NW,NW,SWELL,10,322
2022,3,14,12,56,1.4,1.2,16.7,0.7,9.1,NW,NNW,SWELL,9.5,322
2022,3,14,12,26,1.2,1,15.4,0.7,9.9,NW,NW,SWELL,9,324
2022,3,14,11,56,1.2,1,16.7,0.7,9.9,NW,NW,SWELL,8.8,324
2022,3,14,11,26,1.2,1,16.7,0.7,9.9,NNW,NNW,SWELL,9.1,328
2022,3,14,10,56,1.1,0.8,18.2,0.7,8.3,NNW,MM,SWELL,8.2,331
2022,3,14,10,26,1.2,0.9,12.5,0.8,9.1,NW,NNW,SWELL,8.3,324
2022,3,14,9,56,1.1,0.8,18.2,0.7,9.9,NNW,NNW,SWELL,7.9,328
2022,3,14,9,26,1.1,0.8,12.5,0.7,9.9,NW,NW,SWELL,7.8,322
2022,3,14,8,56,1.1,0.8,18.2,0.8,9.9,NNW,NNW,SWELL,7.6,333
2022,3,14,8,26,1.1,0.7,12.5,0.8,9.9,NW,NNW,AVERAGE,7,324
2022,3,14,7,56,1.1,0.6,12.5,0.8,9.9,NW,NNW,AVERAGE,6.1,324
2022,3,14,7,26,1.1,0.6,11.1,0.8,9.1,NW,NNW,AVERAGE,6.1,322
2022,3,14,6,56,1.1,0.7,11.8,0.8,9.9,NW,NW,AVERAGE,6.5,325
2022,3,14,6,26,1.1,0.7,11.8,0.8,9.9,NW,NW,AVERAGE,6,312
2022,3,14,5,56,1.1,0.7,13.3,0.9,9.9,NW,NNW,AVERAGE,6.3,324
2022,3,14,5,26,1.1,0.8,12.5,0.8,9.9,NW,NNW,SWELL,6.8,322
2022,3,14,4,56,1.1,0.7,11.8,0.8,9.9,NW,NNW,AVERAGE,6.4,314
2022,3,14,4,26,1.3,0.9,12.5,0.9,9.9,NW,NNW,SWELL,6.6,315
2022,3,14,3,56,1.2,0.8,11.8,0.9,9.9,NW,NW,AVERAGE,6.1,317
2022,3,14,3,26,1.2,0.8,12.5,0.8,9.1,NW,N,SWELL,6.4,312
2022,3,14,2,56,1.2,0.8,11.1,0.9,9.9,NW,NW,AVERAGE,6.1,318
2022,3,14,2,26,1.3,0.9,12.5,0.9,9.9,NW,NNW,SWELL,6.5,322
2022,3,14,1,56,1.2,0.8,12.5,0.9,9.9,NW,NW,AVERAGE,5.9,319
2022,3,14,1,26,1.3,0.9,13.3,0.9,9.9,NW,NNW,SWELL,6.2,307
2022,3,14,0,56,1.2,0.8,13.3,0.9,9.9,NW,NW,AVERAGE,5.9,321
2022,3,14,0,26,1.4,1,12.5,1,9.9,NW,NW,SWELL,6.3,310
2022,3,13,23,56,1.4,1,13.3,0.9,9.9,NW,NNW,SWELL,6.5,321
2022,3,13,23,26,1.3,0.9,12.5,0.9,9.1,NW,N,SWELL,6.6,311
2022,3,13,22,56,1.3,1,13.3,0.9,9.9,NW,NNW,SWELL,7.1,310
2022,3,13,22,26,1.2,0.8,12.5,0.9,9.9,NW,NW,AVERAGE,6.6,324
2022,3,13,21,56,1.3,1,13.3,0.9,9.9,NW,NW,SWELL,7.3,311
2022,3,13,21,26,1.2,0.9,12.5,0.8,9.1,NW,NNE,SWELL,7.2,322
2022,3,13,20,56,1.3,1,13.3,0.8,9.1,NW,N,SWELL,7.4,321
2022,3,13,20,26,1.3,1,12.5,0.9,9.9,NW,NNW,SWELL,7.8,324
2022,3,13,19,56,1.2,0.9,12.5,0.8,9.9,NNW,NW,SWELL,7.7,329
2022,3,13,19,26,1.3,1.1,12.5,0.7,9.1,NW,N,SWELL,8.7,318
2022,3,13,18,56,1.1,0.9,13.3,0.7,9.9,NW,NNW,SWELL,8.3,319
2022,3,13,18,26,1.2,1,12.5,0.7,9.9,NW,NNW,SWELL,9.2,322
2022,3,13,17,56,1.2,1,13.3,0.7,9.9,NW,NW,SWELL,8.8,325
2022,3,13,17,26,1.2,0.9,12.5,0.7,9.9,NNW,NNW,SWELL,8.1,328
2022,3,13,16,56,1.3,1.1,13.3,0.7,9.9,NW,NNW,SWELL,8.8,321
2022,3,13,16,26,1.2,0.9,12.5,0.7,9.9,NNW,NNW,SWELL,8.2,331
2022,3,13,15,56,1.2,0.9,12.5,0.8,9.9,NNW,NNW,SWELL,7.9,329
2022,3,13,15,26,1.2,0.9,12.5,0.8,7.7,NW,NNE,SWELL,7.6,322
2022,3,13,14,56,1.3,1,13.3,0.8,8.3,NW,NNE,SWELL,7.8,319
2022,3,13,14,26,1.3,1,13.3,0.8,9.1,NW,NNW,SWELL,7.5,319
2022,3,13,13,56,1.2,0.8,12.5,0.8,9.9,NW,NW,SWELL,6.9,311
2022,3,13,13,26,1.3,1,12.5,0.9,9.9,NW,NNW,SWELL,7.2,318
2022,3,13,12,56,1.2,0.9,12.5,0.8,9.1,NW,N,SWELL,6.8,315
2022,3,13,12,26,1.2,0.9,12.5,0.8,9.9,NW,NW,SWELL,7.5,319
2022,3,13,11,56,1.2,0.8,13.3,0.8,9.9,NW,NNW,SWELL,7.2,318
2022,3,13,11,26,1.2,0.9,13.3,0.8,9.9,NW,NW,SWELL,7.5,311
2022,3,13,10,56,1.3,1,13.3,0.8,9.9,NW,NNW,SWELL,7.8,317
2022,3,13,10,26,1.2,0.9,13.3,0.8,9.1,NW,N,SWELL,7.4,314
