#YY,MM,DD,hh,mm,WDIR,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2022,3,10,17,30,330,0.5,1,MM,MM,MM,MM,1019.1,23.3,25.1,MM,MM,MM,MM
2022,3,10,17,24,320,1,1,MM,MM,MM,MM,1019,23.2,25,MM,MM,MM,MM
2022,3,10,17,18,MM,0,0.5,MM,MM,MM,MM,1019,23.5,25,MM,MM,MM,MM
2022,3,10,17,12,MM,0,1,MM,MM,MM,MM,1018.9,23.3,25,MM,MM,MM,MM
2022,3,10,17,6,130,0.5,1,MM,MM,MM,MM,1018.8,23.1,25,MM,MM,MM,MM
2022,3,10,17,0,290,0.5,1,MM,MM,MM,MM,1018.7,23.2,25.1,MM,MM,1.4,MM
2022,3,10,16,54,MM,0,0,MM,MM,MM,MM,1018.7,22.9,25,MM,MM,MM,MM
2022,3,10,16,48,MM,0,0.5,MM,MM,MM,MM,1018.7,23,25,MM,MM,MM,MM
2022,3,10,16,42,90,0.5,0.5,MM,MM,MM,MM,1018.6,22.9,25,MM,MM,MM,MM
2022,3,10,16,36,MM,0,1,MM,MM,MM,MM,1018.5,23.1,25,MM,MM,MM,MM
2022,3,10,16,30,330,0.5,1,MM,MM,MM,MM,1018.5,23,25.1,MM,MM,MM,MM
2022,3,10,16,24,MM,0,1,MM,MM,MM,MM,1018.4,23.1,25,MM,MM,MM,MM
2022,3,10,16,18,30,0.5,1,MM,MM,MM,MM,1018.4,23,25.1,MM,MM,MM,MM
2022,3,10,16,12,MM,0,0.5,MM,MM,MM,MM,1018.3,23,25,MM,MM,MM,MM
2022,3,10,16,6,MM,0,0.5,MM,MM,MM,MM,1018.2,23,25,MM,MM,MM,MM
2022,3,10,16,0,MM,0,0.5,MM,MM,MM,MM,1018.1,23,25.1,MM,MM,0,MM
2022,3,10,15,54,120,1,1,MM,MM,MM,MM,1018.1,22.9,25.1,MM,MM,MM,MM
2022,3,10,15,48,MM,MM,MM,MM,MM,MM,MM,MM,23,25.1,MM,MM,MM,MM
2022,3,10,15,42,MM,MM,MM,MM,MM,MM,MM,MM,23,25.1,MM,MM,MM,MM
2022,3,10,15,36,MM,MM,MM,MM,MM,MM,MM,MM,22.8,25.1,MM,MM,MM,MM
2022,3,10,15,30,70,0.5,0.5,MM,MM,MM,MM,1017.8,22.8,25.1,MM,MM,MM,MM
2022,3,10,15,24,MM,0,1,MM,MM,MM,MM,1017.7,22.8,25.1,MM,MM,MM,MM
2022,3,10,15,18,MM,0,0.5,MM,MM,MM,MM,1017.7,22.9,25,MM,MM,MM,MM
2022,3,10,15,12,MM,0,0.5,MM,MM,MM,MM,1017.7,22.7,25,MM,MM,MM,MM
2022,3,10,15,6,MM,0,1,MM,MM,MM,MM,1017.6,22.7,25.1,MM,MM,MM,MM
