year,event,round,heat,name,scores
2010,Billabong Pipe Masters,Round 2,Heat 1 ,John John Florence,"[1.17, 5.83, 4.17, 2.33, 1.47]"
2010,Billabong Pipe Masters,Round 2,Heat 1 ,Dean Morrison,"[0.53, 0.47, 0.3, 0.33, 0.73, 1.4, 1.63]"
2010,Billabong Pipe Masters,Round 2,Heat 2 ,Jeremy Flores,"[0.93, 2.33, 0.93, 0.27, 1.17, 0.67, 2.23, 6.67, 5.03]"
2010,Billabong Pipe Masters,Round 2,Heat 2 ,Ian Walsh,"[2.33, 0.57, 0.5, 1.23, 0.77, 5.33, 2.6, 4.5]"
2010,Billabong Pipe Masters,Round 2,Heat 3 ,Jadson Andre,"[2.5, 0.7, 2.67, 1.2, 4.83, 0.73, 6.17, 0.73]"
2010,Billabong Pipe Masters,Round 2,Heat 3 ,Danny Fuller,"[0.3, 1.93, 0.4, 1.83, 0.63, 1.13, 0.53, 0.23, 1.4, 1.53]"
2010,Billabong Pipe Masters,Round 2,Heat 4 ,Dave Wassel,"[0.5, 1.3, 1.57, 0.67, 1.43, 3.83, 5.5, 2.93]"
2010,Billabong Pipe Masters,Round 2,Heat 4 ,Bobby Martinez,"[2.17, 2.6, 0.87, 1.6, 0.57, 2.8, 1.27, 0.5, 0.23, 0.6, 0.1]"
2010,Billabong Pipe Masters,Round 2,Heat 5 ,Taylor Knox,"[0.93, 0.6, 8.67, 4.0, 0.37, 2.17]"
2010,Billabong Pipe Masters,Round 2,Heat 5 ,Rob Machado,"[6.67, 3.67, 1.27, 1.9, 3.9]"
2010,Billabong Pipe Masters,Round 2,Heat 6 ,Joel Parkinson,"[0.5, 5.33, 3.1, 0.37, 1.33, 3.33, 1.53, 5.5, 3.93]"
2010,Billabong Pipe Masters,Round 2,Heat 6 ,Heitor Alves,"[0.9, 0.17, 3.67, 0.93, 0.23, 0.63, 2.03, 0.67, 0.43, 2.17, 1.27, 1.07, 1.03]"
2010,Billabong Pipe Masters,Round 2,Heat 7 ,Freddy Patacchia Jr.,"[1.17, 1.13, 0.3, 0.87, 6.67, 2.77, 6.73, 1.27, 0.83]"
