year,event,round,heat,name,scores
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 1 ,Julian Wilson,[]
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 1 ,Ethan Ewing,[]
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 1 ,Miguel Tudela,[]
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 2 Watch replay,Ryan Callinan,"[2.5, 5.83, 7.0, 5.17]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 2 Watch replay,Sebastian Zietz,"[3.07, 3.57]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 2 Watch replay,Alex Ribeiro,"[0.5, 0.43, 0.7]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 3 Watch replay,Mikey Wright,"[0.47, 3.1, 0.8, 5.17, 4.67]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 3 Watch replay,Wade Carmichael,"[0.23, 2.33, 0.8, 3.03]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 3 Watch replay,Adriano de Souza,"[0.5, 0.77]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 4 Watch replay,Peterson Crisanto,"[1.87, 0.6, 0.37, 3.0]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 4 Watch replay,Leonardo Fioravanti,"[3.83, 0.67, 0.67, 0.67, 0.3]"
2021,Billabong Pipe Masters presented by Hydro Flask,Elimination Round,Heat 4 Watch replay,Conner Coffin,"[0.93, 0.3, 2.0, 0.6]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[0.4, 2.67, 5.43, 4.87, 0.53]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 1 Watch replay,Morgan Cibilic,"[4.67, 0.37]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 1 Watch replay,Peterson Crisanto,"[0.4, 0.2, 0.23, 0.5]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 2 Watch replay,Yago Dora,"[0.17, 0.57, 1.83, 2.23, 4.67, 0.2]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 2 Watch replay,Kolohe Andino,"[0.2, 2.83, 0.2, 0.23, 1.07, 3.67]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 2 Watch replay,Leonardo Fioravanti,"[0.93, 1.27]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 3 Watch replay,Filipe Toledo,"[0.5, 6.33, 0.43, 1.3]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 3 Watch replay,Frederico Morais,"[5.0, 0.87, 2.5]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 3 Watch replay,Mikey Wright,"[5.67, 0.7, 1.23]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[4.5, 7.5, 0.17]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 4 Watch replay,Jadson Andre,"[0.83, 0.53, 0.2, 0.6, 0.83, 0.67, 2.67, 0.27, 0.33, 0.6, 2.0, 1.67]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 4 Watch replay,Sebastian Zietz,"[0.9, 3.6]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 5 Watch replay,Joshua Moniz,"[2.5, 1.5, 6.33, 0.83, 2.77, 1.07]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 5 Watch replay,Gabriel Medina,"[4.33, 1.27]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 5 Watch replay,Adriano de Souza,"[1.13, 1.1, 3.9, 0.67, 1.67]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 6 Watch replay,Italo Ferreira,"[0.6, 0.93, 1.07, 5.5, 5.03]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 6 Watch replay,Matthew McGillivray,"[6.83, 2.77, 0.13, 3.33, 0.47, 1.03]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 6 Watch replay,Miguel Tudela,"[0.23, 0.7, 1.47, 1.03, 1.97]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 7 Watch replay,John John Florence,"[1.93, 7.67, 6.33, 6.57, 0.8]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 7 Watch replay,Deivid Silva,"[2.77, 3.5, 1.9, 5.93, 0.43, 1.17, 5.27]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 7 Watch replay,Conner Coffin,"[0.67, 0.1, 6.6, 3.77]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 8 Watch replay,Kelly Slater,"[1.0, 3.5, 0.9, 7.33, 3.1, 2.57]"
2021,Billabong Pipe Masters presented by Hydro Flask,Seeding Round,Heat 8 Watch replay,Connor O'Leary,"[0.33, 5.33, 0.27, 1.93, 0.7, 2.13]"
