year,event,round,heat,name,scores
2009,Billabong Pro J-Bay,Round 2,Heat 1 ,C.J. Hobgood,"[2.0, 0.37, 3.83, 5.5, 4.67, 3.4, 7.67, 1.77]"
2009,Billabong Pro J-Bay,Round 2,Heat 1 ,Mikael Picon,"[6.0, 2.13, 2.37, 2.93, 5.43, 7.1]"
2009,Billabong Pro J-Bay,Round 2,Heat 2 ,Kai Otton,"[1.33, 4.0, 4.4, 8.5, 3.73, 2.93]"
2009,Billabong Pro J-Bay,Round 2,Heat 2 ,Freddy Patacchia Jr.,"[5.33, 1.07, 5.9, 1.57]"
2009,Billabong Pro J-Bay,Round 2,Heat 3 ,Dean Morrison,"[7.33, 1.33, 3.83, 5.33, 6.5]"
2009,Billabong Pro J-Bay,Round 2,Heat 3 ,Jeremy Flores,"[5.33, 2.33, 1.0, 3.17, 6.0, 7.33, 1.43]"
2009,Billabong Pro J-Bay,Round 2,Heat 4 ,Nathaniel Curran,"[3.17, 2.33, 5.17, 2.3, 6.33]"
2009,Billabong Pro J-Bay,Round 2,Heat 4 ,Adriano de Souza,"[4.0, 3.87, 1.0, 1.97, 4.43, 3.4]"
2009,Billabong Pro J-Bay,Round 2,Heat 5 ,Bobby Martinez,"[8.83, 7.0, 6.5]"
2009,Billabong Pro J-Bay,Round 2,Heat 5 ,Roy Powers,"[1.5, 4.5, 0.93, 3.0]"
2009,Billabong Pro J-Bay,Round 2,Heat 6 ,Ben Dunn,"[5.83, 6.5, 3.67, 1.0, 9.23]"
2009,Billabong Pro J-Bay,Round 2,Heat 6 ,Tom Whitaker,"[2.5, 2.7, 0.5]"
2009,Billabong Pro J-Bay,Round 2,Heat 7 ,Kieren Perrow,"[6.33, 6.0, 6.77, 3.83, 5.77]"
2009,Billabong Pro J-Bay,Round 2,Heat 7 ,Kekoa Bacalso,"[4.83, 5.57, 4.57, 5.3]"
2009,Billabong Pro J-Bay,Round 2,Heat 8 ,Joel Parkinson,"[9.4, 6.83, 7.5]"
2009,Billabong Pro J-Bay,Round 2,Heat 8 ,Heath Joske,"[1.83, 1.0, 5.83, 2.0, 1.07, 1.2]"
2009,Billabong Pro J-Bay,Round 2,Heat 9 ,Sean Holmes,"[1.23, 8.67, 9.93, 1.0, 4.93]"
2009,Billabong Pro J-Bay,Round 2,Heat 9 ,Taj Burrow,"[1.9, 4.0, 5.33, 3.67, 1.77]"
2009,Billabong Pro J-Bay,Round 2,Heat 10 ,Mick Campbell,"[1.0, 6.33, 1.67, 2.07, 2.33, 7.17, 1.37]"
2009,Billabong Pro J-Bay,Round 2,Heat 10 ,Tim Reyes,"[2.93, 4.67, 4.67, 6.5]"
2009,Billabong Pro J-Bay,Round 2,Heat 11 ,Michel Bourez,"[6.5, 8.27, 10.0, 2.23, 4.93]"
2009,Billabong Pro J-Bay,Round 2,Heat 11 ,Mick Fanning,"[8.17, 2.0, 9.0, 0.5, 5.33]"
2009,Billabong Pro J-Bay,Round 2,Heat 12 ,Dane Reynolds,"[7.83, 1.07, 4.0, 1.8, 10.0, 4.67, 7.43]"
2009,Billabong Pro J-Bay,Round 2,Heat 12 ,Jordy Smith,"[8.5, 2.07, 0.5, 2.13, 1.3, 2.57, 5.4]"
2009,Billabong Pro J-Bay,Round 2,Heat 13 ,Kelly Slater,"[1.17, 9.0, 2.17, 9.27, 1.63, 5.5, 9.57, 9.23]"
2009,Billabong Pro J-Bay,Round 2,Heat 13 ,Nic Muscroft,"[1.4, 0.77, 0.23, 3.67, 5.67, 2.07]"
2009,Billabong Pro J-Bay,Round 2,Heat 14 ,Taylor Knox,"[0.83, 1.6, 9.6, 0.63, 4.0, 6.83]"
2009,Billabong Pro J-Bay,Round 2,Heat 14 ,Chris Ward,"[0.73, 0.93, 0.93, 7.83, 4.83, 1.07]"
2009,Billabong Pro J-Bay,Round 2,Heat 15 ,Bede Durbidge,"[9.0, 8.5, 1.13, 4.0, 0.33]"
2009,Billabong Pro J-Bay,Round 2,Heat 15 ,Greg Emslie,"[3.83, 9.17, 2.17, 1.07, 1.5, 0.2, 6.83]"
2009,Billabong Pro J-Bay,Round 2,Heat 16 ,Damien Hobgood,"[3.0, 5.5, 5.17, 6.33]"
