year,event,round,heat,name,scores
2017,Billabong Pro Tahiti,Round 2,Heat 1 Watch replay,Jordy Smith,"[1.67, 5.7, 2.0, 5.7]"
2017,Billabong Pro Tahiti,Round 2,Heat 1 Watch replay,Taumata Puhetini,"[2.0, 5.33, 0.2, 2.5, 0.27, 2.7, 0.2, 0.63, 4.27]"
2017,Billabong Pro Tahiti,Round 2,Heat 2 Watch replay,Owen Wright,"[1.23, 1.4, 0.87, 4.2, 0.23, 6.83, 6.27]"
2017,Billabong Pro Tahiti,Round 2,Heat 2 Watch replay,Aritz Aranburu,"[3.5, 1.17, 0.83]"
2017,Billabong Pro Tahiti,Round 2,Heat 3 Watch replay,Ethan Ewing,"[0.77, 1.43, 1.53, 4.23]"
2017,Billabong Pro Tahiti,Round 2,Heat 3 Watch replay,Filipe Toledo,"[1.57, 1.83, 4.73, 0.2]"
2017,Billabong Pro Tahiti,Round 2,Heat 4 Watch replay,Mick Fanning,"[5.5, 1.77, 0.8, 5.5]"
2017,Billabong Pro Tahiti,Round 2,Heat 4 Watch replay,Josh Kerr,"[2.83, 1.93, 0.63, 5.33]"
2017,Billabong Pro Tahiti,Round 2,Heat 5 Watch replay,Nat Young,"[0.2, 1.33, 4.07, 1.13, 0.8]"
2017,Billabong Pro Tahiti,Round 2,Heat 5 Watch replay,Frederico Morais,"[0.5, 4.5, 4.43, 3.17, 2.5, 0.9, 1.23]"
2017,Billabong Pro Tahiti,Round 2,Heat 6 Watch replay,Michel Bourez,"[6.67, 5.17, 7.07, 1.33]"
2017,Billabong Pro Tahiti,Round 2,Heat 6 Watch replay,Jadson Andre,"[0.43, 6.0, 5.07, 0.4]"
2017,Billabong Pro Tahiti,Round 2,Heat 7 Watch replay,Sebastian Zietz,[4.17]
2017,Billabong Pro Tahiti,Round 2,Heat 7 Watch replay,Miguel Pupo,"[1.5, 1.17]"
2017,Billabong Pro Tahiti,Round 2,Heat 8 Watch replay,Kanoa Igarashi,[1.93]
2017,Billabong Pro Tahiti,Round 2,Heat 8 Watch replay,Caio Ibelli,"[3.5, 0.3, 0.2, 2.1]"
2017,Billabong Pro Tahiti,Round 2,Heat 9 Watch replay,Conner Coffin,"[3.33, 0.6, 4.83, 5.23]"
2017,Billabong Pro Tahiti,Round 2,Heat 9 Watch replay,Stuart Kennedy,"[4.93, 1.53, 2.17, 0.17, 1.5]"
2017,Billabong Pro Tahiti,Round 2,Heat 10 Watch replay,Jeremy Flores,"[1.4, 7.73]"
2017,Billabong Pro Tahiti,Round 2,Heat 10 Watch replay,Leonardo Fioravanti,"[1.77, 6.53, 1.5, 0.5, 7.37]"
2017,Billabong Pro Tahiti,Round 2,Heat 11 Watch replay,Bede Durbidge,[3.5]
2017,Billabong Pro Tahiti,Round 2,Heat 11 Watch replay,Jack Freestone,"[4.5, 2.77]"
2017,Billabong Pro Tahiti,Round 2,Heat 12 Watch replay,Wiggolly Dantas,"[5.9, 0.23, 5.17]"
2017,Billabong Pro Tahiti,Round 2,Heat 12 Watch replay,Ezekiel Lau,"[0.93, 0.87, 2.33, 5.7, 1.0]"
2017,Billabong Pro Tahiti,Round 1,Heat 1 Watch replay,Joel Parkinson,"[4.93, 3.17, 5.07, 0.5, 0.27]"
