year,event,round,heat,name,scores
2013,Billabong Pro Teahupoo,Round 2,Heat 1 ,Mick Fanning,"[0.33, 4.67, 1.0, 5.93, 6.67, 9.0, 7.37, 1.1]"
2013,Billabong Pro Teahupoo,Round 2,Heat 1 ,Jocelyn Poulou,"[3.0, 0.73, 3.9, 1.93, 4.7, 2.2, 3.6, 1.23, 5.8]"
2013,Billabong Pro Teahupoo,Round 2,Heat 2 ,Ian Walsh,"[1.33, 0.43, 1.93, 5.1, 4.97, 6.17, 0.37, 6.23, 2.5]"
2013,Billabong Pro Teahupoo,Round 2,Heat 2 ,Taj Burrow,"[5.17, 0.63, 2.83, 1.43, 0.5, 0.93, 0.3, 0.93]"
2013,Billabong Pro Teahupoo,Round 2,Heat 3 ,Anthony Walsh,"[4.33, 1.87, 1.17, 8.5, 6.67, 6.93]"
2013,Billabong Pro Teahupoo,Round 2,Heat 3 ,Nat Young,"[1.5, 8.0, 4.93, 1.17, 2.1, 5.0, 4.0, 4.5, 5.1]"
2013,Billabong Pro Teahupoo,Round 2,Heat 4 ,Alain Riou,"[0.2, 5.93, 0.5, 3.33, 6.1, 1.07]"
2013,Billabong Pro Teahupoo,Round 2,Heat 4 ,Adriano de Souza,"[3.17, 1.0, 2.5, 1.03, 5.33, 1.27, 5.67, 0.57, 6.1]"
2013,Billabong Pro Teahupoo,Round 2,Heat 5 ,Nathan Hedge,"[6.33, 0.5, 1.17, 4.5, 9.0, 3.5]"
2013,Billabong Pro Teahupoo,Round 2,Heat 5 ,Michel Bourez,"[1.67, 7.17, 7.23, 7.53, 5.0]"
2013,Billabong Pro Teahupoo,Round 2,Heat 6 ,Josh Kerr,"[2.33, 9.0, 5.0, 0.2, 6.67, 5.83, 2.07, 8.17]"
2013,Billabong Pro Teahupoo,Round 2,Heat 6 ,Patrick Gudauskas,"[5.67, 3.83, 7.5]"
2013,Billabong Pro Teahupoo,Round 2,Heat 7 ,Julian Wilson,"[7.0, 5.67, 7.77]"
2013,Billabong Pro Teahupoo,Round 2,Heat 7 ,Alejo Muniz,"[2.67, 1.1, 4.83, 3.77]"
2013,Billabong Pro Teahupoo,Round 2,Heat 8 ,Adam Melling,"[5.77, 0.37, 8.33]"
2013,Billabong Pro Teahupoo,Round 2,Heat 8 ,Sebastian Zietz,"[1.0, 5.83, 8.27, 1.67, 1.83, 0.43, 0.67]"
2013,Billabong Pro Teahupoo,Round 2,Heat 9 ,Miguel Pupo,"[1.83, 7.17, 6.5, 7.7, 0.2, 7.6]"
2013,Billabong Pro Teahupoo,Round 2,Heat 9 ,Filipe Toledo,"[3.5, 1.57, 3.77, 7.5, 7.47, 0.77]"
2013,Billabong Pro Teahupoo,Round 2,Heat 10 ,Jeremy Flores,"[1.07, 9.1, 6.33, 10.0, 2.23, 8.33, 9.33]"
2013,Billabong Pro Teahupoo,Round 2,Heat 10 ,Brett Simpson,"[8.33, 2.0, 0.93, 6.93, 0.23, 8.77]"
2013,Billabong Pro Teahupoo,Round 2,Heat 11 ,Kai Otton,"[1.17, 9.33, 6.6, 0.77, 1.57, 8.83, 1.83, 9.73, 2.0]"
2013,Billabong Pro Teahupoo,Round 2,Heat 11 ,Kolohe Andino,"[5.0, 7.5, 0.67, 6.33, 6.83, 1.83, 1.3]"
2013,Billabong Pro Teahupoo,Round 2,Heat 12 ,Adrian Buchan,"[1.5, 4.33, 0.23, 6.33, 7.0, 6.9]"
2013,Billabong Pro Teahupoo,Round 2,Heat 12 ,Travis Logie,"[0.77, 3.67, 1.47, 0.6, 6.83, 6.77]"
2013,Billabong Pro Teahupoo,Round 1,Heat 1 ,Bede Durbidge,"[5.67, 5.0, 4.0, 0.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 1 ,Patrick Gudauskas,"[5.23, 5.4, 1.03]"
2013,Billabong Pro Teahupoo,Round 1,Heat 1 ,Nat Young,"[1.4, 1.3, 1.73]"
2013,Billabong Pro Teahupoo,Round 1,Heat 2 ,Matt Wilkinson,"[0.63, 0.27, 3.33, 6.9, 8.17, 0.3]"
2013,Billabong Pro Teahupoo,Round 1,Heat 2 ,Taj Burrow,"[6.5, 0.43, 3.8, 2.1, 4.5, 6.1, 7.3, 2.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 2 ,Nathan Hedge,"[1.27, 3.33, 1.07, 4.5, 0.6, 4.43, 5.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 3 ,Jordy Smith,"[8.1, 6.83, 6.77, 2.0, 1.33]"
2013,Billabong Pro Teahupoo,Round 1,Heat 3 ,Alain Riou,"[0.23, 6.0, 5.33, 3.4, 0.2, 2.8]"
2013,Billabong Pro Teahupoo,Round 1,Heat 3 ,Travis Logie,"[1.83, 2.07, 1.5, 2.4, 4.17, 0.37]"
2013,Billabong Pro Teahupoo,Round 1,Heat 4 ,Joel Parkinson,"[7.83, 1.5, 0.87, 8.23, 1.27]"
2013,Billabong Pro Teahupoo,Round 1,Heat 4 ,Kolohe Andino,"[9.0, 0.23, 6.17, 5.07, 0.2, 1.83]"
2013,Billabong Pro Teahupoo,Round 1,Heat 4 ,Anthony Walsh,"[10.0, 4.83, 2.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 5 ,Kelly Slater,"[5.5, 2.77, 1.5, 2.43, 1.3, 8.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 5 ,Ian Walsh,"[7.0, 0.5, 6.83]"
2013,Billabong Pro Teahupoo,Round 1,Heat 5 ,Brett Simpson,"[1.5, 1.93, 7.5, 0.73, 1.53]"
2013,Billabong Pro Teahupoo,Round 1,Heat 6 ,Freddy Patacchia Jr.,"[5.33, 8.17, 0.2, 7.6, 5.43, 6.17, 1.77]"
2013,Billabong Pro Teahupoo,Round 1,Heat 6 ,Mick Fanning,"[6.0, 4.6, 3.5]"
2013,Billabong Pro Teahupoo,Round 1,Heat 6 ,Jocelyn Poulou,"[0.3, 0.33, 1.13, 4.43, 4.37]"
2013,Billabong Pro Teahupoo,Round 1,Heat 7 ,Kieren Perrow,"[1.17, 0.83, 0.23, 0.47, 7.67, 8.93]"
2013,Billabong Pro Teahupoo,Round 1,Heat 7 ,Adrian Buchan,"[6.67, 1.17, 1.2, 3.93, 0.3]"
2013,Billabong Pro Teahupoo,Round 1,Heat 7 ,Adriano de Souza,"[4.83, 5.17, 3.27, 4.0]"
2013,Billabong Pro Teahupoo,Round 1,Heat 8 ,Yadin Nicol,"[1.67, 2.83, 5.0, 4.4, 1.1, 3.87, 9.07]"
2013,Billabong Pro Teahupoo,Round 1,Heat 8 ,Michel Bourez,"[2.0, 2.43, 0.67, 0.43, 3.83, 5.23, 4.43, 1.07, 7.9]"
2013,Billabong Pro Teahupoo,Round 1,Heat 8 ,Kai Otton,"[0.3, 7.67, 5.0, 2.73, 1.43]"
2013,Billabong Pro Teahupoo,Round 1,Heat 9 ,Gabriel Medina,"[1.5, 4.83, 7.33, 1.0, 3.33]"
2013,Billabong Pro Teahupoo,Round 1,Heat 9 ,Alejo Muniz,"[6.0, 4.83, 5.6, 5.87]"
2013,Billabong Pro Teahupoo,Round 1,Heat 9 ,Josh Kerr,"[0.2, 4.6, 1.07, 2.0, 1.23, 6.77]"
2013,Billabong Pro Teahupoo,Round 1,Heat 10 ,C.J. Hobgood,"[8.17, 1.5, 5.33, 1.63, 5.33, 2.3]"
2013,Billabong Pro Teahupoo,Round 1,Heat 10 ,Jeremy Flores,"[1.33, 6.67, 5.83, 0.83, 6.6]"
2013,Billabong Pro Teahupoo,Round 1,Heat 10 ,Adam Melling,"[2.67, 0.83, 2.17, 3.33, 6.27, 4.83]"
2013,Billabong Pro Teahupoo,Round 1,Heat 11 ,John John Florence,"[9.07, 7.5, 1.63, 1.8, 1.1]"
2013,Billabong Pro Teahupoo,Round 1,Heat 11 ,Julian Wilson,"[0.73, 4.67, 6.5, 1.13]"
2013,Billabong Pro Teahupoo,Round 1,Heat 11 ,Miguel Pupo,"[0.8, 1.37, 0.57, 4.83]"
2013,Billabong Pro Teahupoo,Round 1,Heat 12 ,Damien Hobgood,"[1.0, 1.53, 0.7, 5.33, 7.83]"
2013,Billabong Pro Teahupoo,Round 1,Heat 12 ,Filipe Toledo,"[0.5, 2.83, 1.17, 2.4, 4.1, 0.27]"
2013,Billabong Pro Teahupoo,Round 1,Heat 12 ,Sebastian Zietz,"[1.5, 1.1, 0.37, 0.37, 0.23, 0.8, 0.33]"
2013,Billabong Pro Teahupoo,Round 3,Heat 1 ,Jordy Smith,"[2.17, 8.67, 8.0, 9.23, 7.77, 0.83]"
2013,Billabong Pro Teahupoo,Round 3,Heat 1 ,Nathan Hedge,"[8.83, 1.77, 6.83, 1.87, 1.7, 8.43, 8.87]"
2013,Billabong Pro Teahupoo,Round 3,Heat 2 ,Jeremy Flores,"[9.77, 8.1, 4.83]"
2013,Billabong Pro Teahupoo,Round 3,Heat 2 ,Damien Hobgood,"[2.17, 7.5, 7.53, 8.07, 7.27, 2.27]"
2013,Billabong Pro Teahupoo,Round 3,Heat 3 ,Josh Kerr,"[4.33, 1.27, 1.4, 9.33, 6.67, 2.0, 7.1, 7.63, 7.83, 9.2]"
2013,Billabong Pro Teahupoo,Round 3,Heat 3 ,Kieren Perrow,"[7.0, 0.2, 9.63, 8.1, 8.3, 0.33, 2.17]"
2013,Billabong Pro Teahupoo,Round 3,Heat 4 ,John John Florence,"[9.1, 2.67, 1.3, 7.67, 10.0]"
2013,Billabong Pro Teahupoo,Round 3,Heat 4 ,Miguel Pupo,"[8.83, 0.2, 1.73, 2.3]"
2013,Billabong Pro Teahupoo,Round 3,Heat 5 ,Adrian Buchan,"[5.5, 4.83, 8.7, 8.33, 4.57, 3.17]"
2013,Billabong Pro Teahupoo,Round 3,Heat 5 ,Bede Durbidge,"[8.07, 8.2]"
2013,Billabong Pro Teahupoo,Round 3,Heat 6 ,Mick Fanning,"[2.07, 7.83, 2.87, 7.67, 10.0]"
2013,Billabong Pro Teahupoo,Round 3,Heat 6 ,Ian Walsh,"[7.5, 1.0, 9.3, 1.93, 8.3, 1.0]"
