year,event,round,heat,name,scores
2014,Billabong Rio Pro,Round 2,Heat 1 ,David do Carmo,"[4.83, 2.67, 7.0, 7.93]"
2014,Billabong Rio Pro,Round 2,Heat 1 ,Mick Fanning,"[4.67, 5.83, 5.3, 2.0, 4.07, 1.87, 3.93, 5.13, 2.13, 5.43]"
2014,Billabong Rio Pro,Round 2,Heat 2 ,Kelly Slater,"[6.67, 0.2, 4.63, 1.83, 3.87, 1.07, 5.17, 0.37]"
2014,Billabong Rio Pro,Round 2,Heat 2 ,Peterson Crisanto,"[2.77, 0.5, 4.0, 0.43, 0.87, 0.47, 0.23, 1.37]"
2014,Billabong Rio Pro,Round 2,Heat 3 ,Adriano de Souza,"[4.83, 4.0, 2.0, 6.93, 5.73, 0.43, 0.6]"
2014,Billabong Rio Pro,Round 2,Heat 3 ,Glenn Hall,"[5.33, 4.23, 1.0, 0.5, 2.33, 0.4, 6.33]"
2014,Billabong Rio Pro,Round 2,Heat 4 ,Julian Wilson,"[2.33, 4.07, 1.0, 6.43, 8.6, 1.0, 1.2, 0.77, 0.37, 0.57, 0.63, 2.3, 6.77]"
2014,Billabong Rio Pro,Round 2,Heat 4 ,Brett Simpson,"[3.67, 1.87, 2.63, 5.5, 3.57, 5.93, 0.3, 6.4, 1.43, 2.67, 8.73]"
2014,Billabong Rio Pro,Round 2,Heat 5 ,Michel Bourez,"[5.5, 6.33, 2.83, 6.13, 6.93, 0.2, 0.87, 0.5]"
2014,Billabong Rio Pro,Round 2,Heat 5 ,Raoni Monteiro,"[5.67, 1.9, 5.07, 1.07, 5.73, 3.73, 2.5]"
2014,Billabong Rio Pro,Round 2,Heat 6 ,Dion Atkinson,"[1.33, 0.5, 4.33, 0.43, 1.9, 3.77, 3.57, 6.23, 5.8, 0.67, 6.33, 5.13]"
2014,Billabong Rio Pro,Round 2,Heat 6 ,C.J. Hobgood,"[3.33, 1.0, 5.5, 1.17, 1.1, 5.6, 2.23, 0.2, 5.1, 6.1, 6.2, 0.23, 2.63]"
2014,Billabong Rio Pro,Round 2,Heat 7 ,Travis Logie,"[1.0, 6.67, 2.93, 4.93, 0.2, 6.0, 2.2, 2.6]"
2014,Billabong Rio Pro,Round 2,Heat 7 ,Owen Wright,"[0.93, 4.5, 5.17, 1.2, 3.17, 2.7, 1.23, 0.23, 6.0, 2.17]"
2014,Billabong Rio Pro,Round 2,Heat 8 ,Aritz Aranburu,"[0.43, 6.83, 5.33, 1.93, 2.93, 0.3, 7.23, 6.33]"
2014,Billabong Rio Pro,Round 2,Heat 8 ,Miguel Pupo,"[0.2, 4.17, 2.6, 0.3, 1.17, 0.7, 0.33, 5.43, 1.0, 2.7, 1.5, 0.2, 0.23, 0.43]"
2014,Billabong Rio Pro,Round 2,Heat 9 ,Alejo Muniz,"[0.5, 7.5, 6.33, 0.2, 2.9, 3.3, 1.0, 1.13, 0.3, 5.17, 1.57]"
2014,Billabong Rio Pro,Round 2,Heat 9 ,Freddy Patacchia Jr.,"[3.33, 0.43, 3.93, 0.23, 3.17, 6.93, 4.4, 6.9, 0.4, 1.83, 2.17, 0.57]"
