year,event,round,heat,name,scores
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 1 Watch replay,Conner Coffin,"[5.67, 4.9, 7.33, 6.67]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 1 Watch replay,Alex Ribeiro,"[4.17, 3.43, 5.77]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 1 Watch replay,Cyrus Cox,"[2.5, 3.9, 0.73, 0.93, 2.97, 2.73, 0.57]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 2 Watch replay,Deivid Silva,"[4.17, 6.33, 2.8, 6.7, 5.4]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 2 Watch replay,Frederico Morais,"[2.67, 0.83, 4.73, 6.73, 1.83, 0.5, 5.7]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 2 Watch replay,Reef Heazlewood,"[1.0, 3.5, 5.7, 5.07]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 3 Watch replay,Jack Robinson,"[8.17, 4.57, 6.0, 3.1, 4.17]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 3 Watch replay,Yago Dora,"[3.6, 8.5, 4.5, 4.43]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 3 Watch replay,Mikey Wright,"[4.0, 4.83, 5.63, 2.07, 6.43]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 4 Watch replay,Morgan Cibilic,"[6.67, 8.07, 3.77]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 4 Watch replay,Connor O'Leary,"[4.33, 5.5, 8.93]"
2021,Boost Mobile Margaret River Pro presented by Corona,Elimination Round,Heat 4 Watch replay,Jack Freestone,"[1.0, 6.83, 0.5, 4.13, 4.33]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 1 Watch replay,Seth Moniz,"[0.77, 0.87, 5.5, 5.93, 0.57]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[6.0, 4.07, 0.77, 4.83]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 1 Watch replay,Alex Ribeiro,"[3.67, 0.3, 2.33]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 2 Watch replay,Filipe Toledo,"[5.67, 5.83]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 2 Watch replay,Peterson Crisanto,"[6.33, 3.77]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 2 Watch replay,Connor O'Leary,"[4.33, 4.03]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 3 Watch replay,John John Florence,"[3.17, 5.1, 1.17, 10.0, 7.5, 1.93]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 3 Watch replay,Michel Bourez,"[0.2, 6.0, 3.07, 5.5, 0.87, 3.73, 6.0]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 3 Watch replay,Mikey Wright,"[1.5, 3.27, 4.23, 1.13]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[4.0, 3.5, 7.17, 4.1]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 4 Watch replay,Jadson Andre,"[5.33, 0.27, 2.5, 0.6]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 4 Watch replay,Reef Heazlewood,"[1.5, 5.0, 0.23, 2.1]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 5 Watch replay,Jacob Willcox,"[5.5, 0.53, 0.9, 6.97, 0.5, 8.33, 0.73]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 5 Watch replay,Italo Ferreira,"[0.27, 0.4, 7.83, 4.17, 5.93, 5.67]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 5 Watch replay,Jack Robinson,"[0.83, 3.0, 7.0, 4.53, 6.43, 5.4]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 6 Watch replay,Gabriel Medina,"[4.0, 6.5, 7.43, 1.03]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 6 Watch replay,Adriano de Souza,"[0.9, 5.5, 0.2, 3.5, 2.83, 4.57]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 6 Watch replay,Cyrus Cox,"[1.93, 0.43, 1.3, 2.67, 4.5, 1.47]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 7 Watch replay,Matthew McGillivray,"[1.5, 6.1, 0.93, 8.33, 9.0]"
2021,Boost Mobile Margaret River Pro presented by Corona,Seeding Round,Heat 7 Watch replay,Wade Carmichael,"[5.67, 1.87, 3.93, 3.07]"
