year,event,round,heat,name,scores
2008,Boost Mobile Pro,Round 2,Heat 1 ,Taj Burrow,"[6.33, 6.83, 7.77, 9.83, 0.3, 8.67]"
2008,Boost Mobile Pro,Round 2,Heat 1 ,Shane Beschen,"[2.83, 4.5, 4.5, 1.0, 1.5, 0.83, 3.17]"
2008,Boost Mobile Pro,Round 2,Heat 2 ,Bede Durbidge,"[7.0, 3.5, 8.33]"
2008,Boost Mobile Pro,Round 2,Heat 2 ,Rob Machado,"[1.83, 4.33, 2.5, 5.83, 6.67, 1.87]"
2008,Boost Mobile Pro,Round 2,Heat 3 ,Yadin Nicol,"[7.67, 9.0, 2.5, 4.0]"
2008,Boost Mobile Pro,Round 2,Heat 3 ,Andy Irons,"[6.33, 1.17, 4.0, 0.5]"
2008,Boost Mobile Pro,Round 2,Heat 4 ,C.J. Hobgood,"[5.17, 8.5, 1.0, 0.83, 5.93, 3.27]"
2008,Boost Mobile Pro,Round 2,Heat 4 ,Ricky Basnett,"[3.17, 6.67, 5.67, 0.37, 4.5, 0.37]"
2008,Boost Mobile Pro,Round 2,Heat 5 ,Jeremy Flores,"[3.33, 7.67, 1.5, 5.0, 5.67, 0.53]"
2008,Boost Mobile Pro,Round 2,Heat 5 ,Jihad Khodr,"[4.33, 1.0, 6.33, 5.17]"
2008,Boost Mobile Pro,Round 2,Heat 6 ,Bruce Irons,"[7.67, 8.67, 1.0, 0.83, 0.57, 1.5]"
2008,Boost Mobile Pro,Round 2,Heat 6 ,Aritz Aranburu,"[0.3, 4.0, 7.77]"
2008,Boost Mobile Pro,Round 2,Heat 7 ,Travis Logie,"[7.5, 4.83, 7.33, 6.5, 6.43]"
2008,Boost Mobile Pro,Round 2,Heat 7 ,Adrian Buchan,"[3.0, 2.17, 1.0, 1.0, 1.13, 1.03, 4.83, 2.87]"
2008,Boost Mobile Pro,Round 2,Heat 8 ,Heitor Alves,"[1.0, 7.5, 7.5, 1.63, 8.93]"
2008,Boost Mobile Pro,Round 2,Heat 8 ,Freddy Patacchia Jr.,"[6.33, 2.17, 5.33, 1.0, 6.67]"
2008,Boost Mobile Pro,Round 2,Heat 9 ,Rodrigo Dornelles,"[5.67, 7.0, 0.93, 6.93, 8.17]"
2008,Boost Mobile Pro,Round 2,Heat 9 ,Dayyan Neve,"[0.5, 4.5, 7.83, 5.17, 1.93]"
2008,Boost Mobile Pro,Round 2,Heat 10 ,Luke Munro,"[6.83, 3.67, 8.83, 3.1, 7.5, 2.17, 4.6]"
2008,Boost Mobile Pro,Round 2,Heat 10 ,Tom Whitaker,"[4.5, 8.17, 6.17, 6.27, 3.83]"
