year,event,round,heat,name,scores
2019,Corona Bali Protected,Elimination Round,Heat 1 Watch replay,Kanoa Igarashi,"[6.33, 3.27, 1.07]"
2019,Corona Bali Protected,Elimination Round,Heat 1 Watch replay,Deivid Silva,"[1.43, 3.83, 5.17, 0.63, 2.33, 3.0, 0.3, 3.73, 5.5]"
2019,Corona Bali Protected,Elimination Round,Heat 1 Watch replay,Jacob Willcox,"[0.5, 5.0, 5.1, 0.77, 3.23, 4.97]"
2019,Corona Bali Protected,Elimination Round,Heat 2 Watch replay,Leonardo Fioravanti,"[3.7, 0.2, 4.1, 4.33]"
2019,Corona Bali Protected,Elimination Round,Heat 2 Watch replay,Willian Cardoso,"[2.67, 4.73, 0.5, 3.73, 4.4]"
2019,Corona Bali Protected,Elimination Round,Heat 2 Watch replay,Ezekiel Lau,"[5.5, 0.8, 4.07, 4.57, 0.2]"
2019,Corona Bali Protected,Elimination Round,Heat 3 Watch replay,Adrian Buchan,"[6.67, 0.57, 3.07]"
2019,Corona Bali Protected,Elimination Round,Heat 3 Watch replay,Seth Moniz,"[5.17, 0.77, 2.0]"
2019,Corona Bali Protected,Elimination Round,Heat 3 Watch replay,Soli Bailey,"[6.17, 5.23, 0.57, 4.33]"
2019,Corona Bali Protected,Elimination Round,Heat 4 Watch replay,Ryan Callinan,"[2.17, 1.77, 3.57, 1.93, 1.27, 4.67, 3.57, 2.33]"
2019,Corona Bali Protected,Elimination Round,Heat 4 Watch replay,Jesse Mendes,"[2.23, 4.23, 4.2, 1.3]"
2019,Corona Bali Protected,Elimination Round,Heat 4 Watch replay,Sebastian Zietz,"[3.67, 0.7, 0.3, 0.93, 2.67, 0.5]"
2019,Corona Bali Protected,Seeding Round,Heat 1 Watch replay,John John Florence,"[3.83, 0.43, 0.5, 3.37, 3.03, 0.73]"
2019,Corona Bali Protected,Seeding Round,Heat 1 Watch replay,Michael Rodrigues,"[4.83, 2.7, 2.5]"
2019,Corona Bali Protected,Seeding Round,Heat 1 Watch replay,Leonardo Fioravanti,"[3.0, 4.47, 2.27, 0.23, 0.27, 0.33, 0.43, 0.8]"
2019,Corona Bali Protected,Seeding Round,Heat 2 Watch replay,Jordy Smith,"[5.67, 1.93, 1.33, 5.9]"
2019,Corona Bali Protected,Seeding Round,Heat 2 Watch replay,Jadson Andre,"[4.37, 6.07, 3.07, 2.07, 3.53, 1.43]"
2019,Corona Bali Protected,Seeding Round,Heat 2 Watch replay,Sebastian Zietz,"[4.67, 0.93, 1.83, 1.0, 3.0, 2.13, 4.37]"
2019,Corona Bali Protected,Seeding Round,Heat 3 Watch replay,Julian Wilson,"[2.83, 1.67, 4.87, 0.43, 0.87, 0.93, 0.33, 1.03, 4.9]"
2019,Corona Bali Protected,Seeding Round,Heat 3 Watch replay,Jack Freestone,"[2.83, 3.13, 3.43, 1.1]"
2019,Corona Bali Protected,Seeding Round,Heat 3 Watch replay,Adrian Buchan,"[4.67, 0.43, 0.23, 1.43, 0.33, 0.27, 3.07, 1.93]"
2019,Corona Bali Protected,Seeding Round,Heat 4 Watch replay,Italo Ferreira,"[0.5, 1.23, 0.77, 4.23]"
2019,Corona Bali Protected,Seeding Round,Heat 4 Watch replay,Caio Ibelli,"[3.67, 1.17, 4.57, 3.9, 0.3, 0.63, 0.77, 0.23, 4.4]"
