year,event,round,heat,name,scores
2019,Corona Open J-Bay,Elimination Round,Heat 1 Watch replay,Jack Freestone,"[7.0, 7.43, 1.5, 8.5, 0.5]"
2019,Corona Open J-Bay,Elimination Round,Heat 1 Watch replay,Ryan Callinan,"[4.0, 5.0, 6.4, 4.33]"
2019,Corona Open J-Bay,Elimination Round,Heat 1 Watch replay,Beyrick De Vries,"[0.5, 6.67, 4.47]"
2019,Corona Open J-Bay,Elimination Round,Heat 2 Watch replay,Seth Moniz,"[2.5, 2.07, 5.27, 0.63, 0.27, 6.67, 6.57, 7.6, 0.37]"
2019,Corona Open J-Bay,Elimination Round,Heat 2 Watch replay,Adrian Buchan,"[2.77, 0.23, 4.83, 3.5, 0.5, 7.2]"
2019,Corona Open J-Bay,Elimination Round,Heat 2 Watch replay,Jorgann Couzinet,"[0.27, 2.27, 4.73, 7.0, 3.77]"
2019,Corona Open J-Bay,Elimination Round,Heat 3 Watch replay,Jeremy Flores,"[0.43, 3.07, 5.5, 0.23, 7.57, 5.13, 8.27]"
2019,Corona Open J-Bay,Elimination Round,Heat 3 Watch replay,Frederico Morais,"[7.33, 5.9, 5.43, 5.6]"
2019,Corona Open J-Bay,Elimination Round,Heat 3 Watch replay,Jesse Mendes,"[3.83, 4.57, 0.5, 5.5, 0.23, 6.33, 1.8]"
2019,Corona Open J-Bay,Elimination Round,Heat 4 Watch replay,Peterson Crisanto,"[4.83, 4.23, 7.5, 5.57, 0.5]"
2019,Corona Open J-Bay,Elimination Round,Heat 4 Watch replay,Willian Cardoso,"[6.07, 5.87, 5.7, 6.13]"
2019,Corona Open J-Bay,Elimination Round,Heat 4 Watch replay,Jadson Andre,"[4.33, 4.6, 2.33, 5.43, 6.43, 0.8, 4.87, 0.2]"
2019,Corona Open J-Bay,Seeding Round,Heat 1 Watch replay,Gabriel Medina,"[0.5, 4.67, 7.33, 4.7]"
2019,Corona Open J-Bay,Seeding Round,Heat 1 Watch replay,Joan Duru,"[1.87, 6.0, 4.0, 4.57]"
2019,Corona Open J-Bay,Seeding Round,Heat 1 Watch replay,Frederico Morais,"[4.0, 5.0, 0.3]"
2019,Corona Open J-Bay,Seeding Round,Heat 2 Watch replay,Italo Ferreira,"[6.17, 6.5, 7.93]"
2019,Corona Open J-Bay,Seeding Round,Heat 2 Watch replay,Soli Bailey,"[5.17, 4.9, 5.1, 5.5]"
2019,Corona Open J-Bay,Seeding Round,Heat 2 Watch replay,Peterson Crisanto,"[0.5, 2.5, 7.17, 2.27, 3.17]"
2019,Corona Open J-Bay,Seeding Round,Heat 3 Watch replay,Kanoa Igarashi,"[4.83, 1.33, 0.5, 3.83, 7.33, 3.73, 0.43]"
2019,Corona Open J-Bay,Seeding Round,Heat 3 Watch replay,Adriano de Souza,"[2.0, 0.83, 4.23, 3.1, 1.73]"
2019,Corona Open J-Bay,Seeding Round,Heat 3 Watch replay,Jesse Mendes,"[0.57, 2.77, 0.23, 1.67, 3.97, 2.77]"
2019,Corona Open J-Bay,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[4.17, 7.17, 0.3, 6.6]"
2019,Corona Open J-Bay,Seeding Round,Heat 4 Watch replay,Caio Ibelli,"[6.0, 0.5, 1.33, 0.43, 0.2, 0.47, 2.3, 0.2, 0.3, 3.27, 1.37]"
2019,Corona Open J-Bay,Seeding Round,Heat 4 Watch replay,Jorgann Couzinet,"[5.67, 1.33, 2.73, 3.0]"
2019,Corona Open J-Bay,Seeding Round,Heat 5 Watch replay,Kolohe Andino,"[4.93, 2.67, 6.5, 2.97]"
2019,Corona Open J-Bay,Seeding Round,Heat 5 Watch replay,Yago Dora,"[5.57, 4.27, 1.27, 3.67, 3.37]"
2019,Corona Open J-Bay,Seeding Round,Heat 5 Watch replay,Beyrick De Vries,"[5.0, 3.3]"
2019,Corona Open J-Bay,Seeding Round,Heat 6 Watch replay,Filipe Toledo,"[4.5, 9.1, 0.23, 6.4, 8.5]"
2019,Corona Open J-Bay,Seeding Round,Heat 6 Watch replay,Michael February,"[7.0, 1.5, 5.83, 1.6]"
2019,Corona Open J-Bay,Seeding Round,Heat 6 Watch replay,Adrian Buchan,"[6.7, 5.07, 2.93, 0.37, 2.63]"
2019,Corona Open J-Bay,Seeding Round,Heat 7 ,Julian Wilson,"[0.87, 8.6, 3.5, 5.37]"
2019,Corona Open J-Bay,Seeding Round,Heat 7 ,Deivid Silva,"[1.27, 1.37, 1.57, 4.0, 6.6, 2.33]"
2019,Corona Open J-Bay,Seeding Round,Heat 7 ,Jadson Andre,"[5.33, 0.6, 5.23]"
2019,Corona Open J-Bay,Seeding Round,Heat 8 Watch replay,Ezekiel Lau,"[4.67, 6.57, 6.6]"
2019,Corona Open J-Bay,Seeding Round,Heat 8 Watch replay,Conner Coffin,"[5.67, 6.17]"
2019,Corona Open J-Bay,Seeding Round,Heat 8 Watch replay,Willian Cardoso,"[2.5, 0.43, 2.77, 2.03, 1.8, 0.43]"
2019,Corona Open J-Bay,Seeding Round,Heat 9 Watch replay,Ricardo Christie,"[0.43, 4.33, 0.27, 0.23, 6.33, 3.87]"
2019,Corona Open J-Bay,Seeding Round,Heat 9 Watch replay,Michael Rodrigues,"[2.0, 5.33, 3.7]"
2019,Corona Open J-Bay,Seeding Round,Heat 9 Watch replay,Ryan Callinan,"[0.7, 4.33, 1.77]"
2019,Corona Open J-Bay,Seeding Round,Heat 10 Watch replay,Sebastian Zietz,"[0.43, 2.47, 4.57, 7.83, 1.13]"
2019,Corona Open J-Bay,Seeding Round,Heat 10 Watch replay,Kelly Slater,"[5.67, 2.93, 4.1, 5.0, 1.23]"
2019,Corona Open J-Bay,Seeding Round,Heat 10 Watch replay,Jeremy Flores,"[2.27, 7.0, 0.87, 0.5]"
2019,Corona Open J-Bay,Seeding Round,Heat 11 Watch replay,Michel Bourez,"[4.83, 5.57, 2.5, 2.3, 6.67, 3.4]"
2019,Corona Open J-Bay,Seeding Round,Heat 11 Watch replay,Owen Wright,"[0.5, 5.93, 6.07, 4.5, 0.5]"
2019,Corona Open J-Bay,Seeding Round,Heat 11 Watch replay,Jack Freestone,"[6.83, 0.23, 5.03]"
2019,Corona Open J-Bay,Seeding Round,Heat 12 Watch replay,Wade Carmichael,"[5.33, 7.77, 5.47]"
2019,Corona Open J-Bay,Seeding Round,Heat 12 Watch replay,Griffin Colapinto,"[7.33, 0.2, 5.9, 1.83, 1.57]"
2019,Corona Open J-Bay,Seeding Round,Heat 12 Watch replay,Seth Moniz,"[3.83, 1.43, 2.93, 5.0, 3.43, 5.83, 0.2]"
2019,Corona Open J-Bay,Round of 32,Heat 1 Watch replay,Jordy Smith,"[4.67, 2.67, 0.63, 1.2, 7.17, 1.23, 1.0, 2.83, 0.7]"
2019,Corona Open J-Bay,Round of 32,Heat 1 Watch replay,Soli Bailey,"[5.07, 4.5, 1.07, 0.5, 5.67, 2.7, 0.5, 0.57]"
2019,Corona Open J-Bay,Round of 32,Heat 2 Watch replay,Owen Wright,"[4.0, 3.23, 2.67, 5.5, 5.9, 4.0]"
2019,Corona Open J-Bay,Round of 32,Heat 2 Watch replay,Joan Duru,"[0.5, 2.0, 1.37, 2.6, 6.67, 4.6, 1.7]"
2019,Corona Open J-Bay,Round of 32,Heat 3 Watch replay,Gabriel Medina,"[2.1, 0.5, 0.87, 0.23, 5.67, 7.83, 0.37, 7.17, 0.5, 4.4]"
2019,Corona Open J-Bay,Round of 32,Heat 3 Watch replay,Griffin Colapinto,"[3.0, 2.2, 0.33, 6.5, 2.33, 3.5, 3.07, 0.33]"
2019,Corona Open J-Bay,Round of 32,Heat 4 Watch replay,Ryan Callinan,"[3.67, 0.63, 5.67, 5.47, 1.97, 7.43]"
2019,Corona Open J-Bay,Round of 32,Heat 4 Watch replay,Yago Dora,"[2.5, 1.07, 4.17, 0.5, 4.5, 6.83, 1.5, 0.2]"
2019,Corona Open J-Bay,Round of 32,Heat 5 Watch replay,Kolohe Andino,"[2.57, 1.3, 1.0, 4.47, 0.5, 6.33, 0.73, 6.0]"
2019,Corona Open J-Bay,Round of 32,Heat 5 Watch replay,Adriano de Souza,"[4.5, 4.53, 3.0, 5.07, 3.37, 3.4, 4.73, 0.5]"
2019,Corona Open J-Bay,Round of 32,Heat 6 Watch replay,Deivid Silva,"[0.37, 0.3, 1.43, 6.5, 6.0, 0.3, 5.03, 6.93, 2.8]"
2019,Corona Open J-Bay,Round of 32,Heat 6 Watch replay,Jeremy Flores,"[0.23, 3.83, 0.23, 0.2, 1.8, 3.73, 2.23, 0.5, 1.5, 7.0, 4.7, 3.57]"
2019,Corona Open J-Bay,Round of 32,Heat 7 Watch replay,Ezekiel Lau,"[0.3, 5.17, 0.37, 0.33, 6.43]"
2019,Corona Open J-Bay,Round of 32,Heat 7 Watch replay,Julian Wilson,"[2.33, 2.87, 4.83, 5.73, 1.0, 0.2]"
2019,Corona Open J-Bay,Round of 32,Heat 8 Watch replay,Adrian Buchan,"[7.67, 7.07, 0.27, 1.43, 2.5, 2.47]"
2019,Corona Open J-Bay,Round of 32,Heat 8 Watch replay,Conner Coffin,"[5.83, 0.37, 5.03]"
2019,Corona Open J-Bay,Round of 32,Heat 9 Watch replay,Filipe Toledo,"[7.67, 0.5, 7.1, 2.8, 3.2]"
2019,Corona Open J-Bay,Round of 32,Heat 9 Watch replay,Michael February,"[3.83, 0.3, 5.17, 5.23, 5.0, 1.77]"
2019,Corona Open J-Bay,Round of 32,Heat 10 Watch replay,Willian Cardoso,"[1.57, 4.87, 0.37, 4.63, 0.2, 7.1, 6.93]"
2019,Corona Open J-Bay,Round of 32,Heat 10 Watch replay,Michael Rodrigues,"[4.27, 4.1, 6.33, 5.77, 2.23, 3.0, 0.77]"
2019,Corona Open J-Bay,Round of 32,Heat 11 Watch replay,Sebastian Zietz,"[2.0, 5.87, 0.5, 1.5, 5.23, 3.9]"
2019,Corona Open J-Bay,Round of 32,Heat 11 Watch replay,Wade Carmichael,"[6.17, 5.33, 3.1, 3.23]"
2019,Corona Open J-Bay,Round of 32,Heat 12 Watch replay,Michel Bourez,"[1.37, 6.0, 5.83, 6.17, 3.2, 6.93, 6.67]"
