year,event,round,heat,name,scores
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 1 Watch replay,Peterson Crisanto,"[6.0, 4.9, 2.43]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 1 Watch replay,Kanoa Igarashi,"[6.83, 0.57, 6.83, 2.6, 2.73]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 1 Watch replay,Diego Cadena,"[4.5, 0.33, 4.17, 5.87, 3.6]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 2 Watch replay,Deivid Silva,"[0.2, 1.67, 0.3, 4.77, 5.67]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 2 Watch replay,Yago Dora,"[4.5, 4.83]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 2 Watch replay,Jhony Corzo,"[3.5, 3.9, 4.03]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 3 Watch replay,Jadson Andre,"[0.3, 5.17, 2.5, 5.67]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 3 Watch replay,Adriano de Souza,"[5.9, 3.17, 2.1]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 3 Watch replay,Alex Ribeiro,"[4.0, 0.5, 3.57]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 4 Watch replay,Seth Moniz,"[0.77, 6.67, 6.63, 8.7, 1.13, 2.77]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 4 Watch replay,Matthew McGillivray,"[3.5, 5.67, 1.43, 5.97, 5.9]"
2021,Corona Open Mexico presented by Quiksilver,Elimination Round,Heat 4 Watch replay,Connor O'Leary,"[4.67, 3.1, 4.0, 0.67, 0.3]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 1 Watch replay,Kolohe Andino,[]
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 1 Watch replay,Kelly Slater,"[0.43, 0.37, 1.27, 0.33]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[0.67, 0.43, 0.6]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 2 Watch replay,Griffin Colapinto,"[1.43, 0.2, 2.6]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 2 Watch replay,Lucca Mesinas,[0.3]
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 2 Watch replay,Jadson Andre,"[1.4, 3.67, 0.3, 0.4, 0.5, 5.43, 0.17]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 3 Watch replay,Morgan Cibilic,[]
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 3 Watch replay,Rio Waida,[0.43]
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 3 Watch replay,Deivid Silva,"[0.6, 0.27, 0.5]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 4 Watch replay,Filipe Toledo,"[6.63, 3.0, 0.27, 4.0, 3.5]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 4 Watch replay,Jeremy Flores,"[5.0, 2.43, 5.33]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 4 Watch replay,Jhony Corzo,"[1.73, 1.07, 3.37, 1.97]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 5 Watch replay,Mateus Herdy,"[0.63, 7.33, 1.5, 3.67, 0.43, 0.2, 6.8]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 5 Watch replay,Italo Ferreira,"[5.67, 6.5, 0.5, 4.67, 7.43, 6.33, 6.5]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 5 Watch replay,Peterson Crisanto,"[2.67, 3.13, 1.3, 0.8, 5.73, 7.3, 0.37, 5.27]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 6 Watch replay,Jack Robinson,"[2.0, 4.27, 6.33, 3.53, 7.5, 0.9, 5.77]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 6 Watch replay,Gabriel Medina,"[1.0, 4.43, 5.23, 1.33, 4.9, 0.8, 0.3, 0.27, 0.47, 0.93]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 6 Watch replay,Diego Cadena,"[4.17, 0.8, 3.73, 1.93, 3.27]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 7 Watch replay,Adrian Buchan,"[5.0, 4.33, 5.0, 6.83]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 7 Watch replay,Conner Coffin,"[2.0, 5.67, 3.27, 6.1, 4.13]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 7 Watch replay,Matthew McGillivray,"[6.07, 5.27, 0.83, 0.27, 4.5, 3.87]"
2021,Corona Open Mexico presented by Quiksilver,Seeding Round,Heat 8 Watch replay,Mikey Wright,"[5.4, 3.33, 6.83, 5.9]"
