year,event,round,heat,name,scores
2016,Drug Aware Margaret River Pro,Round 2,Heat 1 Watch replay,Jeremy Flores,"[7.23, 5.33, 5.77, 7.57, 0.43]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 1 Watch replay,Jay Davies,"[7.17, 7.43, 6.6, 0.2, 2.77]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 2 Watch replay,Jordy Smith,"[1.0, 6.9, 7.67, 1.77, 5.27, 8.27]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 2 Watch replay,Jacob Willcox,"[6.33, 0.5, 5.0, 0.87, 6.93, 6.8, 0.5, 0.67]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 3 Watch replay,Leonardo Fioravanti,"[7.93, 3.17, 8.67]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 3 Watch replay,Kelly Slater,"[6.0, 5.17, 0.8, 6.6, 5.77, 2.5, 3.77, 6.83]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 4 Watch replay,Wiggolly Dantas,"[7.5, 3.5, 8.23, 8.43, 1.07]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 4 Watch replay,Jack Robinson,"[6.1, 1.7, 6.5, 1.0, 7.87]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 5 Watch replay,Adrian Buchan,"[8.83, 5.83, 3.67, 7.67]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 5 Watch replay,Dusty Payne,"[3.0, 8.73, 2.63, 0.6, 2.5]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 6 Watch replay,Adam Melling,"[0.8, 5.0, 5.67, 6.13, 0.83, 6.77, 7.07]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 6 Watch replay,Conner Coffin,"[1.0, 4.0, 5.93, 6.5, 4.33, 6.13]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 7 Watch replay,Caio Ibelli,"[0.5, 5.5, 3.0, 6.67, 4.5, 7.57]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 7 Watch replay,Alex Ribeiro,"[6.9, 5.93, 5.77, 0.43, 3.07]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 8 Watch replay,Alejo Muniz,"[4.1, 7.33, 4.9]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 8 Watch replay,Kai Otton,"[5.0, 0.67, 2.23, 3.07, 4.37, 5.57, 0.43, 1.63]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 9 Watch replay,Matt Banting,"[3.33, 5.67, 0.83, 7.57, 7.33, 1.77, 3.7, 1.97]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 9 Watch replay,Stuart Kennedy,"[6.17, 1.23, 0.8, 5.13, 6.53, 3.3, 6.77, 3.23]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 10 Watch replay,Kanoa Igarashi,"[8.5, 1.0, 0.73, 4.53, 0.43, 0.7, 5.73, 1.07, 2.43]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 10 Watch replay,Ryan Callinan,"[4.83, 5.4, 2.73, 7.17, 4.87, 0.43, 6.47]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 11 Watch replay,Miguel Pupo,"[5.67, 6.33, 5.5, 8.17, 2.07, 0.5]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 11 Watch replay,Davey Cathels,"[5.0, 5.23, 2.73, 6.5, 6.5, 6.83, 1.97]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 12 Watch replay,Sebastian Zietz,"[0.83, 8.0, 2.93, 5.73, 0.5, 7.4]"
2016,Drug Aware Margaret River Pro,Round 2,Heat 12 Watch replay,Keanu Asing,"[4.33, 5.67, 0.73, 3.77, 0.23, 0.53, 0.87, 7.33, 1.93, 4.83]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 1 Watch replay,Taj Burrow,"[2.5, 3.67, 5.1, 2.07, 0.67, 3.33, 7.67]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 1 Watch replay,Jeremy Flores,"[6.5, 7.67, 8.43, 1.0]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 1 Watch replay,Alex Ribeiro,"[0.5, 2.23, 3.2]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 2 Watch replay,Julian Wilson,"[4.5, 5.73, 8.0, 0.43, 7.6, 4.9]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 2 Watch replay,Adam Melling,"[5.5, 7.07, 8.2]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 2 Watch replay,Kai Otton,"[6.83, 4.93, 1.5, 5.23, 3.33, 0.77, 1.0, 1.2]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 3 Watch replay,Matt Wilkinson,"[2.83, 7.17, 2.93, 5.5, 5.2]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 3 Watch replay,Stuart Kennedy,"[4.17, 5.0]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 3 Watch replay,Dusty Payne,"[0.67, 6.93, 0.5]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 4 Watch replay,Italo Ferreira,"[3.6, 0.8, 6.67, 6.4, 1.93, 7.73]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 4 Watch replay,Kanoa Igarashi,"[6.67, 0.5, 5.23, 7.87, 0.5, 3.5, 0.7]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 4 Watch replay,Jack Robinson,"[3.7, 6.0, 1.0]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 5 Watch replay,Gabriel Medina,"[8.6, 0.57, 5.8, 8.1]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 5 Watch replay,Leonardo Fioravanti,"[0.5, 5.9, 6.37]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 5 Watch replay,Davey Cathels,"[4.83, 5.33, 0.63, 0.9]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 6 Watch replay,Adriano de Souza,"[4.67, 0.5, 6.67, 6.43, 5.53, 3.93, 0.9, 5.1]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 6 Watch replay,Jacob Willcox,"[5.67, 3.77, 2.33, 6.73, 4.33, 2.73, 0.43, 2.03]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 6 Watch replay,Keanu Asing,"[3.33, 4.67, 2.7, 3.2, 2.67, 5.97]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 7 Watch replay,Michel Bourez,"[3.83, 6.67, 2.6, 7.5]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 7 Watch replay,Jordy Smith,"[0.67, 8.07, 1.6, 5.97, 0.43, 2.1]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 7 Watch replay,Alejo Muniz,"[5.33, 6.6, 6.53, 5.43, 3.47, 1.67]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 8 Watch replay,Nat Young,"[5.17, 4.17, 0.37, 7.33, 8.6, 0.37, 0.23, 6.47]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 8 Watch replay,Matt Banting,"[5.0, 2.33, 0.5, 5.3, 2.1, 2.07, 6.6, 2.23, 0.5, 2.43]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 8 Watch replay,Caio Ibelli,"[5.83, 0.5, 3.5, 6.5, 0.83]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 9 Watch replay,Joel Parkinson,"[5.67, 2.0, 7.17]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 9 Watch replay,Conner Coffin,"[4.33, 6.33, 3.9, 4.93]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 9 Watch replay,Ryan Callinan,"[2.93, 4.07, 6.43, 0.5]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 10 Watch replay,Kolohe Andino,"[6.33, 8.33, 7.37]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 10 Watch replay,Kelly Slater,"[1.5, 6.83, 5.33]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 10 Watch replay,Miguel Pupo,"[0.5, 1.93, 3.17, 0.73]"
2016,Drug Aware Margaret River Pro,Round 1,Heat 11 Watch replay,Josh Kerr,"[5.83, 5.33, 1.07, 7.0, 1.7, 7.93, 0.7, 0.83]"
