year,event,round,heat,name,scores
2016,Fiji Pro,Round 2,Heat 1 Watch replay,Italo Ferreira,"[4.5, 6.17, 0.67]"
2016,Fiji Pro,Round 2,Heat 1 Watch replay,Tevita Gukilau,"[0.43, 3.07]"
2016,Fiji Pro,Round 2,Heat 2 Watch replay,Matt Wilkinson,"[0.93, 0.83, 2.93, 6.5, 6.6, 0.43]"
2016,Fiji Pro,Round 2,Heat 2 Watch replay,Alex Ribeiro,"[3.67, 5.67, 0.33, 0.43, 5.43, 0.77, 2.73, 2.1]"
2016,Fiji Pro,Round 2,Heat 3 Watch replay,Gabriel Medina,"[0.7, 4.83, 1.6, 8.17, 0.5, 7.77, 2.1, 0.3, 0.2, 2.73, 2.5]"
2016,Fiji Pro,Round 2,Heat 3 Watch replay,Ryan Callinan,"[2.67, 1.1, 6.5, 7.6, 3.67]"
2016,Fiji Pro,Round 2,Heat 4 Watch replay,Alejo Muniz,"[6.33, 1.7, 2.9, 7.67, 1.0, 4.87]"
2016,Fiji Pro,Round 2,Heat 4 Watch replay,Julian Wilson,"[5.0, 6.17, 2.43]"
2016,Fiji Pro,Round 2,Heat 5 Watch replay,Mick Fanning,"[8.17, 0.93, 7.93, 0.27]"
2016,Fiji Pro,Round 2,Heat 5 Watch replay,Kai Otton,"[6.9, 2.83, 3.23, 7.5, 1.4, 1.87]"
2016,Fiji Pro,Round 2,Heat 6 Watch replay,Dusty Payne,"[7.17, 0.5, 5.67, 9.33, 0.67]"
2016,Fiji Pro,Round 2,Heat 6 Watch replay,Nat Young,"[5.5, 0.2, 1.67, 6.23, 6.57, 4.57, 8.1, 5.93]"
2016,Fiji Pro,Round 2,Heat 7 Watch replay,Taj Burrow,"[7.27, 2.53, 8.03]"
2016,Fiji Pro,Round 2,Heat 7 Watch replay,Caio Ibelli,"[1.0, 6.5, 5.17, 4.57, 6.53, 6.47]"
2016,Fiji Pro,Round 2,Heat 8 Watch replay,Kanoa Igarashi,"[3.5, 2.17, 0.5, 0.77, 3.97, 0.3, 7.0, 6.17, 1.2, 0.73, 5.67]"
2016,Fiji Pro,Round 2,Heat 8 Watch replay,Sebastian Zietz,"[3.33, 4.1, 2.83, 6.43, 3.8]"
