year,event,round,heat,name,scores
2010,Hurley Pro Trestles,Round 2,Heat 1 ,Dane Reynolds,"[0.23, 0.67, 6.93, 8.33, 7.4, 5.57, 1.23, 9.37]"
2010,Hurley Pro Trestles,Round 2,Heat 1 ,Kolohe Andino,"[4.67, 1.07, 1.23, 3.53, 6.43]"
2010,Hurley Pro Trestles,Round 2,Heat 2 ,Bede Durbidge,"[3.17, 3.83, 6.43, 5.43, 5.17, 0.3, 5.9, 1.17]"
2010,Hurley Pro Trestles,Round 2,Heat 2 ,Rob Machado,"[4.5, 6.0, 0.37, 4.77, 1.87, 2.73, 4.43]"
2010,Hurley Pro Trestles,Round 2,Heat 3 ,Gabe Kling,"[5.67, 3.67, 0.37, 6.5, 0.3, 0.5, 3.87]"
2010,Hurley Pro Trestles,Round 2,Heat 3 ,Bobby Martinez,"[4.67, 6.77, 3.77]"
2010,Hurley Pro Trestles,Round 2,Heat 4 ,C.J. Hobgood,"[5.33, 6.83, 2.67, 1.0, 3.67]"
2010,Hurley Pro Trestles,Round 2,Heat 4 ,Travis Logie,"[4.5, 4.43, 1.5, 5.43, 3.97]"
2010,Hurley Pro Trestles,Round 2,Heat 5 ,Brett Simpson,"[1.0, 6.0, 2.43, 1.43, 4.93]"
2010,Hurley Pro Trestles,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[4.5, 6.27]"
2010,Hurley Pro Trestles,Round 2,Heat 6 ,Owen Wright,"[3.5, 3.77, 0.23, 6.5, 4.5, 1.0, 1.3]"
2010,Hurley Pro Trestles,Round 2,Heat 6 ,Luke Munro,"[1.83, 6.0, 0.43, 4.6, 3.33, 2.43]"
2010,Hurley Pro Trestles,Round 2,Heat 7 ,Tiago Pires,"[1.83, 0.27, 4.17, 5.33, 4.37, 6.83]"
2010,Hurley Pro Trestles,Round 2,Heat 7 ,Daniel Ross,"[1.43, 4.33, 0.8, 4.93]"
2010,Hurley Pro Trestles,Round 2,Heat 8 ,Dusty Payne,"[0.37, 5.83, 3.77, 0.8, 4.83, 7.67, 5.57]"
2010,Hurley Pro Trestles,Round 2,Heat 8 ,Jeremy Flores,"[4.83, 0.83, 0.9, 0.93, 4.3, 4.6, 7.17]"
2010,Hurley Pro Trestles,Round 2,Heat 9 ,Adam Melling,"[6.5, 5.9, 4.67]"
2010,Hurley Pro Trestles,Round 2,Heat 9 ,Tom Whitaker,"[1.5, 2.67, 0.37, 3.67, 0.37]"
2010,Hurley Pro Trestles,Round 2,Heat 10 ,Taylor Knox,"[6.0, 8.5, 3.57, 1.47, 4.1, 0.17, 4.53]"
2010,Hurley Pro Trestles,Round 2,Heat 10 ,Roy Powers,"[0.2, 3.5, 4.33, 1.5, 1.1]"
2010,Hurley Pro Trestles,Round 2,Heat 11 ,Kieren Perrow,"[5.5, 4.0, 7.0, 1.0, 6.6, 1.83]"
2010,Hurley Pro Trestles,Round 2,Heat 11 ,Patrick Gudauskas,"[4.5, 4.6, 4.57, 4.2]"
2010,Hurley Pro Trestles,Round 2,Heat 12 ,Luke Stedman,"[5.0, 2.4, 0.93, 6.27, 0.57, 6.43]"
2010,Hurley Pro Trestles,Round 2,Heat 12 ,Kai Otton,"[1.93, 6.0, 1.97, 3.83, 0.37, 5.6, 4.43]"
2010,Hurley Pro Trestles,Round 1,Heat 1 ,Chris Davidson,"[7.0, 4.83, 6.33, 2.4, 5.87, 6.17]"
2010,Hurley Pro Trestles,Round 1,Heat 1 ,Dane Reynolds,"[2.5, 2.0, 3.33, 0.43, 4.4, 4.2, 1.77, 0.33, 6.77, 6.17, 4.27]"
2010,Hurley Pro Trestles,Round 1,Heat 1 ,Luke Munro,"[4.0, 1.0, 0.43, 3.73, 6.33, 2.57, 1.0, 1.77]"
2010,Hurley Pro Trestles,Round 1,Heat 2 ,Adriano de Souza,"[7.0, 5.47, 5.73, 1.17, 7.5, 4.93, 5.6]"
2010,Hurley Pro Trestles,Round 1,Heat 2 ,Adam Melling,"[5.33, 1.83, 3.2, 7.23, 2.07, 0.2, 7.23, 0.87]"
2010,Hurley Pro Trestles,Round 1,Heat 2 ,Brett Simpson,"[3.67, 5.17, 7.83, 0.5, 1.6, 6.0, 1.63]"
2010,Hurley Pro Trestles,Round 1,Heat 3 ,Mick Fanning,"[1.93, 4.5, 4.43, 8.67, 5.73, 4.6]"
2010,Hurley Pro Trestles,Round 1,Heat 3 ,Taylor Knox,"[7.0, 6.3, 5.23, 4.47]"
2010,Hurley Pro Trestles,Round 1,Heat 3 ,Travis Logie,"[6.17, 6.87, 1.93]"
2010,Hurley Pro Trestles,Round 1,Heat 4 ,Taj Burrow,"[3.67, 4.6, 6.5, 7.77, 0.6, 7.0, 0.93, 8.33]"
2010,Hurley Pro Trestles,Round 1,Heat 4 ,Gabe Kling,"[4.83, 3.77, 5.4, 5.2, 7.27, 0.5, 1.8, 4.83]"
2010,Hurley Pro Trestles,Round 1,Heat 4 ,Patrick Gudauskas,"[0.9, 4.7, 1.23, 6.2, 5.5, 2.67]"
2010,Hurley Pro Trestles,Round 1,Heat 5 ,Jordy Smith,"[5.93, 5.77, 6.5, 1.17, 7.33, 7.83]"
2010,Hurley Pro Trestles,Round 1,Heat 5 ,Rob Machado,"[5.5, 3.0, 2.6, 1.17, 0.43, 3.93, 0.93, 5.37, 5.97, 2.5]"
2010,Hurley Pro Trestles,Round 1,Heat 5 ,Kai Otton,"[4.5, 1.93, 3.23, 1.73, 0.37, 3.6, 5.17]"
2010,Hurley Pro Trestles,Round 1,Heat 6 ,Kelly Slater,"[5.5, 7.77, 0.83]"
2010,Hurley Pro Trestles,Round 1,Heat 6 ,Luke Stedman,"[6.33, 3.77, 2.6]"
2010,Hurley Pro Trestles,Round 1,Heat 6 ,Kolohe Andino,"[4.6, 3.83, 1.0, 0.87]"
2010,Hurley Pro Trestles,Round 1,Heat 7 ,Matt Wilkinson,"[2.33, 1.0, 1.83, 6.67, 6.83, 4.33, 4.9]"
2010,Hurley Pro Trestles,Round 1,Heat 7 ,Bede Durbidge,"[6.83, 5.5, 5.9, 6.43, 4.07]"
2010,Hurley Pro Trestles,Round 1,Heat 7 ,Jeremy Flores,"[1.5, 1.0, 6.6, 2.13, 6.33, 3.0, 1.37, 1.93, 5.83, 0.37, 4.93, 3.6]"
2010,Hurley Pro Trestles,Round 1,Heat 8 ,Michel Bourez,"[7.33, 5.3, 8.17, 6.73, 8.07]"
2010,Hurley Pro Trestles,Round 1,Heat 8 ,Daniel Ross,"[3.33, 6.33, 0.23, 1.83, 5.43, 0.33, 8.9]"
2010,Hurley Pro Trestles,Round 1,Heat 8 ,Bobby Martinez,"[5.0, 6.0, 0.43, 6.5, 1.0, 4.6, 6.83, 3.93]"
2010,Hurley Pro Trestles,Round 1,Heat 9 ,Jadson Andre,"[4.67, 4.0, 1.17, 0.73, 8.6, 8.43, 5.93, 7.93]"
2010,Hurley Pro Trestles,Round 1,Heat 9 ,C.J. Hobgood,"[5.17, 5.73, 4.17, 0.5, 5.73, 1.37, 5.3, 0.67, 0.5, 6.2]"
2010,Hurley Pro Trestles,Round 1,Heat 9 ,Dusty Payne,"[5.1, 2.33, 1.3, 1.27, 3.0, 0.8, 5.3, 4.83, 1.3]"
2010,Hurley Pro Trestles,Round 1,Heat 10 ,Andy Irons,"[2.83, 8.87, 4.43, 6.17]"
2010,Hurley Pro Trestles,Round 1,Heat 10 ,Tiago Pires,"[5.0, 7.57, 4.57]"
2010,Hurley Pro Trestles,Round 1,Heat 10 ,Tom Whitaker,"[1.57, 2.33, 2.9, 0.93]"
2010,Hurley Pro Trestles,Round 1,Heat 11 ,Adrian Buchan,"[2.0, 4.37, 5.67, 8.0, 6.47]"
2010,Hurley Pro Trestles,Round 1,Heat 11 ,Owen Wright,"[7.33, 6.33, 5.77, 4.53, 2.43]"
2010,Hurley Pro Trestles,Round 1,Heat 11 ,Roy Powers,"[1.67, 3.5, 4.0, 2.37, 4.5, 1.73, 0.43]"
2010,Hurley Pro Trestles,Round 1,Heat 12 ,Damien Hobgood,"[1.0, 0.6, 0.9, 3.07, 4.67, 0.87, 6.7, 6.23, 0.5]"
2010,Hurley Pro Trestles,Round 1,Heat 12 ,Kieren Perrow,"[1.7, 6.67, 6.0, 0.23]"
2010,Hurley Pro Trestles,Round 1,Heat 12 ,Freddy Patacchia Jr.,"[5.33, 3.17, 4.17, 2.33, 5.93, 1.0]"
2010,Hurley Pro Trestles,Round 3,Heat 1 ,Mick Fanning,"[7.0, 7.67, 7.53, 4.17, 2.3]"
2010,Hurley Pro Trestles,Round 3,Heat 1 ,Dusty Payne,"[1.17, 3.33, 1.87, 4.83, 2.93, 0.5]"
