year,event,round,heat,name,scores
2014,J-Bay Open,Round 2,Heat 1 ,Gabriel Medina,"[7.0, 7.67, 5.17, 7.23]"
2014,J-Bay Open,Round 2,Heat 1 ,Dylan Lightfoot,"[5.5, 1.9, 5.77, 0.3, 4.33, 5.27, 1.5]"
2014,J-Bay Open,Round 2,Heat 2 ,Joel Parkinson,"[4.67, 6.33, 3.77, 0.5, 3.07, 6.1, 0.5]"
2014,J-Bay Open,Round 2,Heat 2 ,Brett Simpson,"[5.5, 4.93, 2.5, 0.23, 4.27, 2.37]"
2014,J-Bay Open,Round 2,Heat 3 ,Nat Young,"[1.43, 6.0, 8.17, 1.0, 1.73, 7.93, 4.77]"
2014,J-Bay Open,Round 2,Heat 3 ,Raoni Monteiro,"[0.5, 4.0, 0.2, 4.2, 0.43, 4.43, 0.5, 3.93]"
2014,J-Bay Open,Round 2,Heat 4 ,Julian Wilson,"[6.0, 0.37, 0.2, 2.17, 2.17, 5.77, 4.6, 2.27]"
2014,J-Bay Open,Round 2,Heat 4 ,Glenn Hall,"[0.57, 1.5, 1.8, 0.8, 0.43, 0.5, 0.57, 3.0]"
2014,J-Bay Open,Round 2,Heat 5 ,Matt Wilkinson,"[3.5, 7.0, 0.2, 8.93, 5.5]"
2014,J-Bay Open,Round 2,Heat 5 ,Bede Durbidge,"[5.0, 0.67, 7.5, 1.93, 7.2]"
2014,J-Bay Open,Round 2,Heat 6 ,Owen Wright,"[5.67, 3.93, 6.4, 1.0]"
2014,J-Bay Open,Round 2,Heat 6 ,Dion Atkinson,"[2.0, 4.87, 5.0]"
2014,J-Bay Open,Round 2,Heat 7 ,Alejo Muniz,"[1.9, 2.27, 4.83, 0.3, 6.0, 0.37, 2.53]"
2014,J-Bay Open,Round 2,Heat 7 ,Filipe Toledo,"[4.0, 3.2, 3.93]"
2014,J-Bay Open,Round 2,Heat 8 ,C.J. Hobgood,"[4.67, 0.2, 2.27, 6.5, 0.2, 2.77, 7.67, 4.63, 3.3]"
2014,J-Bay Open,Round 2,Heat 8 ,Tiago Pires,"[5.33, 0.2, 3.17, 5.73, 8.17, 3.27]"
2014,J-Bay Open,Round 2,Heat 9 ,Miguel Pupo,"[6.67, 1.57, 5.33, 8.5, 0.2, 0.77, 7.87]"
2014,J-Bay Open,Round 2,Heat 9 ,Jadson Andre,"[3.33, 0.5, 1.5, 0.23, 4.53, 0.2, 8.4, 2.67]"
2014,J-Bay Open,Round 2,Heat 10 ,Sebastian Zietz,"[2.5, 3.67, 0.77, 3.57, 7.0, 4.87, 6.67]"
2014,J-Bay Open,Round 2,Heat 10 ,Jeremy Flores,"[1.83, 5.67, 7.6, 5.93, 1.27]"
2014,J-Bay Open,Round 2,Heat 11 ,Freddy Patacchia Jr.,"[4.67, 1.5, 8.0, 0.43]"
2014,J-Bay Open,Round 2,Heat 11 ,Travis Logie,"[0.67, 3.5, 2.0, 7.17]"
2014,J-Bay Open,Round 2,Heat 12 ,Adrian Buchan,"[0.43, 6.77, 4.1, 4.83]"
2014,J-Bay Open,Round 2,Heat 12 ,Mitch Crews,"[6.5, 1.6, 2.67, 1.6, 4.17, 2.07]"
2014,J-Bay Open,Round 1,Heat 1 ,Mick Fanning,"[4.83, 3.33, 3.07, 7.0, 6.43, 8.0]"
2014,J-Bay Open,Round 1,Heat 1 ,Sebastian Zietz,"[6.0, 0.43, 1.0, 4.5, 6.77]"
2014,J-Bay Open,Round 1,Heat 1 ,Dion Atkinson,"[2.33, 2.57, 5.83, 4.97, 4.17]"
2014,J-Bay Open,Round 1,Heat 2 ,Taj Burrow,"[7.67, 5.0, 7.67, 6.5]"
2014,J-Bay Open,Round 1,Heat 2 ,Freddy Patacchia Jr.,"[6.67, 2.17, 1.33, 1.07, 5.37]"
2014,J-Bay Open,Round 1,Heat 2 ,Matt Wilkinson,"[2.83, 0.37, 3.4, 1.83, 1.57, 7.27]"
2014,J-Bay Open,Round 1,Heat 3 ,Kai Otton,"[7.1, 0.73, 6.67, 8.17]"
2014,J-Bay Open,Round 1,Heat 3 ,Joel Parkinson,"[7.5, 2.33, 4.53, 5.5, 4.7]"
2014,J-Bay Open,Round 1,Heat 3 ,Glenn Hall,"[4.0, 4.33, 5.13, 1.5]"
2014,J-Bay Open,Round 1,Heat 4 ,Michel Bourez,"[8.33, 4.57, 2.83, 2.5, 0.5, 2.13, 0.37]"
2014,J-Bay Open,Round 1,Heat 4 ,Raoni Monteiro,"[4.0, 1.87, 7.77]"
2014,J-Bay Open,Round 1,Heat 4 ,Adrian Buchan,"[2.93, 5.83, 5.5]"
2014,J-Bay Open,Round 1,Heat 5 ,Adam Melling,"[3.67, 5.83, 1.13, 2.17, 7.27]"
2014,J-Bay Open,Round 1,Heat 5 ,Gabriel Medina,"[0.87, 3.07, 4.83, 2.77, 6.4, 5.1]"
2014,J-Bay Open,Round 1,Heat 5 ,Brett Simpson,"[2.83, 2.5, 0.43, 0.73, 1.43, 3.27, 5.23]"
