year,event,round,heat,name,scores
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 1 Watch replay,Owen Wright,"[0.5, 5.83, 4.0, 0.57, 0.57, 0.67, 1.3, 5.1, 5.13]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 1 Watch replay,Miguel Blanco,"[1.87, 5.5, 3.1, 0.43, 1.9, 3.07, 4.37, 0.63, 0.37, 4.13]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 1 Watch replay,Ricardo Christie,"[2.0, 0.93, 4.47, 1.6, 2.13]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 2 Watch replay,Crosby Colapinto,"[1.57, 6.5, 0.97, 5.6, 0.53]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 2 Watch replay,Leonardo Fioravanti,"[4.5, 1.0, 0.87, 2.0, 0.5, 3.3, 5.57, 0.33, 5.9]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 2 Watch replay,Seth Moniz,"[2.5, 5.83, 3.83, 1.13, 0.67, 0.87, 0.37, 3.37, 0.63, 2.4, 0.73]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 3 Watch replay,Jesse Mendes,"[0.2, 2.83, 0.5, 4.4, 7.9, 6.17]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 3 Watch replay,Frederico Morais,"[0.5, 2.43, 4.0, 5.33, 7.43]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 3 Watch replay,Ryan Callinan,"[5.0, 1.4, 4.83, 6.33, 2.57, 1.3, 4.4]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 4 Watch replay,Soli Bailey,"[1.2, 1.5, 0.7, 1.83, 0.73, 1.0, 0.6, 1.8, 2.33, 3.1, 0.5, 5.0]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 4 Watch replay,Michel Bourez,"[5.0, 5.6, 0.7, 0.5, 3.77, 2.3, 0.97]"
2019,MEO Rip Curl Pro Portugal,Elimination Round,Heat 4 Watch replay,Ezekiel Lau,"[1.0, 4.33, 3.43, 3.83, 0.8, 1.9, 4.13]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 1 Watch replay,Willian Cardoso,"[1.5, 0.3, 0.63, 0.1, 3.0, 0.37, 3.93, 6.67, 1.03]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 1 Watch replay,Kanoa Igarashi,"[0.7, 3.33, 1.83, 0.5, 4.5, 0.53, 3.53, 4.33, 1.0, 1.27]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 1 Watch replay,Ricardo Christie,"[0.5, 0.87, 2.1, 0.33, 0.9, 2.2, 2.77, 0.83, 1.87, 0.9, 2.73]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 2 Watch replay,Griffin Colapinto,"[1.07, 6.83, 0.37, 1.2, 0.77, 4.13, 1.63, 0.5, 0.67, 3.2]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 2 Watch replay,Kolohe Andino,"[0.5, 5.0, 4.17, 0.93, 4.2, 1.23, 0.2, 1.03, 0.7]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 2 Watch replay,Soli Bailey,"[3.0, 3.67, 0.93, 1.2, 0.37, 4.07, 0.87, 3.6, 0.5, 0.23]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 3 ,Yago Dora,"[6.33, 0.43, 0.93, 0.3, 2.23, 4.07, 0.5, 7.23, 1.0, 0.47]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 3 ,Italo Ferreira,"[0.93, 0.4, 3.3, 5.17, 0.27, 3.13, 0.6, 1.67, 1.5, 1.73, 4.73, 4.9, 7.17, 4.87, 5.2]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 3 ,Frederico Morais,"[0.4, 3.33, 4.17, 0.2, 4.2, 0.3, 3.13, 0.27]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 4 Watch replay,Caio Ibelli,"[0.5, 5.67, 0.77, 0.2, 0.73, 0.2, 3.5, 0.83, 3.93, 0.73, 5.17, 0.27, 2.07]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 4 Watch replay,Jordy Smith,"[6.0, 0.6, 1.0, 0.5, 1.13, 2.3, 0.83, 0.9, 0.43, 1.0]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 4 Watch replay,Crosby Colapinto,"[2.0, 3.17, 1.43, 0.87]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 5 Watch replay,Filipe Toledo,"[7.17, 1.27, 3.83, 2.57, 3.23, 4.53, 1.33, 0.5, 0.5]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 5 Watch replay,Vasco Ribeiro,"[0.37, 0.37, 0.83, 2.17, 0.47, 4.23, 5.33, 3.47, 2.47, 3.53, 1.5]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 5 Watch replay,Ezekiel Lau,"[0.93, 3.5, 5.83, 2.77]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 6 Watch replay,Gabriel Medina,"[0.93, 0.43, 4.27, 0.87, 2.5, 2.17, 6.5, 1.07, 1.03, 0.67, 2.4]"
2019,MEO Rip Curl Pro Portugal,Seeding Round,Heat 6 Watch replay,Joan Duru,"[4.5, 2.67, 3.73, 4.1, 0.73, 3.07]"
