year,event,round,heat,name,scores
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 1 ,Mick Fanning,"[8.5, 0.3, 0.9, 0.63]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 1 ,Jacob Willcox,"[6.0, 1.23, 1.43]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 2 ,John John Florence,"[1.0, 1.27, 1.83, 1.83, 8.0, 0.93, 3.67]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 2 ,Nic von Rupp,"[3.83, 0.83, 5.83]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 3 ,Michel Bourez,"[0.8, 1.93, 0.83, 2.17, 3.63]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 3 ,Raoni Monteiro,"[1.0, 1.27, 3.5, 1.77]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 4 ,Kolohe Andino,"[0.37, 0.2, 0.23, 3.33, 5.17, 5.6]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 4 ,Jeremy Flores,"[0.37, 0.4, 1.43, 6.33, 2.5, 1.37, 0.77]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 5 ,Brett Simpson,"[0.23, 0.8, 4.83, 7.0, 0.5, 4.33, 6.87, 0.43]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 5 ,Nat Young,"[4.0, 1.0, 5.23, 6.33, 3.67, 7.1, 0.57]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 6 ,Bede Durbidge,"[4.17, 4.57, 1.6, 4.17]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 6 ,Travis Logie,"[1.0, 1.27, 1.4, 0.5]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 7 Watch replay,Aritz Aranburu,"[3.67, 5.5]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 7 Watch replay,Adrian Buchan,"[0.2, 0.7, 1.0, 0.43]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 8 ,Alejo Muniz,"[0.5, 1.77, 5.0, 0.8, 0.23, 1.6, 3.23]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 8 ,Julian Wilson,"[2.83, 2.0, 2.83, 5.0]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 9 Watch replay,Freddy Patacchia Jr.,"[1.17, 1.43, 5.0, 3.5, 1.37, 4.33]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 9 Watch replay,Mitch Crews,"[0.3, 2.0, 0.87, 1.27, 3.7, 2.17, 1.43, 0.83]"
2014,Moche Rip Curl Pro Portugal,Round 2,Heat 10 ,Adam Melling,[]
