year,event,round,heat,name,scores
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 1 ,Kelly Slater,"[1.17, 3.33, 3.5, 0.43, 0.3, 3.73, 5.27, 5.93]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 1 ,Jason Collins,"[4.5, 4.9, 2.0, 2.77, 0.43, 0.2]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 2 ,Jadson Andre,"[6.6, 0.83, 2.93, 7.5]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 2 ,Mick Fanning,"[9.73, 1.93, 4.33, 1.23]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 3 ,Matt Wilkinson,"[1.27, 2.37, 4.5, 0.87, 0.23, 9.27, 5.23, 3.17]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 3 ,John John Florence,"[1.93, 0.57, 0.37, 2.43, 1.97, 4.93, 3.73]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 4 ,Adriano de Souza,"[5.33, 4.93, 6.5, 0.27, 4.67, 4.17, 0.9, 4.93, 6.93]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 4 ,Adam Melling,"[6.17, 5.33, 0.43, 0.23, 1.1, 0.83]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 5 ,Raoni Monteiro,"[1.6, 5.57, 1.37, 1.0, 8.87, 0.67, 4.3]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 5 ,Julian Wilson,"[2.83, 2.07, 4.17, 4.83, 5.83, 7.27, 6.4]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 6 ,Owen Wright,"[4.83, 4.57, 1.07, 1.0, 5.03, 5.6, 1.7]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 6 ,Tiago Pires,"[2.5, 3.5, 0.67, 0.2, 4.0, 1.1, 4.27]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 7 ,Damien Hobgood,"[7.5, 8.0, 5.73]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 7 ,Josh Kerr,"[5.17, 0.73, 1.4, 0.27, 7.77, 3.33]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 8 ,Jeremy Flores,"[1.67, 3.67, 2.07, 8.27, 1.9, 5.2, 0.37]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 8 ,Kolohe Andino,"[5.33, 1.2, 6.0, 5.33, 0.63, 6.53, 0.93]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 9 ,Adrian Buchan,"[5.0, 0.6, 8.83, 5.3, 9.5, 4.1, 0.5]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 9 ,Kieren Perrow,"[4.33, 4.33, 0.2, 0.27, 0.43, 7.17, 5.43]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 10 ,C.J. Hobgood,"[5.0, 7.17, 1.43, 2.83, 1.8]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 10 ,Heitor Alves,"[3.5, 1.07, 0.2, 6.53, 4.0, 0.3]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 11 ,Alejo Muniz,"[6.33, 2.0, 8.77, 1.97, 1.63, 6.07]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 11 ,Miguel Pupo,"[7.23, 0.73, 5.67, 7.83, 6.13]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 12 ,Bede Durbidge,"[5.83, 0.5, 0.3, 7.57]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 2,Heat 12 ,Brett Simpson,"[7.0, 2.07]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 1 ,Taylor Knox,"[6.67, 1.83, 5.0, 4.5, 2.17, 6.13]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 1 ,Julian Wilson,"[4.0, 4.3, 3.93, 3.57, 6.0, 5.4, 5.27]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 1 ,Alejo Muniz,"[4.07, 0.37, 0.23, 2.5, 1.27, 6.53, 0.63, 1.47]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 2 ,Kai Otton,"[3.0, 0.2, 0.3, 4.17, 0.5, 6.17, 0.2, 6.83]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 2 ,Adriano de Souza,"[0.67, 2.6, 1.7, 4.43, 0.87, 5.43, 1.93]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 2 ,Jadson Andre,"[1.37, 4.5, 0.7, 4.1, 2.33]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 3 ,Patrick Gudauskas,"[5.83, 7.33, 0.87, 0.43]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 3 ,Heitor Alves,"[0.2, 0.6, 4.33, 4.63, 1.67, 8.33, 2.5]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 3 ,John John Florence,"[1.0, 4.93, 0.2, 0.27, 1.43, 2.07]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 4 ,Dusty Payne,"[6.83, 4.83, 0.9, 3.2, 3.6, 8.47, 0.43]"
2012,O'Neill Coldwater Classic Santa Cruz,Round 1,Heat 4 ,Mick Fanning,"[2.33, 3.1, 1.5, 0.83, 8.17, 6.43, 6.77, 6.7]"
