year,event,round,heat,name,scores
2016,Oi Rio Pro,Round 2,Heat 1 Watch replay,Adriano de Souza,"[6.33, 0.5, 5.5, 6.67, 0.3, 1.87, 0.67, 0.53, 2.6]"
2016,Oi Rio Pro,Round 2,Heat 1 Watch replay,Bino Lopes,"[1.0, 3.83, 1.13, 0.93, 0.23, 0.27, 0.5]"
2016,Oi Rio Pro,Round 2,Heat 2 Watch replay,Deivid Silva,"[5.0, 2.6, 4.67, 4.83, 3.57, 6.43, 0.23]"
2016,Oi Rio Pro,Round 2,Heat 2 Watch replay,Matt Wilkinson,"[7.67, 2.1, 1.0, 6.83, 3.3]"
2016,Oi Rio Pro,Round 2,Heat 3 Watch replay,Dusty Payne,"[2.67, 0.5, 5.83, 7.33, 6.6, 5.63, 0.67, 0.93, 6.13]"
2016,Oi Rio Pro,Round 2,Heat 3 Watch replay,Julian Wilson,"[5.17, 1.07, 3.23, 6.17, 0.5, 1.0, 1.43, 0.73]"
2016,Oi Rio Pro,Round 2,Heat 4 Watch replay,Gabriel Medina,"[6.83, 0.73, 2.83, 1.5, 1.4, 0.5, 5.97, 8.27, 4.67]"
2016,Oi Rio Pro,Round 2,Heat 4 Watch replay,Alex Ribeiro,"[1.07, 1.17, 6.17, 1.2, 0.3, 1.23, 0.97, 0.5, 1.73]"
2016,Oi Rio Pro,Round 2,Heat 5 Watch replay,Jack Freestone,"[0.93, 5.67, 3.67, 6.07, 1.17]"
2016,Oi Rio Pro,Round 2,Heat 5 Watch replay,Jeremy Flores,"[6.5, 5.27, 2.33, 3.0, 1.13, 0.83, 0.73, 0.53, 0.5, 1.0]"
2016,Oi Rio Pro,Round 2,Heat 6 Watch replay,Matt Banting,"[3.83, 7.83, 5.03, 3.23, 4.87, 6.93]"
2016,Oi Rio Pro,Round 2,Heat 6 Watch replay,Kolohe Andino,"[1.07, 3.67, 4.57, 6.0, 0.27, 3.63, 7.33, 4.27, 1.0, 7.33, 6.27, 0.5]"
2016,Oi Rio Pro,Round 2,Heat 7 Watch replay,Sebastian Zietz,"[0.37, 6.33, 4.9, 3.27, 0.8, 0.93, 1.27]"
2016,Oi Rio Pro,Round 2,Heat 7 Watch replay,Keanu Asing,"[5.83, 0.8, 3.0, 6.03, 0.7, 1.0, 1.27, 0.7, 2.27, 0.97]"
2016,Oi Rio Pro,Round 2,Heat 8 Watch replay,Caio Ibelli,"[0.93, 0.27, 0.5, 3.43, 0.43, 5.0, 4.27, 5.1, 2.73, 4.37, 2.27, 0.2, 4.37, 5.63, 0.27, 4.67, 1.0, 0.9]"
2016,Oi Rio Pro,Round 2,Heat 8 Watch replay,Jadson Andre,"[2.93, 0.23, 2.6, 2.27, 3.13, 4.27, 6.0, 4.2, 4.67, 2.0, 0.9]"
2016,Oi Rio Pro,Round 2,Heat 9 Watch replay,Miguel Pupo,"[3.83, 0.2, 0.37, 6.0, 3.47, 4.27, 1.0, 5.03, 2.97, 1.0, 1.07, 6.43, 6.87]"
2016,Oi Rio Pro,Round 2,Heat 9 Watch replay,Adrian Buchan,"[5.5, 1.07, 0.5, 6.23, 4.13, 4.23, 4.13, 5.07]"
2016,Oi Rio Pro,Round 2,Heat 10 Watch replay,Stuart Kennedy,"[1.0, 5.0, 6.17, 1.07, 0.87, 2.93, 0.6]"
2016,Oi Rio Pro,Round 2,Heat 10 Watch replay,Wiggolly Dantas,"[2.5, 7.17, 2.23, 3.0, 0.33, 4.27, 1.0, 0.8]"
2016,Oi Rio Pro,Round 2,Heat 11 Watch replay,Kanoa Igarashi,"[4.83, 3.0, 5.9, 7.0, 0.43, 6.43, 0.47]"
2016,Oi Rio Pro,Round 2,Heat 11 Watch replay,Josh Kerr,"[6.17, 4.5, 0.5, 5.93, 4.67, 1.0, 6.67, 6.6, 0.43, 0.5, 0.63, 1.3, 0.7]"
2016,Oi Rio Pro,Round 2,Heat 12 Watch replay,Michel Bourez,"[1.67, 1.0, 2.5, 5.67, 6.33, 7.17, 5.37, 0.63, 3.6, 3.0, 0.5]"
2016,Oi Rio Pro,Round 2,Heat 12 Watch replay,Conner Coffin,"[8.17, 0.3, 2.43, 0.9, 3.57, 3.53, 1.13]"
2016,Oi Rio Pro,Round 1,Heat 1 Watch replay,Filipe Toledo,"[1.67, 4.67, 0.63, 5.57, 1.07, 0.77, 5.77, 0.37]"
2016,Oi Rio Pro,Round 1,Heat 1 Watch replay,Kanoa Igarashi,"[0.3, 2.07, 5.5, 1.8, 6.1, 0.2, 2.17, 0.7]"
2016,Oi Rio Pro,Round 1,Heat 1 Watch replay,Dusty Payne,"[0.5, 3.0, 1.0, 5.17, 2.7, 0.5, 6.13, 0.2, 0.9]"
2016,Oi Rio Pro,Round 1,Heat 2 Watch replay,Leonardo Fioravanti,"[3.27, 0.5, 3.87, 7.6, 0.63, 2.5, 4.23, 0.27, 6.7]"
2016,Oi Rio Pro,Round 1,Heat 2 Watch replay,Stuart Kennedy,"[0.3, 3.17, 5.83, 0.33, 5.1, 0.23, 7.1, 1.0]"
2016,Oi Rio Pro,Round 1,Heat 2 Watch replay,Gabriel Medina,"[2.83, 0.47, 2.37, 5.33, 2.9, 0.37, 0.4, 0.63, 6.47]"
2016,Oi Rio Pro,Round 1,Heat 3 Watch replay,Davey Cathels,"[2.33, 6.17, 5.83, 3.0, 0.27, 0.47, 5.5]"
2016,Oi Rio Pro,Round 1,Heat 3 Watch replay,Julian Wilson,"[0.5, 0.93, 0.57, 4.17, 5.07, 0.77, 0.73]"
2016,Oi Rio Pro,Round 1,Heat 3 Watch replay,Deivid Silva,"[3.33, 1.83, 0.67, 3.17, 4.1]"
2016,Oi Rio Pro,Round 1,Heat 4 Watch replay,Italo Ferreira,"[7.5, 1.67, 7.0, 5.33, 3.1]"
2016,Oi Rio Pro,Round 1,Heat 4 Watch replay,Miguel Pupo,"[2.0, 2.43, 0.83, 0.27, 8.43, 1.63, 1.0, 0.3, 0.7]"
2016,Oi Rio Pro,Round 1,Heat 4 Watch replay,Bino Lopes,"[0.43, 3.83, 0.23, 0.87, 0.7, 4.83]"
2016,Oi Rio Pro,Round 1,Heat 5 Watch replay,Marco Fernandez,"[2.6, 0.5, 6.5, 4.5, 0.5, 6.0, 6.93, 5.33]"
2016,Oi Rio Pro,Round 1,Heat 5 Watch replay,Jadson Andre,"[5.5, 0.97, 0.17, 1.3, 6.07, 0.67]"
2016,Oi Rio Pro,Round 1,Heat 5 Watch replay,Matt Wilkinson,"[2.83, 3.17, 4.6, 3.77, 4.13, 3.87, 2.43]"
2016,Oi Rio Pro,Round 1,Heat 6 Watch replay,Lucas Silveira,"[2.17, 6.5, 0.5, 3.5, 7.17, 0.83]"
2016,Oi Rio Pro,Round 1,Heat 6 Watch replay,Adriano de Souza,"[4.67, 0.6, 5.33, 7.53, 1.17, 6.27, 0.93, 1.7, 6.27]"
2016,Oi Rio Pro,Round 1,Heat 6 Watch replay,Keanu Asing,"[7.67, 5.17, 1.0, 0.2, 2.53, 6.07]"
2016,Oi Rio Pro,Round 1,Heat 7 Watch replay,Nat Young,"[2.83, 3.13, 5.57, 5.47, 8.27, 4.73, 6.77]"
2016,Oi Rio Pro,Round 1,Heat 7 Watch replay,Michel Bourez,"[1.67, 3.5, 0.97, 5.87, 1.3]"
2016,Oi Rio Pro,Round 1,Heat 7 Watch replay,Alex Ribeiro,"[4.83, 1.0, 0.5, 0.87, 0.97, 0.47, 0.73]"
2016,Oi Rio Pro,Round 1,Heat 8 Watch replay,Jordy Smith,"[4.67, 4.5, 6.0, 2.67, 5.5, 6.37, 0.5, 3.43, 1.0]"
2016,Oi Rio Pro,Round 1,Heat 8 Watch replay,Conner Coffin,"[3.5, 2.97, 6.5, 4.33]"
2016,Oi Rio Pro,Round 1,Heat 8 Watch replay,Jack Freestone,"[7.0, 1.0, 3.7, 2.67, 0.43, 0.5, 0.83, 1.0, 1.2, 3.23, 0.93]"
2016,Oi Rio Pro,Round 1,Heat 9 Watch replay,Adam Melling,"[2.07, 2.5, 7.1, 0.77, 4.4, 6.1, 8.13]"
