year,event,round,heat,name,scores
2018,Quiksilver Pro France,Round 2,Heat 1 Watch replay,Filipe Toledo,"[3.43, 6.5, 1.6, 7.67, 0.37, 3.33, 3.33, 0.43, 2.47]"
2018,Quiksilver Pro France,Round 2,Heat 1 Watch replay,Jorgann Couzinet,"[3.0, 0.5, 0.77, 1.2, 4.77, 2.0]"
2018,Quiksilver Pro France,Round 2,Heat 2 Watch replay,Ryan Callinan,"[0.5, 2.7, 2.7, 6.93]"
2018,Quiksilver Pro France,Round 2,Heat 2 Watch replay,Owen Wright,"[0.37, 4.5, 6.0, 6.17, 1.0]"
2018,Quiksilver Pro France,Round 2,Heat 3 Watch replay,Wiggolly Dantas,"[3.5, 0.43]"
2018,Quiksilver Pro France,Round 2,Heat 3 Watch replay,Wade Carmichael,"[2.17, 3.0, 3.83, 2.97, 2.33, 2.3, 0.2, 1.87]"
2018,Quiksilver Pro France,Round 2,Heat 4 Watch replay,Kolohe Andino,"[4.67, 5.67, 5.6, 5.23, 1.87]"
2018,Quiksilver Pro France,Round 2,Heat 4 Watch replay,Keanu Asing,"[4.17, 2.5, 4.27, 6.23, 4.9, 4.0]"
2018,Quiksilver Pro France,Round 2,Heat 5 Watch replay,Joan Duru,"[0.67, 5.0, 4.43, 4.03, 2.63]"
2018,Quiksilver Pro France,Round 2,Heat 5 Watch replay,Kanoa Igarashi,"[4.33, 5.23, 5.33, 4.47, 3.2]"
2018,Quiksilver Pro France,Round 2,Heat 6 Watch replay,Matt Wilkinson,"[2.6, 2.0, 3.93, 4.9, 0.7, 0.9, 1.3]"
2018,Quiksilver Pro France,Round 2,Heat 6 Watch replay,Michel Bourez,"[1.0, 0.5, 2.57, 4.33, 2.8, 4.67, 1.1, 2.07, 2.63, 1.3]"
2018,Quiksilver Pro France,Round 2,Heat 7 Watch replay,Willian Cardoso,"[4.17, 3.67, 4.57, 6.57, 0.3, 4.2]"
2018,Quiksilver Pro France,Round 2,Heat 7 Watch replay,Miguel Pupo,"[0.33, 1.0, 2.6, 0.8]"
2018,Quiksilver Pro France,Round 2,Heat 8 Watch replay,Ian Gouveia,"[1.83, 5.03, 4.4, 0.5, 0.93]"
2018,Quiksilver Pro France,Round 2,Heat 8 Watch replay,Jeremy Flores,"[1.33, 4.33]"
2018,Quiksilver Pro France,Round 2,Heat 9 Watch replay,Conner Coffin,"[1.0, 0.57]"
2018,Quiksilver Pro France,Round 2,Heat 9 Watch replay,Jesse Mendes,"[5.5, 2.5, 4.83, 1.67, 0.77, 5.93, 1.37]"
