year,event,round,heat,name,scores
2010,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Taj Burrow,"[5.5, 0.2, 5.63, 7.97, 4.8, 6.87]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Garrett Parkes,"[6.5, 5.33, 4.6, 5.17, 3.97, 0.5]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,C.J. Hobgood,"[8.33, 6.6, 0.43, 1.0, 2.33]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,Blake Ainsworth,"[2.5, 1.93, 4.83, 7.93, 4.83]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Bobby Martinez,"[1.0, 0.93, 7.67, 2.4]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Craig Anderson,"[0.7, 1.87, 6.83, 0.73]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,Damien Hobgood,"[8.0, 0.5, 7.87, 8.57]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,Neco Padaratz,"[5.67, 6.83, 4.33, 6.9, 6.43, 2.57, 5.77]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Dane Reynolds,"[1.0, 7.33, 8.0, 2.93, 3.4, 1.23, 9.33, 1.57, 8.03]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Blake Thornton,"[2.6, 5.33, 4.9, 3.33, 4.6]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Jordy Smith,"[4.83, 5.0, 9.93, 1.0, 7.93, 3.17, 1.0, 4.7, 1.17]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Marco Polo,"[5.03, 2.5, 5.17, 1.87, 1.07, 5.1, 0.5, 4.63]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Kieren Perrow,"[0.5, 6.0, 4.33, 0.83, 8.7, 1.73, 2.43, 5.63, 6.17]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Travis Logie,"[1.93, 3.33, 5.33, 7.5, 5.87, 3.73, 4.6, 5.23]"
2010,Quiksilver Pro Gold Coast,Round 2,Heat 8 ,Freddy Patacchia Jr.,"[7.33, 4.83, 6.73, 8.77, 5.6, 7.1]"
