year,event,round,heat,name,scores
2011,Quiksilver Pro New York,Round 2,Heat 1 ,Mick Fanning,"[4.33, 6.33, 7.83, 0.17, 1.93, 1.5, 7.37, 1.93]"
2011,Quiksilver Pro New York,Round 2,Heat 1 ,Balaram Stack,"[0.43, 3.83, 0.7, 1.87, 2.33, 3.23, 0.3]"
2011,Quiksilver Pro New York,Round 2,Heat 2 ,Owen Wright,"[3.5, 5.33, 6.5, 0.5, 7.57, 2.27, 1.07]"
2011,Quiksilver Pro New York,Round 2,Heat 2 ,Asher Nolan,"[5.83, 3.83, 5.5]"
2011,Quiksilver Pro New York,Round 2,Heat 3 ,Adrian Buchan,"[0.7, 1.77, 5.5, 2.0, 6.6, 3.0, 0.43, 4.63]"
2011,Quiksilver Pro New York,Round 2,Heat 3 ,Keanu Asing,"[2.17, 4.0, 0.33, 0.3, 5.0, 2.93, 1.07, 1.87, 2.7]"
2011,Quiksilver Pro New York,Round 2,Heat 4 ,Bobby Martinez,"[0.5, 0.5, 6.83, 0.77, 1.23, 7.23, 1.33]"
2011,Quiksilver Pro New York,Round 2,Heat 4 ,Bede Durbidge,"[5.33, 6.4, 1.07, 7.33, 0.5, 0.5, 1.43, 0.37, 0.57, 2.2, 0.3]"
2011,Quiksilver Pro New York,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[0.37, 1.0, 2.27, 5.73, 0.33, 5.93, 1.13, 7.17]"
2011,Quiksilver Pro New York,Round 2,Heat 5 ,Michel Bourez,"[5.5, 4.83, 0.5, 0.2, 5.77, 1.0, 2.23, 0.3]"
2011,Quiksilver Pro New York,Round 2,Heat 6 ,Damien Hobgood,"[6.33, 1.27, 6.8, 1.73, 0.27, 1.03]"
2011,Quiksilver Pro New York,Round 2,Heat 6 ,Gabe Kling,"[5.83, 0.33, 3.17, 4.17, 0.2, 1.73]"
2011,Quiksilver Pro New York,Round 2,Heat 7 ,Adriano de Souza,"[7.5, 3.0, 8.73, 1.17, 6.9, 4.43, 9.2, 0.83, 7.53]"
2011,Quiksilver Pro New York,Round 2,Heat 7 ,Travis Logie,"[3.5, 5.0, 5.5, 6.7, 6.07, 0.77, 7.7, 1.13]"
2011,Quiksilver Pro New York,Round 2,Heat 8 ,Kieren Perrow,"[6.5, 2.93, 0.9, 0.5, 6.67, 5.1, 1.0]"
2011,Quiksilver Pro New York,Round 2,Heat 8 ,Cory Lopez,"[1.07, 3.83, 4.07, 1.53, 0.23, 0.23, 5.83, 5.87, 6.63, 0.2]"
2011,Quiksilver Pro New York,Round 2,Heat 9 ,Adam Melling,"[4.67, 8.17, 0.9, 2.53, 4.13, 0.87, 7.53, 0.23]"
2011,Quiksilver Pro New York,Round 2,Heat 9 ,Matt Wilkinson,"[1.0, 7.17, 6.8, 6.77, 5.03, 0.37, 0.57]"
2011,Quiksilver Pro New York,Round 2,Heat 10 ,Kai Otton,"[0.93, 5.17, 6.0, 7.5, 2.33, 1.97, 0.93, 0.3, 5.33]"
2011,Quiksilver Pro New York,Round 2,Heat 10 ,Chris Davidson,"[1.87, 7.0, 5.43, 0.67, 0.5]"
2011,Quiksilver Pro New York,Round 2,Heat 11 ,Brett Simpson,"[6.0, 0.67, 5.57, 3.5, 6.93, 0.57]"
2011,Quiksilver Pro New York,Round 2,Heat 11 ,Taylor Knox,"[3.33, 3.43, 4.83, 3.17, 0.67, 5.63, 5.57, 1.67]"
2011,Quiksilver Pro New York,Round 2,Heat 12 ,Patrick Gudauskas,"[5.83, 3.27, 7.5, 7.43, 1.77, 5.33, 1.17, 2.43, 1.13, 1.23, 6.43]"
2011,Quiksilver Pro New York,Round 2,Heat 12 ,Daniel Ross,"[4.83, 3.73, 3.2, 2.07, 1.33, 4.03, 2.97, 3.63, 0.67]"
2011,Quiksilver Pro New York,Round 1,Heat 1 ,Joel Parkinson,"[4.83, 3.0, 4.0, 7.03, 6.53]"
2011,Quiksilver Pro New York,Round 1,Heat 1 ,Brett Simpson,"[6.0, 7.0, 6.5, 2.17, 0.73, 1.0, 1.17, 3.67, 0.3]"
2011,Quiksilver Pro New York,Round 1,Heat 1 ,Travis Logie,"[0.43, 4.67, 1.9, 0.93]"
2011,Quiksilver Pro New York,Round 1,Heat 2 ,Jeremy Flores,"[4.5, 3.33, 5.17, 0.43]"
2011,Quiksilver Pro New York,Round 1,Heat 2 ,Gabe Kling,"[1.5, 0.8, 1.9, 1.53]"
2011,Quiksilver Pro New York,Round 1,Heat 2 ,Dane Reynolds,[]
2011,Quiksilver Pro New York,Round 1,Heat 3 ,Taj Burrow,"[6.17, 3.67, 6.9, 1.0, 7.03, 6.57, 0.4, 0.73]"
2011,Quiksilver Pro New York,Round 1,Heat 3 ,Patrick Gudauskas,"[0.87, 6.57, 1.3, 5.57, 2.43, 2.0, 1.1, 6.27]"
2011,Quiksilver Pro New York,Round 1,Heat 3 ,Freddy Patacchia Jr.,"[5.33, 5.0, 6.13, 0.9, 0.3, 0.23]"
2011,Quiksilver Pro New York,Round 1,Heat 4 ,Jadson Andre,"[6.67, 0.2, 2.4, 5.1, 0.77, 5.0, 1.07]"
2011,Quiksilver Pro New York,Round 1,Heat 4 ,Owen Wright,"[1.0, 3.33, 1.83, 2.0, 6.67, 0.8, 0.23]"
2011,Quiksilver Pro New York,Round 1,Heat 4 ,Bobby Martinez,"[2.23, 0.4, 4.0, 0.27, 0.5, 2.77, 3.1, 0.73]"
2011,Quiksilver Pro New York,Round 1,Heat 5 ,Heitor Alves,"[3.17, 1.2, 3.83, 6.83, 1.13, 7.0, 3.87, 2.2, 0.23, 2.17]"
2011,Quiksilver Pro New York,Round 1,Heat 5 ,Mick Fanning,"[4.5, 0.43, 6.5, 3.57, 5.5, 0.2, 6.23, 2.27, 1.37, 1.0]"
2011,Quiksilver Pro New York,Round 1,Heat 5 ,Asher Nolan,"[1.37, 1.83, 0.83, 1.73, 6.23, 2.37]"
2011,Quiksilver Pro New York,Round 1,Heat 6 ,Kelly Slater,"[4.67, 7.17, 0.4, 7.03, 1.0, 3.13, 4.47, 0.83, 1.33]"
2011,Quiksilver Pro New York,Round 1,Heat 6 ,Daniel Ross,"[1.87, 4.93, 3.57, 0.77, 0.5, 0.3, 6.43, 5.23, 1.4]"
2011,Quiksilver Pro New York,Round 1,Heat 6 ,Balaram Stack,"[0.57, 0.97, 0.3, 2.17, 2.1, 3.37, 0.87, 0.9, 0.87, 0.67, 2.7, 1.4]"
2011,Quiksilver Pro New York,Round 1,Heat 7 ,Alejo Muniz,"[0.3, 5.87, 7.1, 6.43, 0.83, 4.77, 7.3, 4.6]"
2011,Quiksilver Pro New York,Round 1,Heat 7 ,Adrian Buchan,"[1.43, 4.17, 7.57, 6.5, 3.83, 2.17, 4.77, 6.7, 1.0]"
2011,Quiksilver Pro New York,Round 1,Heat 7 ,Cory Lopez,"[3.0, 5.83, 2.57, 0.93, 1.07, 3.63, 2.07, 0.3, 6.97, 6.0]"
2011,Quiksilver Pro New York,Round 1,Heat 8 ,C.J. Hobgood,"[2.83, 7.0, 2.67, 3.2, 4.83, 7.6, 0.57, 0.93, 1.0, 3.47, 1.47, 8.37]"
