year,event,round,heat,name,scores
2012,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Taj Burrow,"[8.6, 7.83, 7.77, 0.93, 7.17, 4.57, 8.93]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Davey Cathels,"[0.2, 1.0, 5.17, 1.23, 4.0, 6.0, 3.63, 2.0]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,Kai Otton,"[7.33, 0.5, 0.93, 5.67, 3.6, 0.97, 2.0, 7.2, 9.57]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,Julian Wilson,"[7.17, 3.0, 5.93, 3.27, 5.0, 1.87]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Gabriel Medina,"[5.83, 6.83, 5.0, 0.83]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Taylor Knox,"[0.43, 0.93, 3.5, 2.6, 3.0, 5.53]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Josh Kerr,"[6.67, 1.0, 5.33, 8.17, 7.93, 0.93]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Patrick Gudauskas,"[3.83, 4.83, 5.5, 7.3, 8.0, 1.57]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[6.33, 7.17, 8.0]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Michel Bourez,"[5.17, 6.17, 4.17, 3.17, 2.53, 3.93]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Yadin Nicol,"[0.5, 9.87, 3.4, 2.17, 4.5, 7.83]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Alejo Muniz,"[3.67, 4.83, 2.83, 7.33, 1.0]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Jadson Andre,"[6.17, 7.83, 8.1, 0.93, 8.83]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Heitor Alves,"[5.33, 6.93, 2.0, 7.03, 0.93, 1.6, 4.17, 2.57]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,C.J. Hobgood,"[5.0, 5.93, 7.67]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,Miguel Pupo,"[2.67, 3.17, 5.5, 1.0, 6.23, 2.6, 6.77]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Tiago Pires,"[3.83, 7.07, 7.43, 1.0, 2.87, 7.5]"
2012,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Adrian Buchan,"[6.5, 3.0, 6.4, 6.8]"
