year,event,round,heat,name,scores
2008,Rip Curl Pro Search Bali,Round 2,Heat 1 ,Taj Burrow,"[6.17, 2.83, 3.83, 7.17, 2.5, 4.0]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 1 ,Komang Goga Suijaya,"[1.67, 2.5, 2.2, 3.03]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 2 ,Bede Durbidge,"[8.83, 3.67, 1.0, 3.77, 0.47, 2.83, 4.0, 9.63, 0.87]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 2 ,Owen Wright,"[2.5, 1.5, 5.83, 6.1, 9.63]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 3 ,Adriano de Souza,"[3.5, 7.67, 0.67, 6.5, 0.53]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 3 ,I Made Widiarta,"[5.0, 2.0, 1.0, 0.5, 0.27, 2.4]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 4 ,Bobby Martinez,"[2.17, 8.33, 1.73, 0.53, 2.43, 0.7, 9.83]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 4 ,Bruno Santos,"[1.67, 6.67, 3.17, 0.3, 1.27, 3.9, 1.6, 0.53]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 5 ,Jeremy Flores,"[7.0, 2.67, 0.23]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 5 ,Ricky Basnett,"[2.33, 0.6, 2.3]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 6 ,Adrian Buchan,"[1.33, 1.57, 6.33, 9.57, 8.33, 8.27]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 6 ,Daniel Ross,"[2.33, 2.27, 0.5, 7.0, 2.8, 0.37, 1.7]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 7 ,Tom Whitaker,"[3.6, 2.33, 0.5, 5.67]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 7 ,Jihad Khodr,"[2.67, 1.5, 4.83, 2.33, 2.23]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 8 ,Tim Reyes,"[0.53, 0.43, 6.5, 3.33, 0.87, 0.43, 3.67]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 8 ,Travis Logie,"[0.5, 0.33, 1.0, 1.6, 4.0, 1.63, 1.77]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 9 ,Taylor Knox,"[3.33, 6.33, 0.2]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 10 ,Royden Bryson,[]
2008,Rip Curl Pro Search Bali,Round 2,Heat 10 ,Jordy Smith,"[1.0, 4.5, 4.5, 5.77]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 11 ,Daniel Wills,"[1.67, 2.67, 4.0, 0.67]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 11 ,Dane Reynolds,"[3.83, 7.17, 2.0, 1.63, 1.63, 0.37, 0.6]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 12 ,Freddy Patacchia Jr.,"[0.27, 3.33, 1.33, 2.67, 0.27, 3.23, 2.3]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 12 ,Leonardo Neves,"[7.67, 0.23, 8.83, 1.5, 6.17, 8.1, 5.5, 8.5, 7.43]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 13 ,Neco Padaratz,"[0.43, 0.2, 8.0, 1.63, 1.8, 0.77, 0.5, 1.1, 1.87]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 13 ,Pancho Sullivan,"[6.5, 2.43, 5.33, 0.5]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 14 ,Mikael Picon,"[4.67, 0.73, 2.0, 2.2, 4.17, 0.87, 2.6]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 14 ,Jay Thompson,"[1.4, 0.5, 3.33, 4.17, 6.17, 7.33, 8.17, 8.77]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 15 ,Ben Dunn,"[5.17, 5.5, 0.83, 1.87, 0.33, 5.33, 2.5]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 15 ,Heitor Alves,"[5.83, 3.83, 8.5, 8.17, 1.13, 4.77]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 16 ,Mick Campbell,"[1.73, 2.5, 4.5, 1.27, 0.9, 5.33, 1.17, 1.63, 0.6, 0.4]"
2008,Rip Curl Pro Search Bali,Round 2,Heat 16 ,Luke Munro,"[0.67, 6.33, 1.5, 7.83, 3.6, 0.57, 2.1, 1.5, 1.87, 7.17]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 1 ,Rodrigo Dornelles,"[0.5, 0.93, 2.4, 2.27, 8.5]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 1 ,Jeremy Flores,"[0.57, 1.67, 0.23, 2.27, 0.27, 7.17, 2.7]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 1 ,Jay Thompson,"[1.83, 3.17, 4.33, 3.4]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 2 ,Damien Hobgood,"[0.3, 7.33, 2.03, 2.67, 0.2, 0.27, 3.57]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 2 ,Bobby Martinez,"[1.67, 2.27, 0.73, 1.63, 3.67, 0.23, 1.33, 3.83]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 2 ,Travis Logie,"[1.73, 1.07, 0.13, 1.4]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 3 ,Tiago Pires,"[2.0, 1.27, 2.43, 1.4, 1.4, 9.67]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 3 ,Adriano de Souza,"[6.17, 3.33, 5.17]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 3 ,Pancho Sullivan,"[1.17, 0.87, 0.5, 0.9, 2.03, 3.27, 5.83]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 4 ,C.J. Hobgood,"[1.33, 0.33, 5.5, 6.67, 1.67, 1.83, 0.77, 9.17]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 4 ,Freddy Patacchia Jr.,"[5.0, 4.6, 2.67, 7.33, 8.0, 3.1]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 4 ,Jihad Khodr,[]
2008,Rip Curl Pro Search Bali,Round 1,Heat 5 ,Andy Irons,"[8.67, 1.87, 4.27, 8.33, 9.73, 2.5]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 5 ,Dane Reynolds,"[1.67, 4.17, 3.0, 1.17, 1.17, 1.37, 6.0]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 5 ,Daniel Ross,"[2.5, 2.6, 2.77]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 6 ,Roy Powers,"[2.5, 2.77, 8.5, 1.1, 5.5, 3.23]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 6 ,Bede Durbidge,"[2.33, 4.5, 3.5, 1.0, 0.87, 4.67, 7.67]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 6 ,Ricky Basnett,"[0.67, 6.5, 4.73, 1.9, 3.47, 1.6, 4.07]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 7 ,Joel Parkinson,"[9.57, 8.67, 8.83, 0.6, 6.3]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 7 ,Bruno Santos,"[6.67, 8.33, 2.83, 9.7]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 7 ,Jordy Smith,"[5.5, 0.83, 6.83, 7.67, 5.17, 5.93]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 8 ,Kelly Slater,"[2.0, 3.0, 10.0, 9.0, 1.17, 9.17, 4.87]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 8 ,Tim Reyes,"[6.83, 8.0, 2.0, 7.0, 3.83]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 8 ,Komang Goga Suijaya,"[4.33, 5.0, 3.0]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 9 ,Mick Fanning,"[3.67, 7.17, 7.5, 2.8]"
2008,Rip Curl Pro Search Bali,Round 1,Heat 9 ,Taylor Knox,"[1.5, 2.5, 4.43]"
