year,event,round,heat,name,scores
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 1 Watch replay,Griffin Colapinto,"[4.83, 4.17]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 1 Watch replay,Jack Freestone,"[0.5, 0.73, 1.0, 0.3, 7.43, 3.73]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 1 Watch replay,Taj Burrow,"[3.5, 4.43, 3.0, 5.17, 1.5]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 2 Watch replay,Matthew McGillivray,"[0.87, 1.07, 3.6, 4.9, 2.0, 7.33]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 2 Watch replay,Liam O'Brien,"[3.5, 0.5, 0.67, 6.17, 3.37, 4.73]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 2 Watch replay,Jeremy Flores,"[5.33, 3.77, 2.97, 0.77, 1.63]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 3 Watch replay,Caio Ibelli,"[2.0, 1.93, 5.33, 0.57, 3.5, 0.57, 3.53, 0.2, 4.3, 0.2, 0.5, 0.7, 1.77]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 3 Watch replay,Stuart Kennedy,"[4.83, 0.27, 4.0, 4.33]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 3 Watch replay,Peterson Crisanto,"[0.67, 1.83, 1.57, 4.07, 0.5, 0.57]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 4 Watch replay,Jacob Willcox,"[6.67, 0.63, 4.17, 2.9, 3.5, 6.83]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 4 Watch replay,Morgan Cibilic,"[0.7, 5.17, 3.73, 0.77]"
2021,Rip Curl Rottnest Search presented by Corona,Elimination Round,Heat 4 Watch replay,Jadson Andre,"[0.5, 0.87, 0.5, 3.67, 3.43, 0.23, 0.9, 0.7, 0.97]"
2021,Rip Curl Rottnest Search presented by Corona,Seeding Round,Heat 1 Watch replay,Mikey Wright,"[0.83, 1.73, 1.83, 5.5, 5.47]"
2021,Rip Curl Rottnest Search presented by Corona,Seeding Round,Heat 1 Watch replay,Owen Wright,"[1.67, 2.0, 0.5, 1.93, 0.5, 8.0]"
2021,Rip Curl Rottnest Search presented by Corona,Seeding Round,Heat 1 Watch replay,Griffin Colapinto,"[0.6, 0.67, 0.83, 3.5, 2.1, 0.3]"
2021,Rip Curl Rottnest Search presented by Corona,Seeding Round,Heat 2 Watch replay,Kanoa Igarashi,"[5.67, 2.77, 7.0, 4.6, 5.77]"
2021,Rip Curl Rottnest Search presented by Corona,Seeding Round,Heat 2 Watch replay,Jack Robinson,"[0.23, 1.0, 5.07, 2.93, 0.93, 0.93, 6.13]"
