year,event,round,heat,name,scores
2011,Rip Curl Search,Round 2,Heat 1 ,Owen Wright,"[4.33, 0.37, 1.67, 2.07, 0.23, 6.83, 0.5]"
2011,Rip Curl Search,Round 2,Heat 1 ,Dean Brady,"[0.5, 0.23, 3.4, 4.67, 1.17, 2.87]"
2011,Rip Curl Search,Round 2,Heat 2 ,Joel Parkinson,"[0.23, 2.1, 3.83, 0.3, 0.2, 1.4, 4.77]"
2011,Rip Curl Search,Round 2,Heat 2 ,Dillon Perillo,"[1.5, 4.73, 1.77, 0.3, 0.93]"
2011,Rip Curl Search,Round 2,Heat 3 ,Julian Wilson,"[0.8, 4.67, 6.4, 7.17, 1.5, 1.43, 0.23]"
2011,Rip Curl Search,Round 2,Heat 3 ,Taylor Clark,"[0.93, 0.6, 5.83, 0.6, 2.93, 1.93, 0.57]"
2011,Rip Curl Search,Round 2,Heat 4 ,Daniel Ross,"[0.6, 1.67, 4.5, 8.0, 5.83, 0.9, 0.43, 6.0]"
2011,Rip Curl Search,Round 2,Heat 4 ,Michel Bourez,"[6.83, 0.37, 0.17, 0.77, 0.37, 2.83, 0.33, 5.17]"
2011,Rip Curl Search,Round 2,Heat 5 ,Bede Durbidge,"[1.57, 5.0, 1.8, 7.0, 2.23]"
2011,Rip Curl Search,Round 2,Heat 5 ,Dane Reynolds,"[6.17, 0.87, 0.9, 1.07, 0.7, 0.37, 1.27, 3.0]"
2011,Rip Curl Search,Round 2,Heat 6 ,Kieren Perrow,"[1.33, 7.17, 0.73, 0.37, 9.17, 0.93]"
2011,Rip Curl Search,Round 2,Heat 6 ,Mick Fanning,"[1.17, 1.17, 5.33, 0.8, 6.27, 0.5, 5.9, 0.27]"
2011,Rip Curl Search,Round 2,Heat 7 ,Josh Kerr,"[0.5, 2.4, 6.6, 1.13, 3.5, 3.5, 1.37, 0.2]"
2011,Rip Curl Search,Round 2,Heat 7 ,Travis Logie,"[4.0, 2.83, 0.43, 1.07, 3.0, 5.33]"
2011,Rip Curl Search,Round 2,Heat 8 ,Brett Simpson,"[1.27, 0.2, 4.77, 2.33, 0.8, 0.27, 0.53, 4.6, 8.47, 7.9]"
2011,Rip Curl Search,Round 2,Heat 8 ,Damien Hobgood,"[6.67, 6.1, 7.6, 6.77, 6.57]"
2011,Rip Curl Search,Round 2,Heat 9 ,Miguel Pupo,"[9.1, 6.73, 7.33, 2.5, 0.77, 1.3, 5.5]"
2011,Rip Curl Search,Round 2,Heat 9 ,Kai Otton,"[1.2, 3.77, 2.1, 1.07, 5.1]"
2011,Rip Curl Search,Round 2,Heat 10 ,Raoni Monteiro,"[1.67, 0.3, 8.83, 0.87, 1.07, 0.5, 4.07, 5.83, 1.37]"
2011,Rip Curl Search,Round 2,Heat 10 ,Dusty Payne,"[4.5, 2.33, 1.6, 4.83, 1.07, 6.03, 1.0, 1.2]"
2011,Rip Curl Search,Round 2,Heat 11 ,Tiago Pires,"[0.23, 2.07, 3.17, 2.93, 7.5, 6.83]"
2011,Rip Curl Search,Round 2,Heat 11 ,John John Florence,"[1.93, 1.93, 1.2, 1.07, 6.67, 1.43, 1.4, 0.83, 1.07, 0.37]"
2011,Rip Curl Search,Round 2,Heat 12 ,Taylor Knox,"[7.33, 2.93, 2.6, 1.7, 5.1, 1.47, 1.67, 8.4, 0.5]"
2011,Rip Curl Search,Round 2,Heat 12 ,Jadson Andre,"[0.93, 2.33, 1.4, 1.87, 6.0, 0.87, 2.27, 6.4, 0.73, 1.0]"
2011,Rip Curl Search,Round 1,Heat 1 ,Adam Melling,"[6.83, 5.67, 0.77, 0.23]"
2011,Rip Curl Search,Round 1,Heat 1 ,Taylor Knox,"[2.5, 0.3, 3.83, 0.5, 6.97, 3.73]"
2011,Rip Curl Search,Round 1,Heat 1 ,Joel Parkinson,"[1.33, 6.0, 2.27, 4.5]"
2011,Rip Curl Search,Round 1,Heat 2 ,Adriano de Souza,"[0.5, 0.8, 6.27, 1.33, 7.33, 1.1, 4.5]"
2011,Rip Curl Search,Round 1,Heat 2 ,Jadson Andre,"[3.83, 6.5, 4.93, 0.3, 1.2, 0.47, 1.23, 1.93]"
2011,Rip Curl Search,Round 1,Heat 2 ,Dane Reynolds,"[6.17, 0.33, 0.43, 0.53, 2.83, 1.67, 0.77, 0.23, 0.97, 0.93, 0.5]"
2011,Rip Curl Search,Round 1,Heat 3 ,Taj Burrow,"[0.5, 1.07, 1.4, 0.8, 0.27, 1.37, 5.67, 2.33, 1.9, 7.0]"
2011,Rip Curl Search,Round 1,Heat 3 ,John John Florence,"[1.5, 0.87, 1.33, 3.0, 7.67, 0.87]"
2011,Rip Curl Search,Round 1,Heat 3 ,Daniel Ross,"[0.77, 0.5, 0.2, 2.5, 4.5, 1.8, 1.6, 0.53]"
2011,Rip Curl Search,Round 1,Heat 4 ,Jordy Smith,"[6.5, 7.33, 2.83, 6.93, 7.77, 7.17, 1.13, 1.43]"
2011,Rip Curl Search,Round 1,Heat 4 ,Dusty Payne,"[1.5, 0.5, 2.87, 5.0, 0.63]"
2011,Rip Curl Search,Round 1,Heat 4 ,Tom Whitaker,[]
2011,Rip Curl Search,Round 1,Heat 5 ,Freddy Patacchia Jr.,"[8.5, 0.43, 0.53, 4.33, 1.1, 6.17, 0.5, 0.87]"
2011,Rip Curl Search,Round 1,Heat 5 ,Owen Wright,"[1.5, 1.43, 2.2, 1.23, 3.67, 2.43, 0.73, 0.93, 1.5, 1.77, 1.4, 1.97]"
2011,Rip Curl Search,Round 1,Heat 5 ,Dillon Perillo,"[0.5, 2.13, 0.3, 0.77, 2.73, 1.17]"
2011,Rip Curl Search,Round 1,Heat 6 ,Kelly Slater,"[0.5, 7.93, 1.13, 1.5, 3.87, 0.57, 8.1, 2.07, 2.33]"
2011,Rip Curl Search,Round 1,Heat 6 ,Kai Otton,"[1.5, 1.07, 0.37, 2.27, 4.17, 2.83, 0.57, 6.73, 2.07]"
2011,Rip Curl Search,Round 1,Heat 6 ,Dean Brady,"[6.17, 2.5, 2.87, 3.8, 0.5, 0.6]"
2011,Rip Curl Search,Round 1,Heat 7 ,Patrick Gudauskas,"[6.33, 0.6, 8.77, 1.5, 5.23]"
2011,Rip Curl Search,Round 1,Heat 7 ,Julian Wilson,"[3.5, 7.93, 2.6, 0.5, 2.83, 1.0, 0.3]"
2011,Rip Curl Search,Round 1,Heat 7 ,Tiago Pires,"[4.0, 5.33, 2.0, 0.97, 0.43, 1.67, 0.57]"
2011,Rip Curl Search,Round 1,Heat 8 ,Matt Wilkinson,"[0.87, 1.5, 6.67, 8.43, 1.5, 8.1, 5.93, 1.1]"
2011,Rip Curl Search,Round 1,Heat 8 ,Michel Bourez,"[0.93, 8.33, 2.0, 4.83, 0.4, 1.33, 7.9]"
2011,Rip Curl Search,Round 1,Heat 8 ,Raoni Monteiro,"[0.57, 4.0, 3.8, 1.27, 5.1]"
2011,Rip Curl Search,Round 1,Heat 9 ,Gabriel Medina,"[0.43, 4.17, 0.37, 0.57, 6.5, 8.0, 4.6]"
2011,Rip Curl Search,Round 1,Heat 9 ,Miguel Pupo,"[0.73, 5.33, 0.43, 1.0, 5.77]"
2011,Rip Curl Search,Round 1,Heat 9 ,Kieren Perrow,"[1.0, 2.1, 0.3, 0.73, 0.43, 1.07, 7.67, 2.0]"
2011,Rip Curl Search,Round 1,Heat 10 ,Adrian Buchan,"[5.17, 5.83, 4.0, 8.07, 7.6, 8.33, 7.2, 4.93]"
2011,Rip Curl Search,Round 1,Heat 10 ,Bede Durbidge,"[6.5, 9.13, 0.6, 1.17, 7.2]"
2011,Rip Curl Search,Round 1,Heat 10 ,Travis Logie,"[0.23, 6.77, 0.5, 3.6, 0.77]"
2011,Rip Curl Search,Round 1,Heat 11 ,Chris Davidson,"[0.23, 8.6, 0.5, 7.5, 0.5]"
2011,Rip Curl Search,Round 1,Heat 11 ,Damien Hobgood,"[1.27, 1.67, 1.6, 3.43, 8.83]"
2011,Rip Curl Search,Round 1,Heat 11 ,Mick Fanning,"[2.0, 8.1, 0.37, 3.0, 0.33, 1.0, 0.1]"
2011,Rip Curl Search,Round 1,Heat 12 ,Alejo Muniz,"[0.7, 0.63, 4.23, 0.93, 1.2, 0.37, 6.87]"
2011,Rip Curl Search,Round 1,Heat 12 ,Josh Kerr,"[0.5, 0.3, 5.0, 5.77]"
2011,Rip Curl Search,Round 1,Heat 12 ,Brett Simpson,"[4.6, 0.2, 1.4, 4.7, 1.1]"
2011,Rip Curl Search,Round 3,Heat 1 ,Matt Wilkinson,"[0.23, 4.33, 1.5, 0.73, 8.1, 0.5, 2.57, 0.23, 2.17, 5.3, 1.13]"
2011,Rip Curl Search,Round 3,Heat 1 ,Taj Burrow,"[4.83, 1.07, 6.0, 7.0, 0.77, 6.0, 3.6, 1.07]"
2011,Rip Curl Search,Round 3,Heat 2 ,Taylor Knox,"[0.7, 0.8, 1.0, 0.37, 4.0, 6.5, 8.1, 0.23]"
2011,Rip Curl Search,Round 3,Heat 2 ,Bede Durbidge,"[0.37, 5.5, 0.7, 6.0, 1.57, 7.67, 6.9, 1.7, 1.0, 0.87]"
2011,Rip Curl Search,Round 3,Heat 3 ,Kieren Perrow,"[4.5, 1.67, 0.43, 3.6, 2.6, 0.3, 8.67, 1.57, 5.43, 1.27]"
2011,Rip Curl Search,Round 3,Heat 3 ,Adriano de Souza,"[4.33, 6.33, 5.1, 2.27, 1.77, 4.07, 1.27, 1.6]"
2011,Rip Curl Search,Round 3,Heat 4 ,Gabriel Medina,"[0.43, 7.77, 2.57, 7.6, 0.2, 1.93, 3.77, 6.5]"
2011,Rip Curl Search,Round 3,Heat 4 ,Freddy Patacchia Jr.,"[0.87, 1.37, 1.43, 0.57, 3.93, 1.07]"
2011,Rip Curl Search,Round 3,Heat 5 ,Miguel Pupo,"[6.17, 0.43, 0.2, 0.67, 2.77, 5.7, 4.83, 3.1, 5.4, 2.57, 0.83]"
