year,event,round,heat,name,scores
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 1 Watch replay,Owen Wright,"[4.5, 5.27]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 1 Watch replay,David Delroy-Carr,"[2.5, 2.93]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 2 Watch replay,Kael Walsh,"[0.6, 2.17, 4.1, 5.67, 1.77]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 2 Watch replay,Matt Wilkinson,"[3.67, 0.3, 1.4, 0.83]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 3 Watch replay,Mikey Wright,"[6.67, 4.17, 0.2]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 3 Watch replay,Adrian Buchan,"[2.67, 0.37, 0.87, 4.67, 3.1, 4.47]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 4 Watch replay,Italo Ferreira,"[0.5, 3.93, 6.17, 0.67]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 4 Watch replay,Miguel Pupo,"[4.83, 0.43, 2.77, 0.5, 0.47]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 5 Watch replay,Michel Bourez,"[2.97, 6.83]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 5 Watch replay,Ian Gouveia,"[4.0, 1.4, 4.67, 1.83, 0.23, 1.0, 4.43]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 6 Watch replay,Michael February,"[2.17, 6.33, 3.4, 4.9, 1.87]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 6 Watch replay,Frederico Morais,"[4.5, 0.83, 0.43, 4.67, 0.83, 1.73, 0.5]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 7 Watch replay,Yago Dora,"[4.33, 4.83, 5.93, 3.27]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 7 Watch replay,Griffin Colapinto,"[5.43, 0.83, 6.5]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 8 Watch replay,Michael Rodrigues,"[6.33, 3.83, 4.83, 6.77, 0.57, 2.63, 3.47]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 8 Watch replay,Kanoa Igarashi,"[0.5, 4.0, 7.77, 5.5, 3.43]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 9 Watch replay,Conner Coffin,"[4.5, 3.4, 5.5, 0.2, 0.5, 1.7, 6.33]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 9 Watch replay,Ezekiel Lau,"[2.33, 3.67, 4.6, 4.07, 4.97]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 10 Watch replay,Connor O'Leary,"[4.37, 6.5, 2.87]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 10 Watch replay,Patrick Gudauskas,"[4.33, 4.7, 5.73, 6.77]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 11 Watch replay,Jesse Mendes,"[5.17, 3.5, 3.77, 4.2, 0.7]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 11 Watch replay,Tomas Hermes,"[0.2, 4.33, 1.73, 4.77]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 12 Watch replay,Joan Duru,"[7.17, 3.5, 7.4, 0.5]"
2018,Uluwatu CT Margaret River Pro,Round 2,Heat 12 Watch replay,Wade Carmichael,"[5.33, 6.4, 0.73, 5.4, 4.97, 1.87]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 1 Watch replay,Keanu Asing,"[0.37, 0.47, 2.7]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 1 Watch replay,Matt Wilkinson,"[0.7, 2.5, 2.83, 0.77]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 1 Watch replay,Connor O'Leary,"[1.17, 0.6, 1.67, 2.97]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 2 Watch replay,Jordy Smith,"[1.5, 2.5, 0.33, 0.57, 1.3, 0.37, 4.5, 1.53]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 2 Watch replay,Ian Gouveia,"[0.93, 4.17, 0.37, 6.5, 3.0, 1.1]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 2 Watch replay,Tomas Hermes,"[0.5, 0.7, 1.17, 0.97, 0.73, 0.67, 1.37]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 3 Watch replay,Jack Robinson,"[1.57, 0.7, 5.67, 3.67, 1.97]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 3 Watch replay,Owen Wright,"[0.3, 1.53, 0.6, 0.87, 1.73, 2.3]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 3 Watch replay,Miguel Pupo,"[0.5, 1.67, 0.53, 0.67, 0.73]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 4 Watch replay,John John Florence,"[4.67, 5.9, 6.83, 1.0]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 4 Watch replay,Mikey Wright,"[2.17, 3.67, 0.2, 6.37, 5.5, 0.27]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 4 Watch replay,Wade Carmichael,"[6.17, 0.67, 0.5, 2.33, 1.33]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 5 Watch replay,Gabriel Medina,"[1.4, 2.67, 0.6, 2.83, 1.83, 1.07]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 5 Watch replay,Kael Walsh,"[2.0, 1.2, 2.13, 0.53, 0.2, 0.27, 1.23, 6.83, 0.5]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 5 Watch replay,Joan Duru,"[1.0, 0.43, 0.37, 0.77, 0.33, 0.67, 0.97]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 6 Watch replay,Julian Wilson,"[1.33, 1.1, 3.23]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 6 Watch replay,Jesse Mendes,"[0.6, 2.0, 6.0, 0.93, 4.0]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 6 Watch replay,David Delroy-Carr,"[0.5, 2.9, 0.3, 0.5]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 7 Watch replay,Filipe Toledo,"[0.5, 3.17, 1.13, 0.2, 2.97, 0.53]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 7 Watch replay,Conner Coffin,"[0.1, 0.5, 1.37, 0.73, 4.5, 0.5]"
2018,Uluwatu CT Margaret River Pro,Round 1,Heat 7 Watch replay,Michael February,"[1.0, 1.57]"
